record_id,date,record_type,severity,service,owner,status,linked_jira,linked_pr,linked_incident,summary,evidence
DRA-00033,2018-07-29,decision,,inventory-reservation,Owen Brooks,mitigated,ATLAS-6098,PR-10159,,Decision for inventory-reservation: QA evidence is missing.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00034,2018-07-30,risk,critical,order-ledger,Ben Carter,open,ATLAS-1719,PR-10359,,Risk for order-ledger: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00035,2018-08-01,open_question,,checkout-api,Jon Bell,open,ATLAS-4895,PR-9541,,Open_Question for checkout-api: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00036,2018-08-03,risk,high,inventory-reservation,Samir Rao,mitigated,ATLAS-4503,PR-10111,,Risk for inventory-reservation: QA evidence is missing.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00037,2018-08-05,risk,critical,search-recommendations,Aisha Khan,closed,ATLAS-5527,PR-5451,,Risk for search-recommendations: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00038,2018-08-07,decision,,inventory-reservation,Samir Rao,closed,ATLAS-1415,PR-11435,,Decision for inventory-reservation: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00039,2018-08-08,assumption,,cart-service,Samir Rao,mitigated,ATLAS-3725,PR-8032,,Assumption for cart-service: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00040,2018-08-10,risk,medium,checkout-api,Anika Sharma,open,ATLAS-2568,PR-5963,,Risk for checkout-api: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00041,2018-08-12,assumption,,tax-service,Priya Nair,watching,ATLAS-2359,PR-10207,,Assumption for tax-service: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00042,2018-08-14,risk,critical,payment-orchestrator,Luca Moretti,open,ATLAS-4733,PR-6821,,Risk for payment-orchestrator: database migration needs rehearsal.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00043,2018-08-16,decision,,cart-service,Theo Martin,closed,ATLAS-4291,PR-5959,,Decision for cart-service: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00044,2018-08-18,blocker,high,payment-orchestrator,Kim Tan,watching,ATLAS-1440,PR-9028,,Blocker for payment-orchestrator: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00045,2018-08-19,open_question,,payment-orchestrator,Luca Moretti,watching,ATLAS-2526,PR-9373,,Open_Question for payment-orchestrator: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00046,2018-08-21,action,,analytics-pipeline,Theo Martin,closed,ATLAS-3349,PR-5771,,Action for analytics-pipeline: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00047,2018-08-23,open_question,,pricing-engine,Ravi Patel,accepted,ATLAS-2547,PR-6453,PD-2404,Open_Question for pricing-engine: QA evidence is missing.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00048,2018-08-25,blocker,low,pricing-engine,Dmitri Volkov,watching,ATLAS-4905,PR-6111,,Blocker for pricing-engine: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00049,2018-08-27,decision,,loyalty-service,Nora Singh,mitigated,ATLAS-4713,PR-9227,,Decision for loyalty-service: database migration needs rehearsal.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00050,2018-08-28,decision,,checkout-api,Sara Novak,closed,ATLAS-2775,PR-6246,,Decision for checkout-api: database migration needs rehearsal.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00051,2018-08-30,assumption,,order-ledger,Priya Nair,closed,ATLAS-4255,PR-11828,,Assumption for order-ledger: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00052,2018-09-01,decision,,order-ledger,Owen Brooks,open,ATLAS-2034,PR-5053,,Decision for order-ledger: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00053,2018-09-03,assumption,,tax-service,Noah Evans,open,ATLAS-3989,PR-7206,PD-2469,Assumption for tax-service: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00054,2018-09-05,assumption,,auth-gateway,Ben Carter,watching,ATLAS-4225,PR-6978,PD-2263,Assumption for auth-gateway: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00055,2018-09-07,action,,pricing-engine,Victor Silva,closed,ATLAS-5608,PR-7498,,Action for pricing-engine: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00056,2018-09-08,blocker,medium,analytics-pipeline,Grace Kim,closed,ATLAS-1613,PR-5133,,Blocker for analytics-pipeline: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00057,2018-09-10,blocker,critical,tax-service,Grace Kim,open,ATLAS-6085,PR-8496,PD-2888,Blocker for tax-service: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00058,2018-09-12,open_question,,tax-service,Iris Wang,closed,ATLAS-5887,PR-9769,,Open_Question for tax-service: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00059,2018-09-14,blocker,critical,checkout-api,Dmitri Volkov,open,ATLAS-3059,PR-7839,PD-2108,Blocker for checkout-api: database migration needs rehearsal.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00060,2018-09-16,decision,,tax-service,Aisha Khan,watching,ATLAS-5393,PR-6946,,Decision for tax-service: database migration needs rehearsal.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00061,2018-09-17,blocker,high,tax-service,Luca Moretti,open,ATLAS-3019,PR-8284,,Blocker for tax-service: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00062,2018-09-19,action,,notification-service,Grace Kim,mitigated,ATLAS-3796,PR-7406,,Action for notification-service: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00063,2018-09-21,risk,low,order-ledger,Ben Carter,accepted,ATLAS-5055,PR-8780,,Risk for order-ledger: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00064,2018-09-23,open_question,,notification-service,Aisha Khan,watching,ATLAS-1278,PR-7584,,Open_Question for notification-service: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00065,2018-09-25,decision,,auth-gateway,Ben Carter,closed,ATLAS-3782,PR-5598,,Decision for auth-gateway: QA evidence is missing.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00066,2018-09-27,risk,low,payment-orchestrator,Victor Silva,accepted,ATLAS-1267,PR-7063,,Risk for payment-orchestrator: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00067,2018-09-28,action,,pricing-engine,Kim Tan,accepted,ATLAS-3397,PR-5201,,Action for pricing-engine: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00068,2018-09-30,blocker,high,payment-orchestrator,Dmitri Volkov,closed,ATLAS-3823,PR-6954,,Blocker for payment-orchestrator: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00069,2018-10-02,assumption,,auth-gateway,Theo Martin,mitigated,ATLAS-3593,PR-6053,,Assumption for auth-gateway: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00070,2018-10-04,blocker,high,tax-service,Victor Silva,mitigated,ATLAS-4385,PR-7180,,Blocker for tax-service: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00071,2018-10-06,action,,inventory-reservation,Anika Sharma,mitigated,ATLAS-5277,PR-8453,,Action for inventory-reservation: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00072,2018-10-07,action,,tax-service,Ben Carter,closed,ATLAS-2811,PR-6815,,Action for tax-service: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00073,2018-10-09,assumption,,payment-orchestrator,Owen Brooks,open,ATLAS-5748,PR-5180,PD-2800,Assumption for payment-orchestrator: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00074,2018-10-11,open_question,,payment-orchestrator,Samir Rao,mitigated,ATLAS-2522,PR-5869,,Open_Question for payment-orchestrator: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00075,2018-10-13,action,,cart-service,Samir Rao,closed,ATLAS-2605,PR-9418,,Action for cart-service: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00076,2018-10-15,assumption,,auth-gateway,Jon Bell,open,ATLAS-3256,PR-10470,PD-2501,Assumption for auth-gateway: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00077,2018-10-16,blocker,critical,order-ledger,Elena Petrova,watching,ATLAS-5074,PR-10505,PD-2890,Blocker for order-ledger: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00078,2018-10-18,risk,high,payment-orchestrator,Luca Moretti,open,ATLAS-2896,PR-6993,,Risk for payment-orchestrator: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00079,2018-10-20,risk,critical,payment-orchestrator,Aisha Khan,accepted,ATLAS-4828,PR-6002,PD-2644,Risk for payment-orchestrator: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00080,2018-10-22,blocker,low,payment-orchestrator,Dmitri Volkov,open,ATLAS-5204,PR-8658,,Blocker for payment-orchestrator: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00081,2018-10-24,risk,low,notification-service,Sara Novak,mitigated,ATLAS-5659,PR-7007,PD-2635,Risk for notification-service: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00082,2018-10-26,action,,inventory-reservation,Kim Tan,closed,ATLAS-3106,PR-10032,,Action for inventory-reservation: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00083,2018-10-27,blocker,medium,payment-orchestrator,Theo Martin,mitigated,ATLAS-3175,PR-11250,,Blocker for payment-orchestrator: database migration needs rehearsal.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00084,2018-10-29,open_question,,checkout-api,Harper Lee,watching,ATLAS-5644,PR-9755,PD-2347,Open_Question for checkout-api: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00085,2018-10-31,blocker,low,notification-service,Kim Tan,watching,ATLAS-4426,PR-5775,,Blocker for notification-service: QA evidence is missing.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00086,2018-11-02,risk,medium,checkout-api,Noah Evans,open,ATLAS-1446,PR-8135,,Risk for checkout-api: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00087,2018-11-04,action,,cart-service,Theo Martin,mitigated,ATLAS-2109,PR-5991,,Action for cart-service: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00088,2018-11-05,assumption,,tax-service,Ravi Patel,mitigated,ATLAS-3283,PR-10584,PD-2146,Assumption for tax-service: database migration needs rehearsal.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00089,2018-11-07,blocker,medium,payment-orchestrator,Iris Wang,accepted,ATLAS-1388,PR-10011,PD-2385,Blocker for payment-orchestrator: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00090,2018-11-09,assumption,,analytics-pipeline,Fatima Noor,closed,ATLAS-1749,PR-5208,,Assumption for analytics-pipeline: database migration needs rehearsal.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00091,2018-11-11,open_question,,auth-gateway,Theo Martin,accepted,ATLAS-1292,PR-7331,,Open_Question for auth-gateway: QA evidence is missing.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00092,2018-11-13,assumption,,notification-service,Sara Novak,closed,ATLAS-6051,PR-11461,PD-2849,Assumption for notification-service: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00093,2018-11-15,assumption,,search-recommendations,Sara Novak,mitigated,ATLAS-2546,PR-9613,,Assumption for search-recommendations: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00094,2018-11-16,risk,low,inventory-reservation,Mateo Garcia,watching,ATLAS-1095,PR-8903,,Risk for inventory-reservation: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00095,2018-11-18,open_question,,auth-gateway,Anika Sharma,mitigated,ATLAS-5133,PR-12116,,Open_Question for auth-gateway: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00096,2018-11-20,open_question,,cart-service,Ravi Patel,watching,ATLAS-1945,PR-9118,PD-2159,Open_Question for cart-service: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00097,2018-11-22,blocker,high,tax-service,Noah Evans,open,ATLAS-2992,PR-5580,PD-2348,Blocker for tax-service: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00098,2018-11-24,open_question,,search-recommendations,Victor Silva,watching,ATLAS-2799,PR-6679,PD-2697,Open_Question for search-recommendations: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00099,2018-11-25,risk,low,checkout-api,Theo Martin,accepted,ATLAS-3727,PR-11316,,Risk for checkout-api: database migration needs rehearsal.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00100,2018-11-27,action,,pricing-engine,Harper Lee,accepted,ATLAS-3066,PR-9941,,Action for pricing-engine: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00101,2018-11-29,open_question,,inventory-reservation,Harper Lee,mitigated,ATLAS-5037,PR-8120,PD-2742,Open_Question for inventory-reservation: QA evidence is missing.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00102,2018-12-01,action,,tax-service,Harper Lee,accepted,ATLAS-1856,PR-7255,,Action for tax-service: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00103,2018-12-03,blocker,medium,auth-gateway,Ben Carter,mitigated,ATLAS-1436,PR-7573,,Blocker for auth-gateway: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00104,2018-12-05,action,,loyalty-service,Harper Lee,accepted,ATLAS-5156,PR-9775,PD-2093,Action for loyalty-service: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00105,2018-12-06,decision,,cart-service,Aisha Khan,closed,ATLAS-4060,PR-6010,PD-2517,Decision for cart-service: QA evidence is missing.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00106,2018-12-08,open_question,,auth-gateway,Ravi Patel,watching,ATLAS-2263,PR-9365,,Open_Question for auth-gateway: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00107,2018-12-10,blocker,high,analytics-pipeline,Victor Silva,open,ATLAS-5464,PR-9215,,Blocker for analytics-pipeline: database migration needs rehearsal.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00108,2018-12-12,blocker,medium,analytics-pipeline,Iris Wang,open,ATLAS-2687,PR-9599,,Blocker for analytics-pipeline: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00109,2018-12-14,blocker,medium,analytics-pipeline,Mateo Garcia,closed,ATLAS-5540,PR-8032,,Blocker for analytics-pipeline: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
