event_id,event_type,repo,branch,pr_id,commit_sha,release_id,title,author,created_at,merged_at,status,files_changed,additions,deletions,linked_issues,linked_incidents,services,risk_notes,review_outcome
GH-00011,commit,atlas-payments,release-pricing-engine-2018,,000000bffa5e,,"pricing-engine: update runbook, dashboards, and alert thresholds",Theo Martin,2018-06-07,,open,28,633,139,ATLAS-3269,PD-2355,pricing-engine,low risk,auto merged
GH-00012,commit,atlas-payments,hotfix-tax-service-2018,PR-5012,000000cecf6d,,tax-service: reduce latency and improve retry behavior,Iris Wang,2018-06-08,,merged,22,110,30,ATLAS-2617,,tax-service,watch p95 latency,changes requested
GH-00013,commit,atlas-orders,feature-payment-orchestrator-2018,,000000d56ce0,,payment-orchestrator: migrate legacy path behind feature flag,Kim Tan,2018-06-08,,closed,3,378,553,ATLAS-1811;ATLAS-4925,,payment-orchestrator,watch p95 latency,release captain approved
GH-00014,review,atlas-infra,hotfix-analytics-pipeline-2018,PR-5014,000000e796aa,,analytics-pipeline: add source-grounded validation for rollout,Samir Rao,2018-06-06,2018-06-07,open,7,1098,240,ATLAS-1227,PD-2263,analytics-pipeline,watch p95 latency,changes requested
GH-00015,commit,atlas-data,main-cart-service-2018,,000000f510c0,,cart-service: reduce latency and improve retry behavior,Elena Petrova,2018-06-09,,approved,14,339,885,ATLAS-5252;ATLAS-3757,PD-2384,cart-service,database migration risk,release captain approved
GH-00016,pull_request,atlas-observability,hotfix-notification-service-2018,PR-5016,0000010da8c3,,notification-service: add source-grounded validation for rollout,Harper Lee,2018-06-07,2018-06-10,merged,7,439,881,ATLAS-4211;ATLAS-2476,PD-2732,notification-service,database migration risk,approved
GH-00017,pull_request,atlas-payments,release-notification-service-2018,PR-5017,00000118af37,,notification-service: fix incident follow-up and regression tests,Aisha Khan,2018-06-10,2018-06-19,open,40,136,43,ATLAS-2469;ATLAS-3300,,notification-service,needs QA evidence,changes requested
GH-00018,pull_request,atlas-checkout,hotfix-payment-orchestrator-2018,PR-5018,0000012317dc,,payment-orchestrator: migrate legacy path behind feature flag,Aisha Khan,2018-06-10,2018-06-17,closed,30,439,739,ATLAS-6166;ATLAS-2333,PD-2496,payment-orchestrator,database migration risk,auto merged
GH-00019,commit,atlas-orders,feature-payment-orchestrator-2018,,00000137a2b0,,payment-orchestrator: add source-grounded validation for rollout,Fatima Noor,2018-06-10,,approved,35,40,75,ATLAS-3380;ATLAS-3389,,payment-orchestrator,database migration risk,auto merged
GH-00020,review,atlas-web,main-auth-gateway-2018,PR-5020,000001400066,,auth-gateway: fix incident follow-up and regression tests,Priya Nair,2018-06-08,2018-06-17,merged,20,346,341,ATLAS-4662;ATLAS-4215,PD-2806,auth-gateway,low risk,changes requested
GH-00021,commit,atlas-mobile,release-inventory-reservation-2018,,00000150f2be,,inventory-reservation: migrate legacy path behind feature flag,Fatima Noor,2018-06-12,,approved,37,667,793,ATLAS-3772,PD-2808,inventory-reservation,needs QA evidence,release captain approved
GH-00022,commit,atlas-payments,hotfix-analytics-pipeline-2018,PR-5022,0000016887b5,,analytics-pipeline: migrate legacy path behind feature flag,Aisha Khan,2018-06-09,,merged,37,1300,351,ATLAS-5517;ATLAS-4239,,analytics-pipeline,needs QA evidence,auto merged
GH-00023,release,atlas-checkout,release-pricing-engine-2018,,000001701e44,REL-2018.2.3,pricing-engine: add source-grounded validation for rollout,Harper Lee,2018-06-12,,closed,7,296,653,ATLAS-1610;ATLAS-3898,,pricing-engine,low risk,release captain approved
GH-00024,pull_request,atlas-data,release-search-recommendations-2018,PR-5024,0000018434b6,,search-recommendations: fix incident follow-up and regression tests,Sara Novak,2018-06-10,2018-06-13,merged,20,402,696,ATLAS-5692,PD-2526,search-recommendations,needs QA evidence,approved
GH-00025,commit,atlas-web,hotfix-loyalty-service-2018,PR-5025,0000019fe886,,"loyalty-service: update runbook, dashboards, and alert thresholds",Theo Martin,2018-06-10,,released,41,27,49,ATLAS-2797;ATLAS-1973;ATLAS-1983,PD-2208,loyalty-service,requires rollback plan,approved
GH-00026,pull_request,atlas-payments,release-notification-service-2018,PR-5026,000001a63dd6,,"notification-service: update runbook, dashboards, and alert thresholds",Grace Kim,2018-06-13,2018-06-22,merged,40,644,187,ATLAS-4375;ATLAS-5517;ATLAS-3301,PD-2211,notification-service,low risk,approved
GH-00027,commit,atlas-infra,main-notification-service-2018,,000001b1efbf,,notification-service: fix incident follow-up and regression tests,Nora Singh,2018-06-10,,open,17,408,828,ATLAS-5312;ATLAS-2360,,notification-service,needs QA evidence,release captain approved
GH-00028,commit,atlas-mobile,release-notification-service-2018,PR-5028,000001c08489,,notification-service: reduce latency and improve retry behavior,Mateo Garcia,2018-06-11,,merged,6,888,478,ATLAS-1408;ATLAS-2917;ATLAS-4496,,notification-service,needs QA evidence,release captain approved
GH-00029,commit,atlas-data,release-cart-service-2018,PR-5029,000001ddddef,,cart-service: fix incident follow-up and regression tests,Owen Brooks,2018-06-11,,open,35,1174,272,ATLAS-1338,,cart-service,database migration risk,changes requested
GH-00030,commit,atlas-data,main-order-ledger-2018,PR-5030,000001ef53e5,,order-ledger: migrate legacy path behind feature flag,Maya Chen,2018-06-15,,closed,18,214,498,ATLAS-5507,PD-2764,order-ledger,database migration risk,approved
GH-00031,commit,atlas-infra,feature-loyalty-service-2018,PR-5031,000001f41a55,,loyalty-service: migrate legacy path behind feature flag,Noah Evans,2018-06-14,,merged,27,1080,412,ATLAS-5169;ATLAS-1321;ATLAS-3858,,loyalty-service,needs QA evidence,approved
GH-00032,pull_request,atlas-payments,main-analytics-pipeline-2018,PR-5032,000002077c48,,analytics-pipeline: add source-grounded validation for rollout,Elena Petrova,2018-06-15,2018-06-16,released,5,623,625,ATLAS-5918;ATLAS-4369;ATLAS-5271,,analytics-pipeline,watch p95 latency,release captain approved
GH-00033,commit,atlas-checkout,feature-cart-service-2018,,00000218b743,,cart-service: add source-grounded validation for rollout,Aisha Khan,2018-06-15,,released,36,528,294,ATLAS-1640,,cart-service,low risk,changes requested
GH-00034,commit,atlas-web,hotfix-search-recommendations-2018,PR-5034,00000228f5c7,,"search-recommendations: update runbook, dashboards, and alert thresholds",Noah Evans,2018-06-13,,closed,18,1062,483,ATLAS-3904;ATLAS-1956,PD-2086,search-recommendations,needs QA evidence,changes requested
GH-00035,commit,atlas-mobile,feature-checkout-api-2018,,000002351c55,,checkout-api: reduce latency and improve retry behavior,Yara Haddad,2018-06-13,,open,9,739,494,ATLAS-4965;ATLAS-2170;ATLAS-1062,,checkout-api,database migration risk,auto merged
GH-00036,review,atlas-mobile,hotfix-checkout-api-2018,PR-5036,00000240cb37,,checkout-api: reduce latency and improve retry behavior,Samir Rao,2018-06-18,2018-06-22,approved,24,827,504,ATLAS-1562;ATLAS-3473;ATLAS-2258,,checkout-api,needs QA evidence,release captain approved
GH-00037,pull_request,atlas-web,release-checkout-api-2018,PR-5037,0000025a22ac,,checkout-api: add source-grounded validation for rollout,Fatima Noor,2018-06-16,2018-06-17,approved,21,1075,680,ATLAS-5661;ATLAS-4905;ATLAS-4225,PD-2587,checkout-api,needs QA evidence,changes requested
GH-00038,commit,atlas-data,main-pricing-engine-2018,,0000026cb7ae,,"pricing-engine: update runbook, dashboards, and alert thresholds",Anika Sharma,2018-06-19,,open,10,481,824,ATLAS-2292,,pricing-engine,requires rollback plan,changes requested
GH-00039,review,atlas-mobile,main-tax-service-2018,PR-5039,0000027b334a,,"tax-service: update runbook, dashboards, and alert thresholds",Luca Moretti,2018-06-16,2018-06-18,released,16,31,71,ATLAS-2629;ATLAS-3540;ATLAS-1975,PD-2338,tax-service,database migration risk,changes requested
GH-00040,commit,atlas-infra,hotfix-payment-orchestrator-2018,,000002881fc4,,payment-orchestrator: fix incident follow-up and regression tests,Nora Singh,2018-06-19,,open,29,49,615,ATLAS-5501,,payment-orchestrator,needs QA evidence,approved
GH-00041,pull_request,atlas-checkout,release-notification-service-2018,PR-5041,00000296eb4c,,"notification-service: update runbook, dashboards, and alert thresholds",Dmitri Volkov,2018-06-19,2018-06-23,merged,29,309,611,ATLAS-3618;ATLAS-1216,,notification-service,watch p95 latency,auto merged
GH-00042,commit,atlas-observability,main-order-ledger-2018,,000002ad4f3f,,order-ledger: reduce latency and improve retry behavior,Aisha Khan,2018-06-18,,approved,32,447,493,ATLAS-5624;ATLAS-2515;ATLAS-3362,PD-2263,order-ledger,low risk,release captain approved
GH-00043,commit,atlas-mobile,hotfix-analytics-pipeline-2018,PR-5043,000002b27ac3,,"analytics-pipeline: update runbook, dashboards, and alert thresholds",Yara Haddad,2018-06-20,,open,42,723,595,ATLAS-1547,,analytics-pipeline,low risk,release captain approved
GH-00044,review,atlas-orders,feature-inventory-reservation-2018,PR-5044,000002c7ae83,,inventory-reservation: add source-grounded validation for rollout,Iris Wang,2018-06-19,2018-06-21,released,4,161,217,ATLAS-3810,PD-2170,inventory-reservation,needs QA evidence,release captain approved
GH-00045,commit,atlas-mobile,main-notification-service-2018,,000002db15b2,,notification-service: migrate legacy path behind feature flag,Anika Sharma,2018-06-21,,closed,22,297,142,ATLAS-3810,,notification-service,watch p95 latency,approved
GH-00046,pull_request,atlas-mobile,feature-pricing-engine-2018,PR-5046,000002ef54a2,,pricing-engine: add source-grounded validation for rollout,Victor Silva,2018-06-21,2018-06-22,released,16,1214,186,ATLAS-3880;ATLAS-1419,,pricing-engine,watch p95 latency,approved
GH-00047,review,atlas-checkout,hotfix-tax-service-2018,PR-5047,000002f19ff7,,tax-service: reduce latency and improve retry behavior,Jon Bell,2018-06-21,2018-06-26,released,28,1027,330,ATLAS-1700;ATLAS-5112,,tax-service,database migration risk,release captain approved
GH-00048,commit,atlas-data,hotfix-pricing-engine-2018,PR-5048,00000308e020,,pricing-engine: fix incident follow-up and regression tests,Aisha Khan,2018-06-21,,closed,16,133,772,ATLAS-5399,PD-2611,pricing-engine,requires rollback plan,auto merged
GH-00049,commit,atlas-infra,main-auth-gateway-2018,,00000310923e,,auth-gateway: fix incident follow-up and regression tests,Fatima Noor,2018-06-20,,approved,14,1080,652,ATLAS-2369;ATLAS-2096,PD-2337,auth-gateway,requires rollback plan,approved
GH-00050,pull_request,atlas-mobile,release-checkout-api-2018,PR-5050,000003296bb5,,checkout-api: reduce latency and improve retry behavior,Ben Carter,2018-06-20,2018-06-29,approved,2,694,649,ATLAS-2723;ATLAS-4098;ATLAS-4653,PD-2811,checkout-api,low risk,approved
GH-00051,commit,atlas-observability,main-cart-service-2018,,000003308025,,cart-service: migrate legacy path behind feature flag,Anika Sharma,2018-06-23,,open,4,733,585,ATLAS-2108;ATLAS-2860,PD-2448,cart-service,requires rollback plan,release captain approved
GH-00052,pull_request,atlas-infra,main-loyalty-service-2018,PR-5052,0000034b02af,,loyalty-service: add source-grounded validation for rollout,Anika Sharma,2018-06-21,2018-06-30,approved,23,1363,200,ATLAS-2068;ATLAS-5680,,loyalty-service,low risk,changes requested
GH-00053,release,atlas-data,hotfix-auth-gateway-2018,PR-5053,000003518247,REL-2018.2.13,auth-gateway: fix incident follow-up and regression tests,Priya Nair,2018-06-20,,closed,40,980,353,ATLAS-1301;ATLAS-5811,,auth-gateway,database migration risk,release captain approved
GH-00054,review,atlas-data,main-search-recommendations-2018,PR-5054,0000036aafed,,search-recommendations: reduce latency and improve retry behavior,Grace Kim,2018-06-22,2018-06-27,open,20,860,545,ATLAS-2034;ATLAS-6096,,search-recommendations,low risk,release captain approved
GH-00055,commit,atlas-web,hotfix-checkout-api-2018,,00000377e33b,,checkout-api: add source-grounded validation for rollout,Luca Moretti,2018-06-21,,approved,26,94,847,ATLAS-1024;ATLAS-5906,,checkout-api,database migration risk,approved
GH-00056,commit,atlas-orders,hotfix-cart-service-2018,,000003891395,,cart-service: reduce latency and improve retry behavior,Victor Silva,2018-06-23,,released,22,303,160,ATLAS-1651;ATLAS-3417,,cart-service,needs QA evidence,changes requested
GH-00057,commit,atlas-mobile,release-cart-service-2018,,000003925a30,,cart-service: reduce latency and improve retry behavior,Ben Carter,2018-06-23,,approved,30,157,398,ATLAS-2814;ATLAS-1289;ATLAS-2992,PD-2261,cart-service,low risk,release captain approved
GH-00058,review,atlas-orders,hotfix-search-recommendations-2018,PR-5058,000003a11d83,,search-recommendations: add source-grounded validation for rollout,Noah Evans,2018-06-24,2018-07-02,approved,15,1096,539,ATLAS-4866,PD-2131,search-recommendations,database migration risk,changes requested
GH-00059,release,atlas-orders,release-checkout-api-2018,PR-5059,000003b3850c,REL-2018.2.19,checkout-api: add source-grounded validation for rollout,Ben Carter,2018-06-24,,released,26,394,798,ATLAS-4493;ATLAS-3964;ATLAS-2343,PD-2828,checkout-api,needs QA evidence,changes requested
GH-00060,commit,atlas-web,hotfix-order-ledger-2018,PR-5060,000003c915f2,,"order-ledger: update runbook, dashboards, and alert thresholds",Owen Brooks,2018-06-27,,open,22,997,737,ATLAS-1266;ATLAS-2238,PD-2442,order-ledger,watch p95 latency,changes requested
GH-00061,pull_request,atlas-web,release-analytics-pipeline-2018,PR-5061,000003dc33d1,,analytics-pipeline: reduce latency and improve retry behavior,Nora Singh,2018-06-26,2018-07-01,open,39,1264,283,ATLAS-2292,,analytics-pipeline,needs QA evidence,release captain approved
GH-00062,commit,atlas-orders,release-payment-orchestrator-2018,PR-5062,000003e3d817,,"payment-orchestrator: update runbook, dashboards, and alert thresholds",Fatima Noor,2018-06-27,,closed,20,390,193,ATLAS-4698;ATLAS-3230;ATLAS-4365,PD-2654,payment-orchestrator,requires rollback plan,auto merged
GH-00063,commit,atlas-mobile,main-checkout-api-2018,,000003f1a4b5,,checkout-api: add source-grounded validation for rollout,Nora Singh,2018-06-24,,released,15,807,56,ATLAS-3922;ATLAS-6128;ATLAS-5649,PD-2637,checkout-api,needs QA evidence,auto merged
GH-00064,commit,atlas-mobile,release-analytics-pipeline-2018,,000004080ebd,,analytics-pipeline: migrate legacy path behind feature flag,Yara Haddad,2018-06-25,,approved,31,715,712,ATLAS-4178;ATLAS-2749,PD-2663,analytics-pipeline,requires rollback plan,auto merged
GH-00065,commit,atlas-orders,release-pricing-engine-2018,PR-5065,00000413dcdd,,pricing-engine: fix incident follow-up and regression tests,Theo Martin,2018-06-27,,approved,34,1171,825,ATLAS-2956;ATLAS-2365,,pricing-engine,low risk,auto merged
GH-00066,commit,atlas-orders,hotfix-tax-service-2018,,0000042e5863,,tax-service: add source-grounded validation for rollout,Priya Nair,2018-06-26,,open,10,983,738,ATLAS-5845;ATLAS-2556,PD-2153,tax-service,watch p95 latency,release captain approved
GH-00067,commit,atlas-orders,main-notification-service-2018,,00000435191b,,"notification-service: update runbook, dashboards, and alert thresholds",Anika Sharma,2018-06-28,,closed,23,1376,639,ATLAS-2989;ATLAS-1966,PD-2850,notification-service,low risk,approved
GH-00068,pull_request,atlas-checkout,release-inventory-reservation-2018,PR-5068,000004497736,,inventory-reservation: add source-grounded validation for rollout,Victor Silva,2018-06-28,2018-07-01,merged,16,664,466,ATLAS-3586;ATLAS-3130;ATLAS-3735,,inventory-reservation,needs QA evidence,changes requested
GH-00069,review,atlas-data,hotfix-order-ledger-2018,PR-5069,0000045a0b86,,order-ledger: migrate legacy path behind feature flag,Victor Silva,2018-06-30,2018-07-05,released,27,193,709,ATLAS-2853;ATLAS-3008;ATLAS-5847,PD-2829,order-ledger,needs QA evidence,approved
GH-00070,review,atlas-mobile,release-tax-service-2018,PR-5070,00000468975f,,tax-service: reduce latency and improve retry behavior,Samir Rao,2018-07-01,2018-07-09,merged,26,519,161,ATLAS-4119,,tax-service,watch p95 latency,changes requested
GH-00071,commit,atlas-observability,hotfix-order-ledger-2018,,00000475fe2b,,order-ledger: add source-grounded validation for rollout,Luca Moretti,2018-06-27,,merged,9,533,128,ATLAS-4490,,order-ledger,watch p95 latency,changes requested
GH-00072,pull_request,atlas-data,release-notification-service-2018,PR-5072,0000048dbdda,,notification-service: fix incident follow-up and regression tests,Noah Evans,2018-06-30,2018-07-07,merged,29,671,61,ATLAS-5770;ATLAS-4862,PD-2008,notification-service,needs QA evidence,auto merged
GH-00073,pull_request,atlas-mobile,main-notification-service-2018,PR-5073,000004959035,,notification-service: add source-grounded validation for rollout,Grace Kim,2018-07-02,2018-07-08,open,42,920,619,ATLAS-3102,PD-2800,notification-service,database migration risk,auto merged
GH-00074,pull_request,atlas-checkout,hotfix-order-ledger-2018,PR-5074,000004a581f7,,order-ledger: reduce latency and improve retry behavior,Anika Sharma,2018-06-30,2018-07-08,closed,19,897,323,ATLAS-1046,,order-ledger,requires rollback plan,release captain approved
GH-00075,pull_request,atlas-data,main-order-ledger-2018,PR-5075,000004b0976f,,order-ledger: add source-grounded validation for rollout,Ravi Patel,2018-07-01,2018-07-06,merged,20,223,815,ATLAS-4439,,order-ledger,needs QA evidence,changes requested
GH-00076,pull_request,atlas-checkout,feature-pricing-engine-2018,PR-5076,000004ce8a9f,,pricing-engine: migrate legacy path behind feature flag,Nora Singh,2018-06-30,2018-07-08,released,29,1221,286,ATLAS-5134,,pricing-engine,database migration risk,release captain approved
GH-00077,commit,atlas-observability,release-cart-service-2018,,000004df3887,,cart-service: reduce latency and improve retry behavior,Maya Chen,2018-07-04,,open,23,204,794,ATLAS-5399;ATLAS-3487;ATLAS-5707,,cart-service,database migration risk,approved
GH-00078,pull_request,atlas-checkout,hotfix-auth-gateway-2018,PR-5078,000004e9029a,,auth-gateway: fix incident follow-up and regression tests,Maya Chen,2018-07-03,2018-07-10,closed,11,996,389,ATLAS-3273;ATLAS-4474;ATLAS-2236,,auth-gateway,low risk,changes requested
GH-00079,commit,atlas-orders,release-inventory-reservation-2018,,000004f42f0b,,inventory-reservation: reduce latency and improve retry behavior,Mateo Garcia,2018-07-01,,released,36,1380,317,ATLAS-5788;ATLAS-4238,PD-2781,inventory-reservation,requires rollback plan,release captain approved
GH-00080,review,atlas-mobile,release-cart-service-2018,PR-5080,00000500462c,,cart-service: add source-grounded validation for rollout,Nora Singh,2018-07-04,2018-07-05,approved,4,287,894,ATLAS-4495;ATLAS-1807,,cart-service,needs QA evidence,release captain approved
GH-00081,commit,atlas-data,main-loyalty-service-2018,PR-5081,00000512178d,,"loyalty-service: update runbook, dashboards, and alert thresholds",Aisha Khan,2018-07-04,,released,5,1208,406,ATLAS-5375,,loyalty-service,database migration risk,approved
GH-00082,commit,atlas-web,release-cart-service-2018,,00000529ca50,,"cart-service: update runbook, dashboards, and alert thresholds",Harper Lee,2018-07-05,,approved,20,1247,811,ATLAS-6147,PD-2552,cart-service,needs QA evidence,changes requested
GH-00083,pull_request,atlas-payments,hotfix-order-ledger-2018,PR-5083,00000533aeb6,,order-ledger: reduce latency and improve retry behavior,Dmitri Volkov,2018-07-04,2018-07-07,closed,2,1333,719,ATLAS-2212,,order-ledger,database migration risk,release captain approved
GH-00084,branch,atlas-web,hotfix-loyalty-service-2018,PR-5084,00000544918f,,loyalty-service: reduce latency and improve retry behavior,Fatima Noor,2018-07-04,,open,1,630,189,ATLAS-4722;ATLAS-5488,,loyalty-service,requires rollback plan,changes requested
GH-00085,pull_request,atlas-orders,feature-notification-service-2018,PR-5085,000005585dfb,,notification-service: fix incident follow-up and regression tests,Dmitri Volkov,2018-07-03,2018-07-09,released,41,234,424,ATLAS-3130,PD-2518,notification-service,database migration risk,release captain approved
GH-00086,commit,atlas-data,feature-pricing-engine-2018,,0000056fdf34,,pricing-engine: add source-grounded validation for rollout,Aisha Khan,2018-07-04,,released,3,922,810,ATLAS-2172;ATLAS-5726;ATLAS-3927,PD-2636,pricing-engine,watch p95 latency,changes requested
GH-00087,pull_request,atlas-mobile,main-analytics-pipeline-2018,PR-5087,000005734bfc,,analytics-pipeline: fix incident follow-up and regression tests,Jon Bell,2018-07-07,2018-07-14,approved,30,701,628,ATLAS-3947;ATLAS-2075,,analytics-pipeline,requires rollback plan,auto merged
GH-00088,commit,atlas-checkout,main-analytics-pipeline-2018,,0000058a96d0,,analytics-pipeline: reduce latency and improve retry behavior,Victor Silva,2018-07-04,,open,2,1039,898,ATLAS-4871;ATLAS-2943,,analytics-pipeline,database migration risk,auto merged
GH-00089,commit,atlas-checkout,hotfix-pricing-engine-2018,,000005909c57,,pricing-engine: add source-grounded validation for rollout,Luca Moretti,2018-07-05,,merged,31,949,788,ATLAS-4437;ATLAS-3536;ATLAS-4691,,pricing-engine,database migration risk,changes requested
GH-00090,commit,atlas-mobile,hotfix-cart-service-2018,PR-5090,000005ac721f,,cart-service: reduce latency and improve retry behavior,Maya Chen,2018-07-06,,closed,32,705,786,ATLAS-2980,,cart-service,needs QA evidence,auto merged
GH-00091,pull_request,atlas-observability,release-order-ledger-2018,PR-5091,000005b530b8,,order-ledger: migrate legacy path behind feature flag,Kim Tan,2018-07-07,2018-07-09,open,4,896,65,ATLAS-4978;ATLAS-3722,PD-2797,order-ledger,needs QA evidence,changes requested
GH-00092,commit,atlas-mobile,feature-loyalty-service-2018,,000005c2997c,,loyalty-service: fix incident follow-up and regression tests,Anika Sharma,2018-07-05,,closed,8,805,854,ATLAS-2856,PD-2619,loyalty-service,watch p95 latency,release captain approved
GH-00093,review,atlas-payments,release-cart-service-2018,PR-5093,000005d8d713,,"cart-service: update runbook, dashboards, and alert thresholds",Anika Sharma,2018-07-10,2018-07-11,closed,36,560,809,ATLAS-5238;ATLAS-1115,PD-2027,cart-service,requires rollback plan,approved
GH-00094,commit,atlas-web,hotfix-checkout-api-2018,,000005eebde5,,checkout-api: add source-grounded validation for rollout,Elena Petrova,2018-07-06,,open,14,791,233,ATLAS-4364,PD-2253,checkout-api,low risk,changes requested
GH-00095,pull_request,atlas-web,hotfix-search-recommendations-2018,PR-5095,000005f5685e,,search-recommendations: reduce latency and improve retry behavior,Anika Sharma,2018-07-09,2018-07-16,open,9,303,398,ATLAS-1877;ATLAS-1774;ATLAS-1935,,search-recommendations,needs QA evidence,release captain approved
GH-00096,pull_request,atlas-mobile,feature-analytics-pipeline-2018,PR-5096,000006088052,,analytics-pipeline: add source-grounded validation for rollout,Fatima Noor,2018-07-08,2018-07-14,released,9,246,561,ATLAS-3227;ATLAS-1998;ATLAS-5001,,analytics-pipeline,database migration risk,auto merged
GH-00097,pull_request,atlas-infra,feature-order-ledger-2018,PR-5097,0000061f6196,,order-ledger: migrate legacy path behind feature flag,Maya Chen,2018-07-11,2018-07-18,open,24,1290,430,ATLAS-2590;ATLAS-2234,PD-2283,order-ledger,low risk,auto merged
GH-00098,commit,atlas-mobile,main-auth-gateway-2018,,0000062d67b7,,auth-gateway: migrate legacy path behind feature flag,Jon Bell,2018-07-12,,closed,39,401,141,ATLAS-1884;ATLAS-1873;ATLAS-4495,PD-2671,auth-gateway,requires rollback plan,approved
GH-00099,pull_request,atlas-mobile,release-notification-service-2018,PR-5099,0000063d87b3,,notification-service: migrate legacy path behind feature flag,Yara Haddad,2018-07-11,2018-07-20,closed,2,583,624,ATLAS-5285,PD-2820,notification-service,requires rollback plan,release captain approved
GH-00100,branch,atlas-payments,feature-loyalty-service-2018,,00000641d65a,,loyalty-service: migrate legacy path behind feature flag,Luca Moretti,2018-07-10,,merged,26,282,344,ATLAS-3222,,loyalty-service,database migration risk,changes requested
GH-00101,commit,atlas-web,release-payment-orchestrator-2018,PR-5101,000006513546,,"payment-orchestrator: update runbook, dashboards, and alert thresholds",Noah Evans,2018-07-09,,approved,26,97,111,ATLAS-2152;ATLAS-5860,PD-2256,payment-orchestrator,needs QA evidence,auto merged
GH-00102,commit,atlas-data,main-cart-service-2018,,0000066d30e3,,cart-service: reduce latency and improve retry behavior,Grace Kim,2018-07-12,,released,27,111,561,ATLAS-5561;ATLAS-4946;ATLAS-1507,PD-2677,cart-service,requires rollback plan,approved
GH-00103,review,atlas-observability,feature-pricing-engine-2018,PR-5103,0000067a51b2,,"pricing-engine: update runbook, dashboards, and alert thresholds",Ravi Patel,2018-07-10,2018-07-15,released,28,1371,744,ATLAS-4307;ATLAS-2989;ATLAS-5678,PD-2269,pricing-engine,watch p95 latency,release captain approved
GH-00104,commit,atlas-observability,hotfix-tax-service-2018,,00000687bf51,,tax-service: migrate legacy path behind feature flag,Noah Evans,2018-07-10,,approved,39,243,440,ATLAS-2449;ATLAS-6151,PD-2355,tax-service,needs QA evidence,changes requested
GH-00105,commit,atlas-orders,release-pricing-engine-2018,,0000069ed691,,pricing-engine: fix incident follow-up and regression tests,Yara Haddad,2018-07-12,,open,34,628,673,ATLAS-5086;ATLAS-3827,PD-2691,pricing-engine,requires rollback plan,changes requested
GH-00106,pull_request,atlas-infra,main-pricing-engine-2018,PR-5106,000006aec420,,pricing-engine: fix incident follow-up and regression tests,Priya Nair,2018-07-14,2018-07-16,released,26,325,47,ATLAS-2409;ATLAS-6154,,pricing-engine,requires rollback plan,approved
