issue_key,issue_type,epic,summary,status,priority,assignee,reporter,created,updated,sprint,due_date,story_points,service,component,phase,labels,linked_prs,linked_incidents,risk_or_blocker_notes,acceptance_criteria,business_impact
ATLAS-1011,Task,ATLAS-1001,Reduce p95 latency in inventory-reservation,Done,Medium,Luca Moretti,Dmitri Volkov,2018-06-10,2018-08-09,Sprint 001,2018-07-25,8,inventory-reservation,inventory,Phase 0 Legacy Stabilization,"0,handoff,inventory,inventory-reservation,jira",PR-5011,,Decision: owner Luca Moretti to validate idempotency with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for inventory-reservation; evidence links to PR-5011.",Closes audit gap for migration readiness and operational handoff.
ATLAS-1012,Bug,ATLAS-1001,Resolve customer escalation linked to search-recommendations,Done,High,Dmitri Volkov,Samir Rao,2018-06-14,2018-07-19,Sprint 001,2018-07-05,8,search-recommendations,search,Phase 0 Legacy Stabilization,"0,jira,release,search,search-recommendations",,,Blocker: waiting on search contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for search-recommendations; evidence links to ATLAS-1012.",Improves onboarding because new engineers can trace decision context.
ATLAS-1013,Incident Follow-up,ATLAS-1001,Resolve customer escalation linked to payment-orchestrator,Closed,Medium,Mateo Garcia,Jon Bell,2018-06-07,2018-08-20,Sprint 001,2018-07-07,3,payment-orchestrator,payments,Phase 0 Legacy Stabilization,"0,handoff,jira,payment-orchestrator,payments",PR-5013,,Decision: owner Mateo Garcia to validate database index bloat with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for payment-orchestrator; evidence links to PR-5013.",Improves onboarding because new engineers can trace decision context.
ATLAS-1014,Task,ATLAS-1001,Migrate inventory-reservation dependency from legacy checkout,Done,Medium,Kim Tan,Samir Rao,2018-06-12,2018-07-05,Sprint 001,2018-08-11,1,inventory-reservation,inventory,Phase 0 Legacy Stabilization,"0,inventory,inventory-reservation,jira,release",PR-5014,,Customer impact: support needs clear status if fraud rule evaluation breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for inventory-reservation; evidence links to PR-5014.",Closes audit gap for migration readiness and operational handoff.
ATLAS-1015,Story,ATLAS-1001,Migrate checkout-api dependency from legacy checkout,Done,High,Elena Petrova,Fatima Noor,2018-06-10,2018-08-05,Sprint 001,2018-06-17,8,checkout-api,backend,Phase 0 Legacy Stabilization,"0,backend,checkout,checkout-api,jira",PR-5015,,Decision: owner Elena Petrova to validate order confirmation with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for checkout-api; evidence links to PR-5015.",Improves checkout reliability and reduces manual support triage.
ATLAS-1016,Task,ATLAS-1001,Resolve customer escalation linked to analytics-pipeline,Closed,Medium,Kim Tan,Luca Moretti,2018-06-13,2018-07-14,Sprint 001,2018-07-04,8,analytics-pipeline,data,Phase 0 Legacy Stabilization,"0,analytics-pipeline,data,jira,risk",,,Risk: analytics-pipeline can cause checkout drop if payment capture fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for analytics-pipeline; evidence links to ATLAS-1016.",Protects conversion during peak campaigns and regional launches.
ATLAS-1017,Story,ATLAS-1001,Create rollback plan for tax-service,Done,Medium,Elena Petrova,Aisha Khan,2018-06-12,2018-08-14,Sprint 001,2018-08-11,13,tax-service,tax,Phase 0 Legacy Stabilization,"0,jira,release,tax,tax-service",PR-5017,,"Action: add monitoring, rollback owner, and KT note for tax-service.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for tax-service; evidence links to PR-5017.",Improves onboarding because new engineers can trace decision context.
ATLAS-1018,Bug,ATLAS-1001,Migrate tax-service dependency from legacy checkout,Done,Medium,Samir Rao,Yara Haddad,2018-06-13,2018-07-27,Sprint 001,2018-06-27,3,tax-service,tax,Phase 0 Legacy Stabilization,"0,jira,release,tax,tax-service",PR-5018,PD-2018,"Action: add monitoring, rollback owner, and KT note for tax-service.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for tax-service; evidence links to PR-5018.",Closes audit gap for migration readiness and operational handoff.
ATLAS-1019,Task,ATLAS-1001,Backfill data validation for payment-orchestrator,Closed,Medium,Theo Martin,Harper Lee,2018-06-16,2018-06-28,Sprint 001,2018-07-31,3,payment-orchestrator,payments,Phase 0 Legacy Stabilization,"0,checkout,jira,payment-orchestrator,payments",,,Decision: owner Theo Martin to validate queue lag with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for payment-orchestrator; evidence links to ATLAS-1019.",Improves onboarding because new engineers can trace decision context.
ATLAS-1020,Story,ATLAS-1001,Reduce p95 latency in loyalty-service,Done,High,Kim Tan,Ravi Patel,2018-06-13,2018-07-26,Sprint 001,2018-08-12,2,loyalty-service,loyalty,Phase 0 Legacy Stabilization,"0,jira,loyalty,loyalty-service,risk",PR-5020,,Blocker: waiting on loyalty contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for loyalty-service; evidence links to PR-5020.",Improves onboarding because new engineers can trace decision context.
ATLAS-1021,Story,ATLAS-1001,Harden idempotency and retry behavior for notification-service,Done,Critical,Elena Petrova,Priya Nair,2018-06-12,2018-07-21,Sprint 001,2018-07-27,1,notification-service,messaging,Phase 0 Legacy Stabilization,"0,jira,messaging,notification-service,release",PR-5021,,"Action: add monitoring, rollback owner, and KT note for notification-service.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for notification-service; evidence links to PR-5021.",Closes audit gap for migration readiness and operational handoff.
ATLAS-1022,Risk,ATLAS-1001,Harden idempotency and retry behavior for auth-gateway,Done,High,Anika Sharma,Elena Petrova,2018-06-19,2018-08-13,Sprint 002,2018-08-03,1,auth-gateway,platform,Phase 0 Legacy Stabilization,"0,auth-gateway,checkout,jira,platform",PR-5022,PD-2022,"Action: add monitoring, rollback owner, and KT note for auth-gateway.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for auth-gateway; evidence links to PR-5022.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-1023,Bug,ATLAS-1001,Fix order confirmation regression in analytics-pipeline,Done,Medium,Aisha Khan,Noah Evans,2018-06-13,2018-07-09,Sprint 001,2018-06-27,8,analytics-pipeline,data,Phase 0 Legacy Stabilization,"0,analytics-pipeline,data,jira,release",PR-5023,,"Action: add monitoring, rollback owner, and KT note for analytics-pipeline.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for analytics-pipeline; evidence links to PR-5023.",Protects conversion during peak campaigns and regional launches.
ATLAS-1024,Story,ATLAS-1001,Add tracing and dashboard coverage for cart-service,Done,High,Theo Martin,Ben Carter,2018-06-19,2018-07-12,Sprint 002,2018-08-18,5,cart-service,backend,Phase 0 Legacy Stabilization,"0,backend,cart-service,jira,kt",PR-5024,,Decision: owner Theo Martin to validate database index bloat with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for cart-service; evidence links to PR-5024.",Improves checkout reliability and reduces manual support triage.
ATLAS-1025,Task,ATLAS-1001,Fix coupon timeout fallback regression in inventory-reservation,Done,Medium,Kim Tan,Yara Haddad,2018-06-22,2018-07-24,Sprint 002,2018-07-22,5,inventory-reservation,inventory,Phase 0 Legacy Stabilization,"0,checkout,inventory,inventory-reservation,jira",PR-5025,,Customer impact: support needs clear status if coupon timeout fallback breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for inventory-reservation; evidence links to PR-5025.",Improves onboarding because new engineers can trace decision context.
ATLAS-1026,Bug,ATLAS-1001,Resolve customer escalation linked to notification-service,Done,Medium,Jon Bell,Fatima Noor,2018-06-22,2018-07-12,Sprint 002,2018-07-22,2,notification-service,messaging,Phase 0 Legacy Stabilization,"0,jira,kt,messaging,notification-service",PR-5026,PD-2026,Decision: owner Jon Bell to validate inventory reservation with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for notification-service; evidence links to PR-5026.",Improves checkout reliability and reduces manual support triage.
ATLAS-1027,Story,ATLAS-1001,Add tracing and dashboard coverage for loyalty-service,Closed,Critical,Priya Nair,Dmitri Volkov,2018-06-24,2018-07-28,Sprint 002,2018-07-15,1,loyalty-service,loyalty,Phase 0 Legacy Stabilization,"0,jira,kt,loyalty,loyalty-service",,,Customer impact: support needs clear status if loyalty points accrual breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for loyalty-service; evidence links to ATLAS-1027.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-1028,Story,ATLAS-1001,Document runbook for notification-service,Done,Critical,Grace Kim,Mateo Garcia,2018-06-24,2018-09-03,Sprint 002,2018-07-08,2,notification-service,messaging,Phase 0 Legacy Stabilization,"0,jira,messaging,notification-service,risk",,,Blocker: waiting on messaging contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for notification-service; evidence links to ATLAS-1028.",Improves checkout reliability and reduces manual support triage.
ATLAS-1029,Story,ATLAS-1001,Migrate payment-orchestrator dependency from legacy checkout,Done,Low,Kim Tan,Owen Brooks,2018-06-21,2018-08-19,Sprint 002,2018-07-12,8,payment-orchestrator,payments,Phase 0 Legacy Stabilization,"0,jira,kt,payment-orchestrator,payments",PR-5029,,Blocker: waiting on payments contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for payment-orchestrator; evidence links to PR-5029.",Protects conversion during peak campaigns and regional launches.
ATLAS-1030,Task,ATLAS-1001,Backfill data validation for tax-service,Closed,Critical,Aisha Khan,Jon Bell,2018-06-23,2018-09-09,Sprint 002,2018-06-30,8,tax-service,tax,Phase 0 Legacy Stabilization,"0,jira,release,tax,tax-service",PR-5030,,Blocker: waiting on tax contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for tax-service; evidence links to PR-5030.",Closes audit gap for migration readiness and operational handoff.
ATLAS-1031,Bug,ATLAS-1001,Add tracing and dashboard coverage for cart-service,Closed,Critical,Iris Wang,Kim Tan,2018-06-25,2018-08-27,Sprint 002,2018-08-09,8,cart-service,backend,Phase 0 Legacy Stabilization,"0,backend,cart-service,checkout,jira",PR-5031,,Customer impact: support needs clear status if tax quote consistency breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for cart-service; evidence links to PR-5031.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-1032,Bug,ATLAS-1001,Add tracing and dashboard coverage for search-recommendations,Closed,Medium,Victor Silva,Theo Martin,2018-06-25,2018-09-02,Sprint 002,2018-07-16,1,search-recommendations,search,Phase 0 Legacy Stabilization,"0,jira,release,search,search-recommendations",PR-5032,,Blocker: waiting on search contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for search-recommendations; evidence links to PR-5032.",Protects conversion during peak campaigns and regional launches.
ATLAS-1033,Story,ATLAS-1001,Implement payment-orchestrator contract for order confirmation,Done,High,Noah Evans,Ben Carter,2018-06-19,2018-07-05,Sprint 002,2018-06-26,2,payment-orchestrator,payments,Phase 0 Legacy Stabilization,"0,jira,payment-orchestrator,payments,release",,,Risk: payment-orchestrator can cause checkout drop if order confirmation fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for payment-orchestrator; evidence links to ATLAS-1033.",Improves checkout reliability and reduces manual support triage.
ATLAS-1034,Risk,ATLAS-1001,Resolve customer escalation linked to notification-service,Closed,Medium,Owen Brooks,Luca Moretti,2018-06-20,2018-07-09,Sprint 002,2018-07-04,1,notification-service,messaging,Phase 0 Legacy Stabilization,"0,jira,messaging,notification-service,release",,,"Action: add monitoring, rollback owner, and KT note for notification-service.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for notification-service; evidence links to ATLAS-1034.",Improves onboarding because new engineers can trace decision context.
ATLAS-1035,Task,ATLAS-1001,Document runbook for notification-service,Done,Medium,Ravi Patel,Yara Haddad,2018-06-23,2018-08-17,Sprint 002,2018-07-07,1,notification-service,messaging,Phase 0 Legacy Stabilization,"0,jira,messaging,notification-service,release",PR-5035,,Risk: notification-service can cause checkout drop if feature flag rollout fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for notification-service; evidence links to PR-5035.",Improves onboarding because new engineers can trace decision context.
ATLAS-1036,Story,ATLAS-1001,Implement tax-service contract for database index bloat,Done,High,Maya Chen,Ravi Patel,2018-06-20,2018-07-24,Sprint 002,2018-07-11,13,tax-service,tax,Phase 0 Legacy Stabilization,"0,checkout,jira,tax,tax-service",PR-5036,,Blocker: waiting on tax contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for tax-service; evidence links to PR-5036.",Protects conversion during peak campaigns and regional launches.
ATLAS-1037,Story,ATLAS-1001,Implement tax-service contract for inventory reservation,Done,Critical,Fatima Noor,Anika Sharma,2018-06-28,2018-07-01,Sprint 002,2018-07-19,3,tax-service,tax,Phase 0 Legacy Stabilization,"0,jira,metrics,tax,tax-service",PR-5037,,Customer impact: support needs clear status if inventory reservation breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for tax-service; evidence links to PR-5037.",Protects conversion during peak campaigns and regional launches.
ATLAS-1038,Bug,ATLAS-1001,Document runbook for tax-service,Done,Medium,Mateo Garcia,Owen Brooks,2018-06-23,2018-06-26,Sprint 002,2018-07-23,1,tax-service,tax,Phase 0 Legacy Stabilization,"0,jira,risk,tax,tax-service",,,Risk: tax-service can cause checkout drop if loyalty points accrual fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for tax-service; evidence links to ATLAS-1038.",Closes audit gap for migration readiness and operational handoff.
ATLAS-1039,Story,ATLAS-1001,Add tracing and dashboard coverage for cart-service,Closed,Medium,Victor Silva,Ben Carter,2018-06-26,2018-07-09,Sprint 002,2018-07-10,5,cart-service,backend,Phase 0 Legacy Stabilization,"0,backend,cart-service,checkout,jira",,,Customer impact: support needs clear status if queue lag breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for cart-service; evidence links to ATLAS-1039.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-1040,Bug,ATLAS-1001,Backfill data validation for tax-service,Done,High,Anika Sharma,Samir Rao,2018-06-29,2018-07-12,Sprint 002,2018-08-13,13,tax-service,tax,Phase 0 Legacy Stabilization,"0,jira,metrics,tax,tax-service",,,Decision: owner Anika Sharma to validate payment capture with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for tax-service; evidence links to ATLAS-1040.",Closes audit gap for migration readiness and operational handoff.
ATLAS-1041,Story,ATLAS-1001,Add tracing and dashboard coverage for checkout-api,Closed,Medium,Elena Petrova,Noah Evans,2018-06-23,2018-07-15,Sprint 002,2018-07-07,1,checkout-api,backend,Phase 0 Legacy Stabilization,"0,backend,checkout-api,handoff,jira",PR-5041,,Blocker: waiting on backend contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for checkout-api; evidence links to PR-5041.",Improves checkout reliability and reduces manual support triage.
ATLAS-1042,Incident Follow-up,ATLAS-1001,Add tracing and dashboard coverage for cart-service,Closed,High,Nora Singh,Theo Martin,2018-06-25,2018-08-12,Sprint 002,2018-08-09,3,cart-service,backend,Phase 0 Legacy Stabilization,"0,backend,cart-service,jira,risk",,,Customer impact: support needs clear status if inventory reservation breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for cart-service; evidence links to ATLAS-1042.",Improves checkout reliability and reduces manual support triage.
ATLAS-1043,Story,ATLAS-1001,Backfill data validation for tax-service,Closed,Medium,Fatima Noor,Jon Bell,2018-06-29,2018-07-06,Sprint 002,2018-07-06,1,tax-service,tax,Phase 0 Legacy Stabilization,"0,jira,release,tax,tax-service",PR-5043,,"Action: add monitoring, rollback owner, and KT note for tax-service.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for tax-service; evidence links to PR-5043.",Improves onboarding because new engineers can trace decision context.
ATLAS-1044,Story,ATLAS-1001,Add tracing and dashboard coverage for checkout-api,Done,Medium,Anika Sharma,Luca Moretti,2018-07-04,2018-08-07,Sprint 003,2018-07-11,8,checkout-api,backend,Phase 0 Legacy Stabilization,"0,backend,checkout-api,jira,metrics",PR-5044,,Customer impact: support needs clear status if mobile checkout session breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for checkout-api; evidence links to PR-5044.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-1045,Story,ATLAS-1001,Migrate pricing-engine dependency from legacy checkout,Done,Medium,Iris Wang,Samir Rao,2018-06-25,2018-08-31,Sprint 002,2018-07-09,5,pricing-engine,pricing,Phase 0 Legacy Stabilization,"0,jira,kt,pricing,pricing-engine",,,"Action: add monitoring, rollback owner, and KT note for pricing-engine.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for pricing-engine; evidence links to ATLAS-1045.",Protects conversion during peak campaigns and regional launches.
ATLAS-1046,Bug,ATLAS-1001,Create rollback plan for notification-service,Done,Critical,Elena Petrova,Samir Rao,2018-06-28,2018-07-05,Sprint 002,2018-07-12,1,notification-service,messaging,Phase 0 Legacy Stabilization,"0,handoff,jira,messaging,notification-service",,,Decision: owner Elena Petrova to validate tax quote consistency with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for notification-service; evidence links to ATLAS-1046.",Protects conversion during peak campaigns and regional launches.
ATLAS-1047,Story,ATLAS-1001,Implement search-recommendations contract for order confirmation,Closed,Medium,Aisha Khan,Noah Evans,2018-07-01,2018-08-15,Sprint 002,2018-08-30,13,search-recommendations,search,Phase 0 Legacy Stabilization,"0,jira,kt,search,search-recommendations",PR-5047,,Decision: owner Aisha Khan to validate order confirmation with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for search-recommendations; evidence links to PR-5047.",Closes audit gap for migration readiness and operational handoff.
ATLAS-1048,Risk,ATLAS-1001,Resolve customer escalation linked to checkout-api,Closed,Critical,Sara Novak,Noah Evans,2018-06-28,2018-08-15,Sprint 002,2018-07-05,3,checkout-api,backend,Phase 0 Legacy Stabilization,"0,backend,checkout-api,jira,risk",,,Customer impact: support needs clear status if database index bloat breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for checkout-api; evidence links to ATLAS-1048.",Protects conversion during peak campaigns and regional launches.
ATLAS-1049,Story,ATLAS-1001,Reduce p95 latency in notification-service,Done,Medium,Dmitri Volkov,Anika Sharma,2018-07-03,2018-09-07,Sprint 003,2018-08-17,5,notification-service,messaging,Phase 0 Legacy Stabilization,"0,checkout,jira,messaging,notification-service",,,Customer impact: support needs clear status if feature flag rollout breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for notification-service; evidence links to ATLAS-1049.",Closes audit gap for migration readiness and operational handoff.
ATLAS-1050,Bug,ATLAS-1001,Harden idempotency and retry behavior for checkout-api,Done,Low,Fatima Noor,Maya Chen,2018-07-06,2018-08-20,Sprint 003,2018-08-05,8,checkout-api,backend,Phase 0 Legacy Stabilization,"0,backend,checkout-api,jira,risk",PR-5050,,Risk: checkout-api can cause checkout drop if feature flag rollout fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for checkout-api; evidence links to PR-5050.",Closes audit gap for migration readiness and operational handoff.
ATLAS-1051,Story,ATLAS-1001,Implement pricing-engine contract for tax quote consistency,Done,High,Anika Sharma,Owen Brooks,2018-07-03,2018-09-21,Sprint 003,2018-07-24,5,pricing-engine,pricing,Phase 0 Legacy Stabilization,"0,handoff,jira,pricing,pricing-engine",PR-5051,,Decision: owner Anika Sharma to validate tax quote consistency with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for pricing-engine; evidence links to PR-5051.",Improves checkout reliability and reduces manual support triage.
ATLAS-1052,Story,ATLAS-1001,Document runbook for payment-orchestrator,Done,Medium,Samir Rao,Kim Tan,2018-07-07,2018-09-19,Sprint 003,2018-08-21,1,payment-orchestrator,payments,Phase 0 Legacy Stabilization,"0,checkout,jira,payment-orchestrator,payments",,,"Action: add monitoring, rollback owner, and KT note for payment-orchestrator.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for payment-orchestrator; evidence links to ATLAS-1052.",Improves checkout reliability and reduces manual support triage.
ATLAS-1053,Story,ATLAS-1001,Fix fraud rule evaluation regression in search-recommendations,Done,Critical,Priya Nair,Grace Kim,2018-07-02,2018-08-20,Sprint 003,2018-08-01,3,search-recommendations,search,Phase 0 Legacy Stabilization,"0,jira,metrics,search,search-recommendations",,,Risk: search-recommendations can cause checkout drop if fraud rule evaluation fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for search-recommendations; evidence links to ATLAS-1053.",Protects conversion during peak campaigns and regional launches.
ATLAS-1054,Story,ATLAS-1001,Create rollback plan for loyalty-service,Done,Medium,Owen Brooks,Priya Nair,2018-07-03,2018-08-12,Sprint 003,2018-07-17,2,loyalty-service,loyalty,Phase 0 Legacy Stabilization,"0,handoff,jira,loyalty,loyalty-service",PR-5054,,"Action: add monitoring, rollback owner, and KT note for loyalty-service.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for loyalty-service; evidence links to PR-5054.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-1055,Story,ATLAS-1001,Reduce p95 latency in auth-gateway,Done,High,Jon Bell,Ravi Patel,2018-07-07,2018-08-07,Sprint 003,2018-07-21,3,auth-gateway,platform,Phase 0 Legacy Stabilization,"0,auth-gateway,jira,platform,release",PR-5055,,Blocker: waiting on platform contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for auth-gateway; evidence links to PR-5055.",Improves onboarding because new engineers can trace decision context.
ATLAS-1056,Task,ATLAS-1001,Resolve customer escalation linked to order-ledger,Done,High,Maya Chen,Jon Bell,2018-07-08,2018-07-12,Sprint 003,2018-07-15,2,order-ledger,orders,Phase 0 Legacy Stabilization,"0,handoff,jira,order-ledger,orders",,,"Action: add monitoring, rollback owner, and KT note for order-ledger.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for order-ledger; evidence links to ATLAS-1056.",Improves checkout reliability and reduces manual support triage.
