deployment_id,deployed_at,service,environment,repo,linked_pr,release_id,feature_flag,traffic_percent,status,release_captain,guardrail,linked_jira,notes
DEP-00024,2018-06-28,notification-service,prod,atlas-payments,PR-9959,REL-2022.1.15,flag_notification_service_payment_retry,1,rolled back,Samir Rao,manual approval,ATLAS-1167,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00025,2018-07-01,inventory-reservation,canary,atlas-data,PR-7167,REL-2025.02,flag_inventory_reservation_regional_launch,75,rolled back,Ben Carter,database lag guard,ATLAS-2418,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00026,2018-07-02,search-recommendations,prod,atlas-mobile,PR-9867,REL-2018.12,flag_search_recommendations_regional_launch,5,success,Iris Wang,support volume guard,ATLAS-3580,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00027,2018-07-03,order-ledger,stage,atlas-web,PR-11827,REL-2019.3.5,flag_order_ledger_regional_launch,10,rolled back,Yara Haddad,error budget guard,ATLAS-1531,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for order-ledger."
DEP-00028,2018-07-03,cart-service,prod,atlas-mobile,PR-6988,REL-2023.04,flag_cart_service_dual_run,5,success,Ravi Patel,support volume guard,ATLAS-3367,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for cart-service."
DEP-00029,2018-07-04,auth-gateway,prod,atlas-checkout,PR-6093,REL-2022.1.19,flag_auth_gateway_rollback_guard,25,rolled back,Anika Sharma,database lag guard,ATLAS-2668,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00030,2018-07-07,inventory-reservation,stage,atlas-observability,PR-9511,REL-2024.3.6,flag_inventory_reservation_mobile_session,100,partial,Samir Rao,error budget guard,ATLAS-4726,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00031,2018-07-09,loyalty-service,stage,atlas-data,PR-6107,REL-2024.3.0,flag_loyalty_service_regional_launch,25,success,Maya Chen,error budget guard,ATLAS-3436,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00032,2018-07-10,auth-gateway,canary,atlas-infra,PR-5447,REL-2025.1.13,flag_auth_gateway_payment_retry,50,success,Yara Haddad,error budget guard,ATLAS-4022,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00033,2018-07-10,inventory-reservation,prod,atlas-mobile,PR-8415,REL-2023.1.14,flag_inventory_reservation_new_write_path,25,partial,Fatima Noor,latency guard,ATLAS-4208,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00034,2018-07-12,inventory-reservation,prod,atlas-data,PR-7617,REL-2025.3.11,flag_inventory_reservation_mobile_session,100,rolled back,Victor Silva,database lag guard,ATLAS-1971,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00035,2018-07-13,search-recommendations,canary,atlas-payments,PR-9853,REL-2025.4.2,flag_search_recommendations_payment_retry,50,success,Luca Moretti,manual approval,ATLAS-5550,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00036,2018-07-15,loyalty-service,canary,atlas-data,PR-10047,REL-2020.4.14,flag_loyalty_service_regional_launch,50,monitoring,Nora Singh,support volume guard,ATLAS-4648,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00037,2018-07-15,search-recommendations,prod,atlas-data,PR-8418,REL-2019.3.19,flag_search_recommendations_regional_launch,1,rolled back,Yara Haddad,manual approval,ATLAS-1421,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00038,2018-07-16,loyalty-service,prod,atlas-web,PR-6146,REL-2023.06,flag_loyalty_service_mobile_session,75,paused,Jon Bell,database lag guard,ATLAS-6195,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00039,2018-07-18,notification-service,canary,atlas-observability,PR-10775,REL-2022.1.0,flag_notification_service_new_write_path,75,partial,Dmitri Volkov,database lag guard,ATLAS-3019,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00040,2018-07-18,pricing-engine,prod,atlas-web,PR-8412,REL-2024.08,flag_pricing_engine_regional_launch,75,success,Elena Petrova,latency guard,ATLAS-3185,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for pricing-engine."
DEP-00041,2018-07-21,notification-service,stage,atlas-data,PR-5600,REL-2019.1.14,flag_notification_service_mobile_session,1,rolled back,Priya Nair,manual approval,ATLAS-5901,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00042,2018-07-22,cart-service,canary,atlas-data,PR-7655,REL-2020.3.17,flag_cart_service_rollback_guard,10,success,Owen Brooks,database lag guard,ATLAS-3469,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for cart-service."
DEP-00043,2018-07-23,payment-orchestrator,stage,atlas-observability,PR-11001,REL-2025.3.11,flag_payment_orchestrator_rollback_guard,75,paused,Kim Tan,error budget guard,ATLAS-1436,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00044,2018-07-25,payment-orchestrator,prod,atlas-data,PR-7426,REL-2025.2.14,flag_payment_orchestrator_dual_run,100,partial,Anika Sharma,latency guard,ATLAS-5563,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00045,2018-07-26,checkout-api,canary,atlas-mobile,PR-12540,REL-2023.04,flag_checkout_api_dual_run,50,paused,Fatima Noor,error budget guard,ATLAS-4133,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00046,2018-07-27,auth-gateway,prod,atlas-web,PR-11074,REL-2021.2.11,flag_auth_gateway_regional_launch,1,partial,Owen Brooks,manual approval,ATLAS-2952,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00047,2018-07-28,pricing-engine,canary,atlas-checkout,PR-6737,REL-2025.03,flag_pricing_engine_new_write_path,100,monitoring,Iris Wang,error budget guard,ATLAS-2185,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for pricing-engine."
DEP-00048,2018-07-28,auth-gateway,canary,atlas-orders,PR-5476,REL-2020.3.5,flag_auth_gateway_payment_retry,10,paused,Sara Novak,manual approval,ATLAS-4185,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00049,2018-07-31,search-recommendations,canary,atlas-mobile,PR-5116,REL-2020.4.8,flag_search_recommendations_mobile_session,0,partial,Kim Tan,manual approval,ATLAS-4126,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00050,2018-07-31,notification-service,canary,atlas-payments,PR-5995,REL-2022.4.16,flag_notification_service_new_write_path,25,success,Grace Kim,error budget guard,ATLAS-5005,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00051,2018-08-01,inventory-reservation,canary,atlas-infra,PR-8105,REL-2023.04,flag_inventory_reservation_mobile_session,25,paused,Theo Martin,manual approval,ATLAS-1817,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00052,2018-08-01,inventory-reservation,canary,atlas-mobile,PR-6476,REL-2018.4.16,flag_inventory_reservation_regional_launch,50,monitoring,Sara Novak,manual approval,ATLAS-1297,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00053,2018-08-03,checkout-api,stage,atlas-orders,PR-5750,REL-2020.3.15,flag_checkout_api_mobile_session,50,monitoring,Yara Haddad,latency guard,ATLAS-4890,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00054,2018-08-04,tax-service,stage,atlas-orders,PR-5098,REL-2022.03,flag_tax_service_mobile_session,0,success,Ben Carter,manual approval,ATLAS-3982,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00055,2018-08-07,inventory-reservation,stage,atlas-mobile,PR-9702,REL-2019.11,flag_inventory_reservation_regional_launch,10,success,Grace Kim,manual approval,ATLAS-4800,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00056,2018-08-06,tax-service,prod,atlas-data,PR-6689,REL-2021.06,flag_tax_service_dual_run,50,monitoring,Aisha Khan,error budget guard,ATLAS-1973,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00057,2018-08-07,search-recommendations,canary,atlas-infra,PR-5586,REL-2024.11,flag_search_recommendations_rollback_guard,100,rolled back,Maya Chen,manual approval,ATLAS-2101,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00058,2018-08-09,notification-service,stage,atlas-web,PR-8824,REL-2023.3.0,flag_notification_service_new_write_path,0,monitoring,Kim Tan,manual approval,ATLAS-2107,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00059,2018-08-10,checkout-api,canary,atlas-mobile,PR-10099,REL-2020.4.5,flag_checkout_api_new_write_path,0,rolled back,Noah Evans,latency guard,ATLAS-4420,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00060,2018-08-11,order-ledger,canary,atlas-observability,PR-5180,REL-2021.3.9,flag_order_ledger_regional_launch,1,success,Kim Tan,manual approval,ATLAS-5728,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for order-ledger."
DEP-00061,2018-08-14,analytics-pipeline,canary,atlas-checkout,PR-11103,REL-2019.3.2,flag_analytics_pipeline_regional_launch,50,partial,Harper Lee,latency guard,ATLAS-1427,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for analytics-pipeline."
DEP-00062,2018-08-14,search-recommendations,stage,atlas-infra,PR-11340,REL-2026.1.10,flag_search_recommendations_dual_run,75,rolled back,Anika Sharma,manual approval,ATLAS-4787,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00063,2018-08-15,payment-orchestrator,canary,atlas-orders,PR-8321,REL-2025.3.14,flag_payment_orchestrator_new_write_path,75,success,Samir Rao,latency guard,ATLAS-4521,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00064,2018-08-18,checkout-api,prod,atlas-observability,PR-9056,REL-2026.2.14,flag_checkout_api_new_write_path,0,rolled back,Dmitri Volkov,database lag guard,ATLAS-1197,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00065,2018-08-18,notification-service,stage,atlas-web,PR-12003,REL-2022.05,flag_notification_service_rollback_guard,75,paused,Luca Moretti,support volume guard,ATLAS-2594,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00066,2018-08-19,checkout-api,prod,atlas-observability,PR-5442,REL-2023.1.6,flag_checkout_api_rollback_guard,25,rolled back,Yara Haddad,latency guard,ATLAS-4821,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00067,2018-08-21,search-recommendations,prod,atlas-infra,PR-12142,REL-2021.2.6,flag_search_recommendations_payment_retry,50,rolled back,Victor Silva,support volume guard,ATLAS-1190,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00068,2018-08-22,tax-service,prod,atlas-mobile,PR-9623,REL-2023.4.0,flag_tax_service_rollback_guard,5,success,Victor Silva,latency guard,ATLAS-3450,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00069,2018-08-23,payment-orchestrator,stage,atlas-web,PR-8666,REL-2024.3.10,flag_payment_orchestrator_rollback_guard,100,rolled back,Jon Bell,manual approval,ATLAS-3826,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00070,2018-08-25,order-ledger,canary,atlas-mobile,PR-10526,REL-2019.03,flag_order_ledger_mobile_session,50,rolled back,Jon Bell,database lag guard,ATLAS-1363,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for order-ledger."
DEP-00071,2018-08-25,loyalty-service,stage,atlas-observability,PR-8830,REL-2024.4.2,flag_loyalty_service_mobile_session,5,rolled back,Priya Nair,support volume guard,ATLAS-4982,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00072,2018-08-26,inventory-reservation,prod,atlas-observability,PR-7172,REL-2026.1.8,flag_inventory_reservation_regional_launch,75,partial,Anika Sharma,error budget guard,ATLAS-4541,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00073,2018-08-27,cart-service,canary,atlas-web,PR-5470,REL-2024.2.19,flag_cart_service_new_write_path,5,monitoring,Jon Bell,manual approval,ATLAS-4921,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for cart-service."
DEP-00074,2018-08-29,inventory-reservation,stage,atlas-infra,PR-5925,REL-2025.3.15,flag_inventory_reservation_dual_run,75,success,Aisha Khan,support volume guard,ATLAS-5530,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00075,2018-08-30,tax-service,stage,atlas-observability,PR-5129,REL-2021.03,flag_tax_service_new_write_path,75,partial,Ravi Patel,database lag guard,ATLAS-5853,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00076,2018-08-31,cart-service,prod,atlas-infra,PR-8262,REL-2022.3.16,flag_cart_service_dual_run,75,rolled back,Fatima Noor,manual approval,ATLAS-2033,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for cart-service."
DEP-00077,2018-08-31,inventory-reservation,canary,atlas-observability,PR-12132,REL-2024.4.6,flag_inventory_reservation_regional_launch,75,paused,Anika Sharma,manual approval,ATLAS-5510,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00078,2018-09-03,payment-orchestrator,canary,atlas-orders,PR-5228,REL-2021.06,flag_payment_orchestrator_payment_retry,0,success,Theo Martin,latency guard,ATLAS-6087,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00079,2018-09-04,order-ledger,canary,atlas-mobile,PR-9446,REL-2025.3.2,flag_order_ledger_new_write_path,10,monitoring,Anika Sharma,support volume guard,ATLAS-3854,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for order-ledger."
DEP-00080,2018-09-04,checkout-api,prod,atlas-infra,PR-5337,REL-2019.2.18,flag_checkout_api_new_write_path,100,paused,Luca Moretti,manual approval,ATLAS-3624,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00081,2018-09-06,tax-service,stage,atlas-infra,PR-10762,REL-2026.1.1,flag_tax_service_new_write_path,10,partial,Yara Haddad,support volume guard,ATLAS-4979,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00082,2018-09-08,analytics-pipeline,stage,atlas-observability,PR-12230,REL-2020.4.4,flag_analytics_pipeline_new_write_path,0,paused,Owen Brooks,error budget guard,ATLAS-4365,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for analytics-pipeline."
DEP-00083,2018-09-10,order-ledger,prod,atlas-checkout,PR-7295,REL-2018.11,flag_order_ledger_rollback_guard,75,partial,Luca Moretti,database lag guard,ATLAS-1938,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for order-ledger."
DEP-00084,2018-09-09,checkout-api,canary,atlas-data,PR-9712,REL-2022.2.9,flag_checkout_api_dual_run,0,monitoring,Samir Rao,error budget guard,ATLAS-1592,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00085,2018-09-12,order-ledger,stage,atlas-mobile,PR-5698,REL-2025.11,flag_order_ledger_regional_launch,0,monitoring,Theo Martin,support volume guard,ATLAS-2923,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for order-ledger."
DEP-00086,2018-09-12,auth-gateway,prod,atlas-infra,PR-7729,REL-2020.04,flag_auth_gateway_rollback_guard,75,rolled back,Ben Carter,error budget guard,ATLAS-4115,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00087,2018-09-15,tax-service,canary,atlas-mobile,PR-9928,REL-2022.4.15,flag_tax_service_payment_retry,10,rolled back,Ben Carter,latency guard,ATLAS-2903,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00088,2018-09-14,notification-service,prod,atlas-checkout,PR-5141,REL-2019.05,flag_notification_service_dual_run,75,monitoring,Ben Carter,error budget guard,ATLAS-2133,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00089,2018-09-17,loyalty-service,stage,atlas-mobile,PR-8172,REL-2026.2.1,flag_loyalty_service_new_write_path,100,partial,Grace Kim,error budget guard,ATLAS-2436,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00090,2018-09-18,notification-service,prod,atlas-data,PR-11951,REL-2023.08,flag_notification_service_dual_run,75,success,Maya Chen,support volume guard,ATLAS-2569,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00091,2018-09-17,analytics-pipeline,stage,atlas-web,PR-7509,REL-2021.2.17,flag_analytics_pipeline_regional_launch,100,monitoring,Theo Martin,support volume guard,ATLAS-2769,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for analytics-pipeline."
DEP-00092,2018-09-20,payment-orchestrator,prod,atlas-data,PR-6520,REL-2023.12,flag_payment_orchestrator_new_write_path,50,success,Ravi Patel,manual approval,ATLAS-1244,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00093,2018-09-21,search-recommendations,stage,atlas-data,PR-11804,REL-2020.2.18,flag_search_recommendations_new_write_path,0,rolled back,Harper Lee,error budget guard,ATLAS-4821,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00094,2018-09-21,search-recommendations,stage,atlas-checkout,PR-8028,REL-2025.07,flag_search_recommendations_payment_retry,10,paused,Maya Chen,error budget guard,ATLAS-1875,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00095,2018-09-23,inventory-reservation,prod,atlas-data,PR-12407,REL-2023.06,flag_inventory_reservation_rollback_guard,5,monitoring,Theo Martin,database lag guard,ATLAS-4850,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00096,2018-09-23,pricing-engine,stage,atlas-web,PR-5612,REL-2019.05,flag_pricing_engine_dual_run,75,partial,Samir Rao,database lag guard,ATLAS-5635,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for pricing-engine."
DEP-00097,2018-09-26,notification-service,stage,atlas-checkout,PR-11322,REL-2024.01,flag_notification_service_dual_run,25,rolled back,Grace Kim,database lag guard,ATLAS-2263,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00098,2018-09-28,order-ledger,prod,atlas-payments,PR-8714,REL-2021.4.12,flag_order_ledger_payment_retry,75,success,Noah Evans,latency guard,ATLAS-3915,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for order-ledger."
DEP-00099,2018-09-29,checkout-api,stage,atlas-checkout,PR-12564,REL-2020.4.4,flag_checkout_api_new_write_path,100,success,Elena Petrova,latency guard,ATLAS-5195,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00100,2018-09-29,inventory-reservation,canary,atlas-checkout,PR-9949,REL-2025.3.2,flag_inventory_reservation_dual_run,50,paused,Luca Moretti,latency guard,ATLAS-4821,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00101,2018-10-01,tax-service,stage,atlas-orders,PR-8287,REL-2024.4.8,flag_tax_service_mobile_session,5,monitoring,Grace Kim,error budget guard,ATLAS-2121,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
