date,channel,sessions,conversion_pct,p95_latency_ms,p99_latency_ms,error_rate_pct,support_tickets,payment_retries,notes,linked_jira
2018-06-21,partner-api,8142,74.87,654,1197,0.661,56,12,release day,ATLAS-2962
2018-06-21,store-kiosk,9881,73.78,642,1334,0.54,2,1,campaign,ATLAS-4357
2018-06-22,web,15342,75.44,773,1517,0.609,5,10,release day,ATLAS-1974
2018-06-22,ios,8898,74.14,778,1536,0.215,8,21,mobile regression,ATLAS-1374
2018-06-22,android,9575,76.32,690,1455,0.586,21,4,release day,ATLAS-3116
2018-06-22,mobile-web,9489,74.97,653,1383,0.744,72,2,normal,ATLAS-4756
2018-06-22,partner-api,8538,75.82,624,1174,0.282,39,11,normal,ATLAS-1760
2018-06-22,store-kiosk,9576,75.85,604,1150,0.694,55,31,incident watch,ATLAS-4606
2018-06-23,web,15476,75.54,690,1456,0.487,5,1,normal,ATLAS-5126
2018-06-23,ios,9883,73.94,726,1505,0.229,61,30,normal,ATLAS-1407
2018-06-23,android,10286,73.13,666,1353,0.724,16,1,payment provider watch,ATLAS-3921
2018-06-23,mobile-web,9112,74.28,753,1437,0.824,23,5,normal,ATLAS-5937
2018-06-23,partner-api,8608,75.72,763,1551,0.599,26,28,mobile regression,ATLAS-3420
2018-06-23,store-kiosk,10153,74.71,777,1605,0.023,75,6,normal,ATLAS-4818
2018-06-24,web,14431,74.71,713,1303,0.405,26,11,incident watch,ATLAS-5789
2018-06-24,ios,10001,76.39,637,1282,0.475,49,16,payment provider watch,ATLAS-5154
2018-06-24,android,9310,75.33,672,1343,0.468,62,0,payment provider watch,ATLAS-4062
2018-06-24,mobile-web,8607,74.27,654,1313,0.01,9,4,normal,ATLAS-3000
2018-06-24,partner-api,8246,75.91,779,1579,0.47,54,9,release day,ATLAS-5919
2018-06-24,store-kiosk,9685,74.28,667,1323,0.573,64,27,payment provider watch,ATLAS-1736
2018-06-25,web,17239,73.78,767,1422,0.562,47,6,normal,ATLAS-5179
2018-06-25,ios,10245,76.24,661,1308,0.462,70,6,payment provider watch,ATLAS-4025
2018-06-25,android,8372,76.32,704,1424,0.53,72,10,campaign,ATLAS-2717
2018-06-25,mobile-web,9708,74.05,658,1237,0.785,47,22,release day,ATLAS-4239
2018-06-25,partner-api,9296,74.04,660,1252,0.601,53,23,release day,ATLAS-2955
2018-06-25,store-kiosk,10096,75.12,761,1583,0.427,35,18,normal,ATLAS-5371
2018-06-26,web,16138,76.04,666,1257,0.713,40,19,mobile regression,ATLAS-1486
2018-06-26,ios,9103,75.01,609,1314,0.01,75,30,campaign,ATLAS-5490
2018-06-26,android,8321,75.95,609,1260,0.581,21,7,mobile regression,ATLAS-3911
2018-06-26,mobile-web,8610,76.49,767,1428,0.887,71,32,payment provider watch,ATLAS-5741
2018-06-26,partner-api,9306,76.8,648,1207,0.558,34,0,release day,ATLAS-5175
2018-06-26,store-kiosk,10122,76.69,727,1483,0.362,5,15,campaign,ATLAS-4038
2018-06-27,web,16374,74.13,751,1473,0.221,23,27,payment provider watch,ATLAS-2535
2018-06-27,ios,9801,74.97,708,1406,0.425,10,6,campaign,ATLAS-1963
2018-06-27,android,8637,76.73,641,1346,0.01,48,4,campaign,ATLAS-1301
2018-06-27,mobile-web,9195,73.87,720,1415,0.295,17,15,release day,ATLAS-2113
2018-06-27,partner-api,9385,75.03,736,1350,0.553,45,9,incident watch,ATLAS-2788
2018-06-27,store-kiosk,10096,72.94,755,1392,0.948,48,12,normal,ATLAS-5577
2018-06-28,web,16680,74.43,735,1467,0.722,41,28,campaign,ATLAS-5813
2018-06-28,ios,10382,74.11,747,1497,0.048,39,23,campaign,ATLAS-1066
2018-06-28,android,9587,75.77,631,1197,0.342,4,32,normal,ATLAS-1391
2018-06-28,mobile-web,8594,74.66,685,1255,0.45,36,16,release day,ATLAS-4808
2018-06-28,partner-api,10004,75.16,722,1442,0.01,0,19,release day,ATLAS-3847
2018-06-28,store-kiosk,10309,74.99,793,1521,0.445,68,24,normal,ATLAS-2148
2018-06-29,web,15466,73.44,651,1278,0.642,5,21,mobile regression,ATLAS-2473
2018-06-29,ios,10281,77.09,619,1252,0.158,42,20,mobile regression,ATLAS-4378
2018-06-29,android,8984,75.22,779,1521,0.678,24,12,campaign,ATLAS-5413
2018-06-29,mobile-web,10162,74.98,710,1462,0.505,37,11,normal,ATLAS-1848
2018-06-29,partner-api,8434,75.99,709,1338,0.818,9,9,mobile regression,ATLAS-3495
2018-06-29,store-kiosk,8508,73.41,679,1287,0.594,26,14,mobile regression,ATLAS-2708
2018-06-30,web,16792,75.02,800,1515,0.65,69,3,mobile regression,ATLAS-5966
2018-06-30,ios,9948,73.57,764,1468,0.213,72,27,campaign,ATLAS-3054
2018-06-30,android,9420,75.83,617,1204,0.242,75,29,incident watch,ATLAS-4566
2018-06-30,mobile-web,10339,73.07,763,1428,0.724,7,25,payment provider watch,ATLAS-4453
2018-06-30,partner-api,8422,73.66,665,1397,0.921,24,6,mobile regression,ATLAS-3014
2018-06-30,store-kiosk,9289,74.54,669,1374,0.431,10,18,payment provider watch,ATLAS-4601
2018-07-01,web,15794,73.08,717,1353,0.692,70,9,payment provider watch,ATLAS-2497
2018-07-01,ios,10329,76.11,733,1535,0.232,0,27,campaign,ATLAS-1755
2018-07-01,android,8691,74.51,691,1312,0.565,68,29,incident watch,ATLAS-3581
2018-07-01,mobile-web,9306,74.34,651,1239,0.01,70,23,payment provider watch,ATLAS-3702
2018-07-01,partner-api,9407,76.51,795,1607,0.992,17,9,normal,ATLAS-5818
2018-07-01,store-kiosk,9868,75.33,613,1152,0.482,1,26,incident watch,ATLAS-3368
2018-07-02,web,17081,76.69,619,1258,0.408,2,0,mobile regression,ATLAS-4511
2018-07-02,ios,8521,76.26,800,1480,0.671,32,11,normal,ATLAS-5163
2018-07-02,android,9479,75.98,621,1177,0.816,12,10,release day,ATLAS-2197
2018-07-02,mobile-web,9451,75.42,613,1294,0.651,22,6,mobile regression,ATLAS-5342
2018-07-02,partner-api,9044,74.04,725,1351,0.421,45,25,normal,ATLAS-5699
2018-07-02,store-kiosk,8714,72.94,765,1523,0.687,34,28,incident watch,ATLAS-2346
2018-07-03,web,14652,75.06,766,1572,0.495,68,4,normal,ATLAS-1835
2018-07-03,ios,9964,73.47,760,1577,0.482,75,6,mobile regression,ATLAS-3707
2018-07-03,android,10301,75.48,714,1487,0.471,51,12,release day,ATLAS-2252
2018-07-03,mobile-web,8497,74.35,655,1333,0.572,73,19,payment provider watch,ATLAS-1236
2018-07-03,partner-api,9627,77.01,602,1138,0.179,61,32,release day,ATLAS-4090
2018-07-03,store-kiosk,9191,73.83,740,1356,0.466,59,19,payment provider watch,ATLAS-5623
2018-07-04,web,15903,74.19,735,1452,0.248,11,23,payment provider watch,ATLAS-2426
2018-07-04,ios,10312,74.6,766,1544,0.31,67,26,campaign,ATLAS-5333
2018-07-04,android,8933,74.97,660,1223,0.471,4,6,normal,ATLAS-1163
2018-07-04,mobile-web,9231,74.54,625,1207,0.46,34,17,mobile regression,ATLAS-2241
2018-07-04,partner-api,9296,72.99,713,1329,0.323,10,10,campaign,ATLAS-6185
2018-07-04,store-kiosk,9151,75.51,662,1382,0.198,24,14,payment provider watch,ATLAS-3006
2018-07-05,web,15932,74.25,686,1434,0.474,43,19,normal,ATLAS-5083
2018-07-05,ios,9087,73.77,602,1287,0.264,57,5,normal,ATLAS-2052
2018-07-05,android,9263,76.42,659,1338,0.133,38,31,payment provider watch,ATLAS-1933
2018-07-05,mobile-web,8397,75.31,616,1264,0.339,38,5,release day,ATLAS-4169
2018-07-05,partner-api,8930,73.71,618,1246,0.921,5,21,incident watch,ATLAS-3433
2018-07-05,store-kiosk,10263,75.15,732,1428,0.746,51,4,incident watch,ATLAS-3643
2018-07-06,web,15485,75.16,618,1180,0.791,67,22,release day,ATLAS-5209
2018-07-06,ios,10150,73.91,793,1522,0.458,11,14,mobile regression,ATLAS-2051
2018-07-06,android,9324,73.5,736,1487,0.581,19,19,release day,ATLAS-1627
2018-07-06,mobile-web,8900,76.18,622,1316,0.348,20,6,payment provider watch,ATLAS-3783
2018-07-06,partner-api,8847,73.11,646,1222,0.316,43,29,mobile regression,ATLAS-6039
2018-07-06,store-kiosk,8848,73.55,649,1206,0.272,27,25,mobile regression,ATLAS-4511
2018-07-07,web,16068,74.56,611,1214,0.536,69,21,mobile regression,ATLAS-1549
2018-07-07,ios,8679,73.79,682,1380,0.216,12,31,incident watch,ATLAS-3979
2018-07-07,android,10010,76.2,610,1138,0.576,43,3,mobile regression,ATLAS-4732
2018-07-07,mobile-web,8636,73.1,727,1381,0.01,32,8,payment provider watch,ATLAS-1170
2018-07-07,partner-api,10195,75.25,612,1289,0.155,53,13,payment provider watch,ATLAS-3904
2018-07-07,store-kiosk,9317,75.95,756,1394,0.01,2,31,payment provider watch,ATLAS-1946
2018-07-08,web,15396,75.81,770,1581,0.453,30,12,mobile regression,ATLAS-6193
2018-07-08,ios,8930,76.07,649,1196,0.329,4,17,payment provider watch,ATLAS-2371
2018-07-08,android,9672,73.25,613,1313,0.745,43,13,campaign,ATLAS-1403
2018-07-08,mobile-web,10351,76.26,620,1287,0.589,75,12,release day,ATLAS-3277
2018-07-08,partner-api,8664,76.3,600,1276,0.183,38,25,release day,ATLAS-2438
2018-07-08,store-kiosk,8858,76.42,698,1306,0.747,59,24,mobile regression,ATLAS-2316
2018-07-09,web,14844,74.08,652,1356,0.01,39,9,mobile regression,ATLAS-1758
2018-07-09,ios,9199,76.34,749,1552,0.558,59,28,incident watch,ATLAS-4267
2018-07-09,android,10055,74.58,790,1563,0.394,47,9,mobile regression,ATLAS-4962
2018-07-09,mobile-web,10292,73.01,716,1372,0.918,3,30,release day,ATLAS-2516
2018-07-09,partner-api,9804,75.58,619,1254,0.736,2,27,mobile regression,ATLAS-6146
2018-07-09,store-kiosk,9011,75.08,607,1117,1.095,69,18,mobile regression,ATLAS-4898
2018-07-10,web,17561,74.85,770,1583,0.01,4,6,incident watch,ATLAS-3469
2018-07-10,ios,8582,73.64,623,1210,0.375,9,11,mobile regression,ATLAS-3271
2018-07-10,android,8548,73.12,669,1333,0.436,47,16,release day,ATLAS-1227
2018-07-10,mobile-web,9827,75.37,754,1387,0.456,41,5,payment provider watch,ATLAS-5178
2018-07-10,partner-api,8675,73.7,689,1371,0.884,58,25,normal,ATLAS-4132
2018-07-10,store-kiosk,10323,75.24,679,1262,0.484,20,4,release day,ATLAS-4649
2018-07-11,web,15430,74.71,676,1276,0.587,24,23,mobile regression,ATLAS-1973
2018-07-11,ios,8434,75.23,642,1362,0.243,54,1,mobile regression,ATLAS-1290
2018-07-11,android,8512,73.6,631,1337,0.235,21,22,incident watch,ATLAS-6058
2018-07-11,mobile-web,8419,74.92,600,1162,0.45,75,21,release day,ATLAS-4473
2018-07-11,partner-api,8915,75.2,607,1132,0.187,8,8,normal,ATLAS-1920
2018-07-11,store-kiosk,8246,76.88,627,1330,0.183,41,20,mobile regression,ATLAS-1110
2018-07-12,web,17540,73.39,793,1571,0.499,64,7,incident watch,ATLAS-1764
2018-07-12,ios,8681,73.89,731,1527,0.87,31,23,campaign,ATLAS-6181
2018-07-12,android,9448,74.15,780,1568,0.565,25,23,release day,ATLAS-2034
2018-07-12,mobile-web,9528,76.46,731,1359,0.213,4,9,release day,ATLAS-5438
2018-07-12,partner-api,9736,73.34,745,1433,0.15,32,32,normal,ATLAS-2419
2018-07-12,store-kiosk,8947,73.08,712,1367,0.467,7,3,normal,ATLAS-2296
2018-07-13,web,14291,75.54,771,1485,0.516,18,28,normal,ATLAS-2248
2018-07-13,ios,8555,75.58,625,1155,0.417,13,2,normal,ATLAS-1212
2018-07-13,android,9554,75.61,765,1483,0.01,69,9,incident watch,ATLAS-2721
2018-07-13,mobile-web,8995,75.37,761,1541,0.439,45,30,incident watch,ATLAS-3736
2018-07-13,partner-api,10376,75.19,757,1460,0.015,32,16,incident watch,ATLAS-2417
2018-07-13,store-kiosk,9099,73.25,665,1283,0.058,1,10,normal,ATLAS-1323
2018-07-14,web,15713,74.78,718,1447,0.581,12,26,campaign,ATLAS-1884
2018-07-14,ios,8806,76.34,758,1521,0.307,29,5,normal,ATLAS-4772
2018-07-14,android,10318,74.22,708,1462,0.355,20,21,mobile regression,ATLAS-2684
2018-07-14,mobile-web,8857,75.22,786,1533,0.438,27,22,release day,ATLAS-1349
2018-07-14,partner-api,8627,75.4,709,1496,0.454,10,21,mobile regression,ATLAS-1454
2018-07-14,store-kiosk,8766,75.17,768,1551,0.35,25,1,campaign,ATLAS-4343
2018-07-15,web,17639,74.63,660,1336,0.291,12,14,mobile regression,ATLAS-6054
2018-07-15,ios,8543,73.21,792,1542,0.737,64,31,normal,ATLAS-1343
2018-07-15,android,10340,75.44,693,1391,0.583,50,32,incident watch,ATLAS-6100
2018-07-15,mobile-web,9778,74.97,722,1325,0.117,25,15,normal,ATLAS-3492
2018-07-15,partner-api,10173,74.27,658,1279,0.57,60,25,payment provider watch,ATLAS-4289
2018-07-15,store-kiosk,9462,75.12,692,1455,0.391,44,26,campaign,ATLAS-5725
2018-07-16,web,17056,73.92,618,1230,0.205,23,14,normal,ATLAS-4103
2018-07-16,ios,10399,74.04,612,1301,0.341,39,10,normal,ATLAS-3756
2018-07-16,android,8146,75.05,636,1264,0.313,62,23,release day,ATLAS-4218
2018-07-16,mobile-web,9527,74.97,793,1626,0.154,24,0,incident watch,ATLAS-1267
2018-07-16,partner-api,8445,73.94,608,1127,0.545,36,20,mobile regression,ATLAS-6106
2018-07-16,store-kiosk,10226,75.59,768,1423,0.215,19,0,mobile regression,ATLAS-6142
2018-07-17,web,16003,73.33,706,1407,0.858,29,6,normal,ATLAS-1002
2018-07-17,ios,8200,74.92,743,1380,0.285,67,21,incident watch,ATLAS-5112
2018-07-17,android,10159,74.79,707,1310,0.458,18,15,normal,ATLAS-3623
2018-07-17,mobile-web,9732,75.31,710,1386,0.66,32,18,mobile regression,ATLAS-4059
2018-07-17,partner-api,10135,74.8,706,1490,0.35,57,27,campaign,ATLAS-3694
2018-07-17,store-kiosk,8299,75.52,608,1120,0.353,62,21,release day,ATLAS-3796
2018-07-18,web,16420,73.59,748,1397,0.568,35,20,release day,ATLAS-5173
2018-07-18,ios,10083,75.09,610,1161,0.391,8,16,payment provider watch,ATLAS-3920
2018-07-18,android,10304,74.25,713,1401,0.325,10,17,payment provider watch,ATLAS-2589
2018-07-18,mobile-web,9842,73.76,771,1472,0.22,57,3,campaign,ATLAS-5305
2018-07-18,partner-api,8189,73.36,689,1303,0.49,15,11,normal,ATLAS-4637
2018-07-18,store-kiosk,8355,75.99,742,1473,0.501,42,11,release day,ATLAS-5494
2018-07-19,web,15179,73.49,712,1461,0.41,1,15,incident watch,ATLAS-3415
2018-07-19,ios,8530,74.99,659,1322,0.53,62,24,normal,ATLAS-2614
2018-07-19,android,9272,73.53,800,1474,0.59,30,9,payment provider watch,ATLAS-3225
2018-07-19,mobile-web,8854,74.76,686,1394,0.523,5,19,normal,ATLAS-1203
2018-07-19,partner-api,9253,76.35,660,1276,0.241,21,17,mobile regression,ATLAS-3665
2018-07-19,store-kiosk,8484,75.42,690,1349,0.01,68,30,incident watch,ATLAS-6200
2018-07-20,web,15072,75.47,612,1223,0.549,24,29,payment provider watch,ATLAS-3268
2018-07-20,ios,10347,76.26,710,1333,0.217,39,10,campaign,ATLAS-6005
2018-07-20,android,10316,76.34,789,1638,0.314,51,23,payment provider watch,ATLAS-5833
2018-07-20,mobile-web,8774,75.71,800,1519,0.727,3,22,release day,ATLAS-4786
2018-07-20,partner-api,10123,74.84,602,1137,0.401,6,20,normal,ATLAS-2725
2018-07-20,store-kiosk,10137,74.76,615,1302,0.654,27,3,normal,ATLAS-4242
2018-07-21,web,15740,75.97,752,1373,0.01,55,19,incident watch,ATLAS-6132
2018-07-21,ios,8235,73.2,740,1420,0.597,31,24,incident watch,ATLAS-3875
2018-07-21,android,8507,75.4,731,1482,0.666,33,14,release day,ATLAS-5590
2018-07-21,mobile-web,9464,74.95,718,1394,0.037,53,0,release day,ATLAS-1064
2018-07-21,partner-api,9815,75.41,622,1328,0.01,54,0,release day,ATLAS-2969
2018-07-21,store-kiosk,10134,73.76,772,1424,0.265,11,28,normal,ATLAS-3973
2018-07-22,web,13805,73.51,630,1313,0.482,45,18,release day,ATLAS-1707
2018-07-22,ios,9265,75.33,707,1319,0.01,36,28,payment provider watch,ATLAS-1408
2018-07-22,android,9667,74.53,710,1403,0.206,72,14,normal,ATLAS-4949
2018-07-22,mobile-web,8739,75.21,689,1451,0.515,37,14,campaign,ATLAS-4750
