date,cluster,primary_service,storage_gb,connections,slow_queries,replication_lag_ms,cache_hit_pct,index_bloat_pct,lock_waits,failed_backups,status,notes,linked_jira
2018-07-20,orders-db-primary,auth-gateway,114.47,657,2,0,94.23,13.34,5,7,green,index maintenance due,ATLAS-3104
2018-07-20,payments-ledger-primary,order-ledger,125.65,311,15,80.07,93.84,7.09,14,1,green,migration window planned,ATLAS-2604
2018-07-20,cart-redis-cluster,order-ledger,48.72,164,28,23.73,93.37,8.19,15,7,green,index maintenance due,ATLAS-2656
2018-07-20,kafka-ordering-cluster,auth-gateway,112.56,132,27,0,97.26,2.19,14,6,green,index maintenance due,ATLAS-2081
2018-07-20,warehouse-atlas,auth-gateway,560.23,125,12,37.31,92.9,12.46,10,1,green,connection pool reviewed,ATLAS-4787
2018-07-27,checkout-db-primary,tax-service,145.61,597,29,17.81,94.68,12.27,8,0,green,replica healthy,ATLAS-1237
2018-07-27,orders-db-primary,tax-service,125.48,665,22,0,93.25,10.93,3,6,green,migration window planned,ATLAS-4580
2018-07-27,payments-ledger-primary,notification-service,123.98,491,0,40.09,95.05,2.96,7,2,green,migration window planned,ATLAS-1567
2018-07-27,cart-redis-cluster,loyalty-service,46.42,581,5,25.73,95.35,9.0,15,4,green,connection pool reviewed,ATLAS-1207
2018-07-27,kafka-ordering-cluster,loyalty-service,137.63,554,25,109.27,94.5,13.1,6,5,green,migration window planned,ATLAS-2906
2018-07-27,warehouse-atlas,auth-gateway,649.87,355,22,0,96.99,4.95,2,7,green,backup verified,ATLAS-5308
2018-08-03,checkout-db-primary,tax-service,147.32,607,26,0,92.75,11.64,5,0,green,index maintenance due,ATLAS-6034
2018-08-03,orders-db-primary,notification-service,112.82,442,31,16.06,97.84,0,4,5,green,replica healthy,ATLAS-5156
2018-08-03,payments-ledger-primary,search-recommendations,146.78,478,11,19.86,94.52,10.43,10,6,green,index maintenance due,ATLAS-2612
2018-08-03,cart-redis-cluster,search-recommendations,44.07,766,37,18.75,95.88,6.57,9,7,green,migration window planned,ATLAS-5513
2018-08-03,kafka-ordering-cluster,checkout-api,128.08,424,11,69.67,94.53,11.73,6,2,green,migration window planned,ATLAS-5334
2018-08-03,warehouse-atlas,tax-service,651.16,91,23,49.87,94.38,13.86,4,4,green,replica healthy,ATLAS-5294
2018-08-10,checkout-db-primary,loyalty-service,146.93,346,35,37.88,96.29,7.91,5,6,green,migration window planned,ATLAS-2666
2018-08-10,orders-db-primary,cart-service,131.48,753,22,55.16,95.1,6.88,3,0,green,vacuum completed,ATLAS-2454
2018-08-10,payments-ledger-primary,auth-gateway,114.37,500,20,5.05,94.87,9.84,1,7,green,replica healthy,ATLAS-3212
2018-08-10,cart-redis-cluster,analytics-pipeline,50.06,198,31,83.28,93.55,7.85,10,2,green,replica healthy,ATLAS-2902
2018-08-10,kafka-ordering-cluster,notification-service,130.12,649,15,33.67,93.01,10.73,8,4,green,vacuum completed,ATLAS-1617
2018-08-10,warehouse-atlas,auth-gateway,670.47,596,19,91.03,93.03,11.41,8,0,green,index maintenance due,ATLAS-5656
2018-08-17,checkout-db-primary,payment-orchestrator,125.77,89,17,17.09,95.91,7.53,1,7,green,migration window planned,ATLAS-2944
2018-08-17,orders-db-primary,analytics-pipeline,116.5,286,2,0,92.19,11.49,12,2,green,replica healthy,ATLAS-4330
2018-08-17,payments-ledger-primary,checkout-api,132.03,530,26,60.75,98.77,0.07,7,0,green,vacuum completed,ATLAS-5001
2018-08-17,cart-redis-cluster,tax-service,51.49,182,0,35.49,95.53,6.97,16,2,green,index maintenance due,ATLAS-3929
2018-08-17,kafka-ordering-cluster,payment-orchestrator,145.78,721,12,0,96.08,8.65,9,1,green,migration window planned,ATLAS-2408
2018-08-17,warehouse-atlas,auth-gateway,597.52,692,0,16.41,96.01,2.5,7,2,green,replica healthy,ATLAS-4693
2018-08-24,checkout-db-primary,inventory-reservation,142.9,111,13,5.19,92.11,13.29,1,7,green,backup verified,ATLAS-1216
2018-08-24,orders-db-primary,checkout-api,148.96,690,27,39.75,93.44,7.9,16,0,green,backup verified,ATLAS-1360
2018-08-24,payments-ledger-primary,payment-orchestrator,142.66,193,19,20.44,93.99,6.78,12,4,green,connection pool reviewed,ATLAS-5800
2018-08-24,cart-redis-cluster,payment-orchestrator,41.25,687,38,9.87,91.32,20.42,6,3,green,vacuum completed,ATLAS-3937
2018-08-24,kafka-ordering-cluster,analytics-pipeline,123.2,273,31,42.67,95.22,3.21,8,1,green,migration window planned,ATLAS-3827
2018-08-24,warehouse-atlas,auth-gateway,588.23,127,19,2.38,98.73,0,12,4,green,backup verified,ATLAS-4491
2018-08-31,checkout-db-primary,payment-orchestrator,130.18,669,11,0,97.04,5.88,14,6,green,migration window planned,ATLAS-4497
2018-08-31,orders-db-primary,loyalty-service,113.1,776,22,16.08,90.8,17.2,0,3,green,migration window planned,ATLAS-2856
2018-08-31,payments-ledger-primary,checkout-api,123.58,619,12,21.75,93.01,10.01,13,1,green,vacuum completed,ATLAS-2624
2018-08-31,cart-redis-cluster,pricing-engine,51.32,351,0,37.85,97.55,2.45,9,3,green,replica healthy,ATLAS-2592
2018-08-31,kafka-ordering-cluster,loyalty-service,135.2,629,17,67.78,96.06,4.03,5,4,green,backup verified,ATLAS-5502
2018-08-31,warehouse-atlas,tax-service,557.43,215,17,0,95.66,4.01,14,2,green,backup verified,ATLAS-5866
2018-09-07,checkout-db-primary,payment-orchestrator,111.06,644,16,0,96.11,0.64,5,7,green,index maintenance due,ATLAS-2416
2018-09-07,orders-db-primary,payment-orchestrator,146.51,687,24,30.77,96.48,4.27,0,5,green,vacuum completed,ATLAS-4750
2018-09-07,payments-ledger-primary,pricing-engine,135.65,448,18,35.99,97.7,3.13,12,5,green,connection pool reviewed,ATLAS-3833
2018-09-07,cart-redis-cluster,search-recommendations,44.91,595,0,0,91.1,17.4,8,6,green,migration window planned,ATLAS-2596
2018-09-07,kafka-ordering-cluster,search-recommendations,135.15,440,2,15.03,95.81,0.6,14,0,green,backup verified,ATLAS-2125
2018-09-07,warehouse-atlas,search-recommendations,615.68,144,23,42.25,92.52,16.97,14,2,green,migration window planned,ATLAS-3933
2018-09-14,checkout-db-primary,auth-gateway,116.69,170,25,13.23,97.26,4.02,10,2,green,vacuum completed,ATLAS-3204
2018-09-14,orders-db-primary,checkout-api,119.69,121,3,0,94.54,7.69,7,2,green,migration window planned,ATLAS-3836
2018-09-14,payments-ledger-primary,inventory-reservation,111.82,324,12,0,97.45,0,2,2,green,vacuum completed,ATLAS-1884
2018-09-14,cart-redis-cluster,tax-service,50.03,171,11,27.38,92.85,14.31,7,7,green,migration window planned,ATLAS-5859
2018-09-14,kafka-ordering-cluster,pricing-engine,120.68,337,10,54.4,94.95,3.26,9,3,green,replica healthy,ATLAS-1737
2018-09-14,warehouse-atlas,search-recommendations,623.97,574,12,2.4,92.02,16.49,9,2,green,index maintenance due,ATLAS-3791
2018-09-21,checkout-db-primary,cart-service,126.31,97,0,7.8,92.63,16.0,4,4,green,index maintenance due,ATLAS-6077
2018-09-21,orders-db-primary,notification-service,146.23,364,28,39.76,97.23,4.5,14,1,green,index maintenance due,ATLAS-1035
2018-09-21,payments-ledger-primary,auth-gateway,144.85,310,19,80.35,95.0,8.18,4,0,green,replica healthy,ATLAS-6035
2018-09-21,cart-redis-cluster,order-ledger,41.88,332,5,0,96.0,8.23,16,3,green,replica healthy,ATLAS-3379
2018-09-21,kafka-ordering-cluster,payment-orchestrator,149.13,90,13,0,97.63,0,15,6,green,replica healthy,ATLAS-4058
2018-09-21,warehouse-atlas,auth-gateway,576.49,462,1,0,96.0,5.02,5,2,green,migration window planned,ATLAS-2108
2018-09-28,checkout-db-primary,notification-service,136.99,651,22,32.6,91.92,14.15,7,7,green,replica healthy,ATLAS-2463
2018-09-28,orders-db-primary,cart-service,134.98,269,3,0,95.31,8.28,12,0,green,vacuum completed,ATLAS-6080
2018-09-28,payments-ledger-primary,payment-orchestrator,137.24,717,28,25.82,94.52,9.45,0,6,green,backup verified,ATLAS-1637
2018-09-28,cart-redis-cluster,loyalty-service,49.21,334,5,2.99,90.45,18.0,1,3,green,backup verified,ATLAS-2988
2018-09-28,kafka-ordering-cluster,cart-service,141.61,229,0,32.0,98.23,0.95,13,1,green,backup verified,ATLAS-3720
2018-09-28,warehouse-atlas,analytics-pipeline,724.37,190,7,75.66,94.22,9.1,7,6,green,replica healthy,ATLAS-2976
2018-10-05,checkout-db-primary,loyalty-service,148.09,268,14,25.49,96.02,0.32,12,0,green,replica healthy,ATLAS-1559
2018-10-05,orders-db-primary,checkout-api,121.95,510,11,0,91.24,15.54,15,6,green,replica healthy,ATLAS-4675
2018-10-05,payments-ledger-primary,payment-orchestrator,147.59,152,10,53.66,95.37,6.2,16,5,green,migration window planned,ATLAS-1647
2018-10-05,cart-redis-cluster,payment-orchestrator,44.05,224,3,64.96,91.03,18.61,13,7,green,vacuum completed,ATLAS-4352
2018-10-05,kafka-ordering-cluster,cart-service,137.12,211,0,96.44,94.31,7.72,12,2,green,connection pool reviewed,ATLAS-2378
2018-10-05,warehouse-atlas,payment-orchestrator,556.52,110,15,38.66,97.21,2.4,13,6,green,vacuum completed,ATLAS-2165
2018-10-12,checkout-db-primary,checkout-api,136.17,390,1,7.58,96.06,8.03,14,3,green,vacuum completed,ATLAS-5073
2018-10-12,orders-db-primary,cart-service,140.33,636,43,52.85,94.41,7.73,16,2,green,index maintenance due,ATLAS-4074
2018-10-12,payments-ledger-primary,cart-service,140.45,709,19,0,91.38,14.6,16,1,green,migration window planned,ATLAS-5287
2018-10-12,cart-redis-cluster,tax-service,38.77,450,0,64.53,97.46,0.78,10,2,green,replica healthy,ATLAS-2803
2018-10-12,kafka-ordering-cluster,search-recommendations,127.73,734,10,0,95.58,7.98,14,5,green,vacuum completed,ATLAS-1425
2018-10-12,warehouse-atlas,order-ledger,602.6,746,4,66.59,93.14,9.93,5,6,green,vacuum completed,ATLAS-2205
2018-10-19,checkout-db-primary,analytics-pipeline,138.31,418,42,27.11,98.19,0.23,10,2,green,replica healthy,ATLAS-2076
2018-10-19,orders-db-primary,loyalty-service,117.16,151,9,4.35,96.72,2.51,15,6,green,migration window planned,ATLAS-2120
2018-10-19,payments-ledger-primary,notification-service,128.24,127,9,18.57,93.84,10.8,0,4,green,backup verified,ATLAS-4431
2018-10-19,cart-redis-cluster,cart-service,48.19,284,12,0,95.46,2.24,6,1,green,migration window planned,ATLAS-3373
2018-10-19,kafka-ordering-cluster,cart-service,112.14,695,23,28.11,93.1,9.67,15,3,green,connection pool reviewed,ATLAS-4570
2018-10-19,warehouse-atlas,search-recommendations,623.79,428,13,12.15,93.52,15.27,5,4,green,index maintenance due,ATLAS-3697
2018-10-26,checkout-db-primary,inventory-reservation,122.0,116,32,0,96.25,6.57,2,3,green,replica healthy,ATLAS-2500
2018-10-26,orders-db-primary,loyalty-service,137.91,721,6,19.56,94.27,7.18,1,7,green,migration window planned,ATLAS-6089
2018-10-26,payments-ledger-primary,search-recommendations,141.82,749,0,0,94.18,11.47,15,0,green,connection pool reviewed,ATLAS-3295
2018-10-26,cart-redis-cluster,notification-service,39.74,583,20,58.76,95.62,8.51,15,5,green,replica healthy,ATLAS-2786
2018-10-26,kafka-ordering-cluster,auth-gateway,122.72,714,30,35.33,93.79,7.75,8,4,green,migration window planned,ATLAS-3922
2018-10-26,warehouse-atlas,inventory-reservation,707.35,589,26,40.98,94.99,7.28,10,3,green,vacuum completed,ATLAS-4656
2018-11-02,checkout-db-primary,analytics-pipeline,126.57,629,10,26.66,95.77,9.07,7,1,green,migration window planned,ATLAS-1779
2018-11-02,orders-db-primary,loyalty-service,133.07,762,15,0,94.3,5.92,3,6,green,backup verified,ATLAS-3235
2018-11-02,payments-ledger-primary,loyalty-service,145.65,602,13,45.39,96.41,5.58,9,6,green,index maintenance due,ATLAS-3000
2018-11-02,cart-redis-cluster,tax-service,38.67,346,0,0,92.04,14.39,8,1,green,vacuum completed,ATLAS-3735
2018-11-02,kafka-ordering-cluster,loyalty-service,129.69,517,26,53.51,95.88,1.17,13,4,green,replica healthy,ATLAS-1426
2018-11-02,warehouse-atlas,order-ledger,733.57,343,20,17.88,93.25,8.93,2,7,green,migration window planned,ATLAS-5066
2018-11-09,checkout-db-primary,analytics-pipeline,118.02,361,15,26.37,95.93,6.46,12,1,green,replica healthy,ATLAS-4785
2018-11-09,orders-db-primary,loyalty-service,131.17,310,19,74.55,96.06,3.78,14,6,green,backup verified,ATLAS-4339
2018-11-09,payments-ledger-primary,tax-service,116.81,249,2,34.27,94.5,8.87,9,6,green,replica healthy,ATLAS-3037
2018-11-09,cart-redis-cluster,auth-gateway,42.7,651,8,21.86,96.49,0,4,0,green,backup verified,ATLAS-1021
2018-11-09,kafka-ordering-cluster,inventory-reservation,139.21,247,14,41.83,91.97,14.99,3,6,green,backup verified,ATLAS-2335
2018-11-09,warehouse-atlas,cart-service,717.1,613,20,64.62,94.57,12.07,13,4,green,migration window planned,ATLAS-2326
2018-11-16,checkout-db-primary,cart-service,134.78,322,14,36.85,95.83,3.08,4,0,green,connection pool reviewed,ATLAS-1466
2018-11-16,orders-db-primary,payment-orchestrator,121.31,291,28,110.87,97.63,1.24,10,0,green,vacuum completed,ATLAS-2344
2018-11-16,payments-ledger-primary,inventory-reservation,133.08,243,24,63.73,95.27,9.85,4,1,green,index maintenance due,ATLAS-5812
2018-11-16,cart-redis-cluster,inventory-reservation,41.89,696,14,0.25,94.11,10.77,10,7,green,connection pool reviewed,ATLAS-3192
2018-11-16,kafka-ordering-cluster,auth-gateway,149.45,234,16,5.56,96.95,3.68,13,0,green,index maintenance due,ATLAS-1904
2018-11-16,warehouse-atlas,analytics-pipeline,582.46,591,0,51.78,94.21,10.45,0,1,green,replica healthy,ATLAS-5882
2018-11-23,checkout-db-primary,tax-service,138.22,541,19,36.72,92.4,12.99,7,1,green,index maintenance due,ATLAS-3755
2018-11-23,orders-db-primary,search-recommendations,143.95,248,21,4.33,94.01,7.62,14,4,green,migration window planned,ATLAS-1571
2018-11-23,payments-ledger-primary,notification-service,128.12,615,37,80.73,95.74,1.28,13,1,green,vacuum completed,ATLAS-3913
2018-11-23,cart-redis-cluster,cart-service,39.35,490,26,1.92,93.2,9.01,12,0,green,migration window planned,ATLAS-5030
2018-11-23,kafka-ordering-cluster,pricing-engine,110.05,378,34,78.83,91.45,21.16,8,3,green,vacuum completed,ATLAS-4337
2018-11-23,warehouse-atlas,inventory-reservation,584.07,270,16,11.81,96.73,5.37,11,5,green,vacuum completed,ATLAS-2006
2018-11-30,checkout-db-primary,payment-orchestrator,146.78,409,17,6.8,93.43,11.12,9,1,green,index maintenance due,ATLAS-4656
2018-11-30,orders-db-primary,search-recommendations,121.98,450,19,0,95.73,4.97,6,0,green,backup verified,ATLAS-6023
2018-11-30,payments-ledger-primary,auth-gateway,143.85,463,25,93.91,94.54,8.67,8,4,green,index maintenance due,ATLAS-1230
2018-11-30,cart-redis-cluster,order-ledger,38.54,588,0,44.59,96.83,5.83,8,1,green,replica healthy,ATLAS-4544
2018-11-30,kafka-ordering-cluster,cart-service,113.71,242,23,51.39,94.63,12.02,0,1,green,replica healthy,ATLAS-3641
2018-11-30,warehouse-atlas,cart-service,597.99,564,25,18.7,92.26,12.04,14,5,green,backup verified,ATLAS-2200
2018-12-07,checkout-db-primary,notification-service,143.41,697,13,22.74,94.34,12.11,0,1,green,vacuum completed,ATLAS-3252
2018-12-07,orders-db-primary,notification-service,148.96,672,21,20.38,93.94,12.78,14,5,green,replica healthy,ATLAS-4237
2018-12-07,payments-ledger-primary,payment-orchestrator,113.8,518,0,44.23,94.86,11.42,1,7,green,migration window planned,ATLAS-2469
2018-12-07,cart-redis-cluster,tax-service,43.34,126,12,52.68,94.61,12.6,11,3,green,connection pool reviewed,ATLAS-3479
2018-12-07,kafka-ordering-cluster,tax-service,114.02,592,18,10.03,95.26,7.63,10,3,green,migration window planned,ATLAS-1781
2018-12-07,warehouse-atlas,payment-orchestrator,653.14,705,36,59.02,93.99,7.29,16,7,green,connection pool reviewed,ATLAS-4552
2018-12-14,checkout-db-primary,auth-gateway,110.34,623,4,17.75,93.6,13.67,6,5,green,migration window planned,ATLAS-4238
2018-12-14,orders-db-primary,analytics-pipeline,110.01,295,8,30.05,95.51,9.86,5,7,green,replica healthy,ATLAS-5166
2018-12-14,payments-ledger-primary,inventory-reservation,123.46,333,20,0,95.71,4.66,3,2,green,migration window planned,ATLAS-4942
2018-12-14,cart-redis-cluster,pricing-engine,40.48,81,42,27.72,93.84,10.07,6,1,green,vacuum completed,ATLAS-3133
2018-12-14,kafka-ordering-cluster,analytics-pipeline,113.64,511,29,1.24,97.75,2.54,15,4,green,migration window planned,ATLAS-4929
2018-12-14,warehouse-atlas,analytics-pipeline,601.58,629,16,0,97.57,2.18,2,0,green,connection pool reviewed,ATLAS-1474
2018-12-21,checkout-db-primary,search-recommendations,139.36,444,15,0,97.11,0,12,4,green,migration window planned,ATLAS-5488
2018-12-21,orders-db-primary,auth-gateway,122.24,703,0,14.04,94.46,9.38,3,5,green,connection pool reviewed,ATLAS-5690
2018-12-21,payments-ledger-primary,order-ledger,139.31,359,7,7.17,97.2,4.25,0,0,green,connection pool reviewed,ATLAS-2615
2018-12-21,cart-redis-cluster,cart-service,48.56,295,32,0,92.6,11.05,14,6,green,index maintenance due,ATLAS-1627
2018-12-21,kafka-ordering-cluster,order-ledger,110.71,279,11,73.22,94.45,6.69,8,4,green,vacuum completed,ATLAS-4537
2018-12-21,warehouse-atlas,tax-service,565.34,776,23,26.96,95.84,9.01,3,2,green,vacuum completed,ATLAS-5983
2018-12-28,checkout-db-primary,tax-service,114.44,724,0,27.75,96.52,4.29,3,5,green,vacuum completed,ATLAS-2756
2018-12-28,orders-db-primary,search-recommendations,120.74,118,0,26.53,95.9,4.66,8,5,green,replica healthy,ATLAS-2430
2018-12-28,payments-ledger-primary,checkout-api,113.98,480,26,28.38,95.86,8.12,10,0,green,connection pool reviewed,ATLAS-4648
2018-12-28,cart-redis-cluster,notification-service,43.03,258,16,0,96.38,6.85,13,7,green,backup verified,ATLAS-4179
2018-12-28,kafka-ordering-cluster,cart-service,132.58,183,17,8.74,95.28,3.36,3,5,green,index maintenance due,ATLAS-5438
2018-12-28,warehouse-atlas,auth-gateway,718.85,634,13,0,93.1,17.0,15,2,green,replica healthy,ATLAS-1933
2019-01-04,checkout-db-primary,pricing-engine,195.58,262,36,20.49,90.33,17.28,10,3,green,migration window planned,ATLAS-2116
2019-01-04,orders-db-primary,tax-service,210.33,734,9,68.67,95.19,11.2,15,4,green,vacuum completed,ATLAS-4544
2019-01-04,payments-ledger-primary,loyalty-service,227.57,287,24,16.81,93.54,8.36,0,1,green,connection pool reviewed,ATLAS-3146
2019-01-04,cart-redis-cluster,auth-gateway,77.55,110,32,44.32,94.37,9.47,13,0,green,migration window planned,ATLAS-3132
2019-01-04,kafka-ordering-cluster,notification-service,217.79,687,20,19.23,93.51,7.92,1,4,green,index maintenance due,ATLAS-1180
2019-01-04,warehouse-atlas,inventory-reservation,1012.82,88,29,49.96,97.86,0,13,7,green,backup verified,ATLAS-2176
2019-01-11,checkout-db-primary,order-ledger,203.27,621,25,41.28,93.17,16.74,4,1,green,backup verified,ATLAS-4868
2019-01-11,orders-db-primary,analytics-pipeline,195.3,388,0,0,92.32,12.87,16,6,green,migration window planned,ATLAS-5944
2019-01-11,payments-ledger-primary,notification-service,226.16,463,20,61.53,97.24,2.76,6,0,green,replica healthy,ATLAS-2979
2019-01-11,cart-redis-cluster,checkout-api,68.7,416,0,0,92.43,14.44,1,6,green,index maintenance due,ATLAS-3400
2019-01-11,kafka-ordering-cluster,order-ledger,226.22,319,21,28.59,92.64,10.75,16,0,green,replica healthy,ATLAS-1782
2019-01-11,warehouse-atlas,auth-gateway,1060.94,707,33,7.74,95.5,9.86,13,6,green,index maintenance due,ATLAS-2573
2019-01-18,checkout-db-primary,order-ledger,217.03,497,14,55.83,94.72,8.89,1,3,green,connection pool reviewed,ATLAS-4974
2019-01-18,orders-db-primary,loyalty-service,221.02,194,20,116.39,95.47,2.91,1,6,green,replica healthy,ATLAS-3844
2019-01-18,payments-ledger-primary,auth-gateway,209.02,194,27,0,97.08,3.31,5,0,green,replica healthy,ATLAS-4714
2019-01-18,cart-redis-cluster,notification-service,70.89,108,13,0,97.66,0.6,8,0,green,vacuum completed,ATLAS-2534
2019-01-18,kafka-ordering-cluster,pricing-engine,206.36,731,6,18.23,93.98,10.18,1,3,green,replica healthy,ATLAS-4697
2019-01-18,warehouse-atlas,analytics-pipeline,1018.64,620,6,42.19,92.42,15.84,15,7,green,backup verified,ATLAS-1748
2019-01-25,checkout-db-primary,tax-service,220.6,560,28,3.6,94.62,4.64,16,0,green,replica healthy,ATLAS-3474
2019-01-25,orders-db-primary,pricing-engine,199.56,227,9,43.62,92.57,13.07,7,4,green,index maintenance due,ATLAS-1771
2019-01-25,payments-ledger-primary,analytics-pipeline,214.67,281,0,32.46,94.74,12.58,0,6,green,backup verified,ATLAS-5923
2019-01-25,cart-redis-cluster,notification-service,71.58,327,20,0,93.06,9.13,15,1,green,connection pool reviewed,ATLAS-5941
2019-01-25,kafka-ordering-cluster,cart-service,197.79,550,17,30.37,94.57,8.46,12,4,green,connection pool reviewed,ATLAS-5627
2019-01-25,warehouse-atlas,loyalty-service,1100.58,110,23,3.52,93.95,11.51,8,4,green,index maintenance due,ATLAS-1696
2019-02-01,checkout-db-primary,search-recommendations,213.21,145,26,21.87,97.48,1.69,9,2,green,backup verified,ATLAS-3539
2019-02-01,orders-db-primary,order-ledger,201.49,346,3,13.07,93.84,12.27,8,1,green,migration window planned,ATLAS-3001
2019-02-01,payments-ledger-primary,inventory-reservation,204.58,98,23,12.67,94.11,11.56,1,5,green,connection pool reviewed,ATLAS-2065
2019-02-01,cart-redis-cluster,notification-service,73.38,769,28,1.26,95.0,6.3,14,0,green,backup verified,ATLAS-1809
2019-02-01,kafka-ordering-cluster,checkout-api,217.78,322,36,49.39,94.69,12.18,0,6,green,replica healthy,ATLAS-3000
