trace_id,jira_key,pr_id,incident_id,release_id,service,evidence_type,source_system,traceability_note
TRACE-00032,ATLAS-5620,PR-8907,,REL-2024.1.18,search-recommendations,risk,database,"Traceability note for search-recommendations: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00033,ATLAS-5024,PR-8303,PD-2306,REL-2022.1.0,payment-orchestrator,business_requirement,support,"Traceability note for payment-orchestrator: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00034,ATLAS-2748,PR-6805,PD-2152,REL-2018.09,checkout-api,support_case,jira,"Traceability note for checkout-api: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00035,ATLAS-4760,PR-5963,PD-2777,REL-2020.11,notification-service,support_case,pagerduty,"Traceability note for notification-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00036,ATLAS-2280,PR-8169,,REL-2019.1.4,pricing-engine,deployment,teams,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00037,ATLAS-1136,PR-9448,PD-2658,REL-2022.3.11,checkout-api,business_requirement,database,"Traceability note for checkout-api: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00038,ATLAS-4354,PR-12046,PD-2207,REL-2023.2.15,analytics-pipeline,decision,support,"Traceability note for analytics-pipeline: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00039,ATLAS-2610,PR-11643,,REL-2023.03,analytics-pipeline,deployment,teams,"Traceability note for analytics-pipeline: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00040,ATLAS-4800,PR-7775,,REL-2018.09,notification-service,db_health,support,"Traceability note for notification-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00041,ATLAS-4828,PR-9255,PD-2758,REL-2026.02,pricing-engine,runbook,pagerduty,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00042,ATLAS-5841,PR-8096,,REL-2021.4.17,payment-orchestrator,metric,github,"Traceability note for payment-orchestrator: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00043,ATLAS-2476,PR-10031,PD-2462,REL-2019.3.2,checkout-api,metric,database,"Traceability note for checkout-api: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00044,ATLAS-4072,PR-9038,PD-2307,REL-2022.2.7,auth-gateway,business_requirement,support,"Traceability note for auth-gateway: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00045,ATLAS-4503,PR-7073,,REL-2021.1.15,tax-service,db_health,support,"Traceability note for tax-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00046,ATLAS-4533,PR-6214,,REL-2026.05,payment-orchestrator,business_requirement,grafana,"Traceability note for payment-orchestrator: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00047,ATLAS-1095,PR-5172,,REL-2019.01,inventory-reservation,db_health,pagerduty,"Traceability note for inventory-reservation: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00048,ATLAS-1185,PR-11049,,REL-2025.08,pricing-engine,risk,teams,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00049,ATLAS-3851,PR-8031,,REL-2021.1.4,order-ledger,db_health,database,"Traceability note for order-ledger: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00050,ATLAS-4526,PR-12595,PD-2023,REL-2024.1.8,pricing-engine,support_case,teams,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00051,ATLAS-2200,PR-5899,,REL-2024.09,search-recommendations,db_health,confluence,"Traceability note for search-recommendations: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00052,ATLAS-1306,PR-10732,PD-2479,REL-2024.1.9,order-ledger,decision,teams,"Traceability note for order-ledger: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00053,ATLAS-1596,PR-9423,PD-2114,REL-2018.11,order-ledger,support_case,github,"Traceability note for order-ledger: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00054,ATLAS-2172,PR-8141,,REL-2025.1.12,auth-gateway,business_requirement,email,"Traceability note for auth-gateway: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00055,ATLAS-4576,PR-8669,,REL-2026.1.16,cart-service,decision,database,"Traceability note for cart-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00056,ATLAS-5389,PR-6478,,REL-2022.1.6,cart-service,deployment,database,"Traceability note for cart-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00057,ATLAS-1797,PR-9314,PD-2766,REL-2024.07,inventory-reservation,support_case,teams,"Traceability note for inventory-reservation: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00058,ATLAS-2794,PR-9691,PD-2192,REL-2022.4.0,cart-service,business_requirement,github,"Traceability note for cart-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00059,ATLAS-1292,PR-9955,PD-2439,REL-2024.10,checkout-api,support_case,jira,"Traceability note for checkout-api: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00060,ATLAS-2624,PR-10706,,REL-2024.3.4,search-recommendations,support_case,database,"Traceability note for search-recommendations: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00061,ATLAS-4156,PR-6922,,REL-2026.2.0,notification-service,db_health,confluence,"Traceability note for notification-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00062,ATLAS-2517,PR-11923,,REL-2024.04,order-ledger,runbook,jira,"Traceability note for order-ledger: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00063,ATLAS-4173,PR-7146,,REL-2019.2.5,inventory-reservation,support_case,github,"Traceability note for inventory-reservation: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00064,ATLAS-4910,PR-9424,,REL-2020.3.5,tax-service,risk,email,"Traceability note for tax-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00065,ATLAS-5606,PR-8565,PD-2419,REL-2026.1.6,cart-service,metric,teams,"Traceability note for cart-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00066,ATLAS-4082,PR-5275,,REL-2025.4.4,cart-service,db_health,jira,"Traceability note for cart-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00067,ATLAS-1429,PR-7520,,REL-2019.2.18,search-recommendations,deployment,grafana,"Traceability note for search-recommendations: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00068,ATLAS-4973,PR-5701,PD-2344,REL-2021.04,pricing-engine,risk,email,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00069,ATLAS-5898,PR-6369,PD-2671,REL-2025.2.17,notification-service,runbook,confluence,"Traceability note for notification-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00070,ATLAS-3079,PR-10548,,REL-2022.1.6,checkout-api,business_requirement,teams,"Traceability note for checkout-api: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00071,ATLAS-5889,PR-7010,,REL-2021.1.7,loyalty-service,db_health,support,"Traceability note for loyalty-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00072,ATLAS-5593,PR-12386,,REL-2024.4.8,auth-gateway,business_requirement,pagerduty,"Traceability note for auth-gateway: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00073,ATLAS-4079,PR-11979,PD-2357,REL-2023.05,payment-orchestrator,db_health,confluence,"Traceability note for payment-orchestrator: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00074,ATLAS-5998,PR-10638,,REL-2020.4.15,pricing-engine,metric,support,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00075,ATLAS-2180,PR-7200,,REL-2022.4.14,notification-service,business_requirement,support,"Traceability note for notification-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00076,ATLAS-3535,PR-7504,PD-2572,REL-2022.1.19,search-recommendations,runbook,jira,"Traceability note for search-recommendations: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00077,ATLAS-2001,PR-9296,,REL-2021.2.5,checkout-api,db_health,teams,"Traceability note for checkout-api: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00078,ATLAS-1912,PR-8688,,REL-2023.2.0,inventory-reservation,risk,database,"Traceability note for inventory-reservation: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00079,ATLAS-3012,PR-9917,,REL-2019.1.4,pricing-engine,db_health,pagerduty,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00080,ATLAS-3931,PR-7094,PD-2649,REL-2018.4.7,pricing-engine,deployment,email,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00081,ATLAS-5694,PR-9387,,REL-2021.2.4,notification-service,business_requirement,teams,"Traceability note for notification-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00082,ATLAS-6074,PR-5039,,REL-2022.08,analytics-pipeline,business_requirement,teams,"Traceability note for analytics-pipeline: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00083,ATLAS-1118,PR-8221,PD-2747,REL-2025.4.11,inventory-reservation,risk,email,"Traceability note for inventory-reservation: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00084,ATLAS-5718,PR-5479,,REL-2022.4.10,cart-service,runbook,confluence,"Traceability note for cart-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00085,ATLAS-1235,PR-6475,,REL-2024.4.9,notification-service,decision,email,"Traceability note for notification-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00086,ATLAS-3967,PR-5334,PD-2776,REL-2020.12,pricing-engine,business_requirement,confluence,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00087,ATLAS-6111,PR-10146,,REL-2020.1.11,inventory-reservation,risk,github,"Traceability note for inventory-reservation: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00088,ATLAS-5630,PR-6667,,REL-2025.02,inventory-reservation,support_case,confluence,"Traceability note for inventory-reservation: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00089,ATLAS-2798,PR-12576,,REL-2020.2.8,cart-service,deployment,email,"Traceability note for cart-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00090,ATLAS-6009,PR-6442,,REL-2025.10,inventory-reservation,business_requirement,email,"Traceability note for inventory-reservation: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00091,ATLAS-2050,PR-8491,,REL-2020.4.2,notification-service,support_case,support,"Traceability note for notification-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00092,ATLAS-5835,PR-9177,PD-2765,REL-2025.1.9,checkout-api,business_requirement,confluence,"Traceability note for checkout-api: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00093,ATLAS-2594,PR-11088,,REL-2025.3.2,auth-gateway,business_requirement,teams,"Traceability note for auth-gateway: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00094,ATLAS-3736,PR-12133,,REL-2024.3.17,cart-service,business_requirement,github,"Traceability note for cart-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00095,ATLAS-5149,PR-8632,,REL-2022.03,inventory-reservation,support_case,github,"Traceability note for inventory-reservation: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00096,ATLAS-3854,PR-10673,,REL-2024.05,order-ledger,runbook,database,"Traceability note for order-ledger: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00097,ATLAS-5802,PR-5846,,REL-2025.3.8,tax-service,decision,pagerduty,"Traceability note for tax-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00098,ATLAS-4774,PR-10881,PD-2433,REL-2019.1.19,checkout-api,decision,support,"Traceability note for checkout-api: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00099,ATLAS-5796,PR-6160,PD-2627,REL-2025.2.7,tax-service,business_requirement,database,"Traceability note for tax-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00100,ATLAS-5987,PR-7303,,REL-2020.1.4,pricing-engine,deployment,grafana,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00101,ATLAS-4886,PR-9533,PD-2765,REL-2019.2.8,notification-service,support_case,support,"Traceability note for notification-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00102,ATLAS-1031,PR-8462,PD-2102,REL-2018.4.5,loyalty-service,metric,email,"Traceability note for loyalty-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00103,ATLAS-1331,PR-8447,PD-2052,REL-2023.2.2,pricing-engine,risk,github,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00104,ATLAS-4450,PR-8090,,REL-2025.3.2,cart-service,db_health,jira,"Traceability note for cart-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00105,ATLAS-4505,PR-9313,PD-2548,REL-2025.2.18,tax-service,support_case,teams,"Traceability note for tax-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00106,ATLAS-6074,PR-11033,,REL-2025.2.5,search-recommendations,decision,database,"Traceability note for search-recommendations: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00107,ATLAS-4204,PR-5124,,REL-2021.04,auth-gateway,risk,support,"Traceability note for auth-gateway: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00108,ATLAS-4178,PR-5939,PD-2829,REL-2024.4.2,auth-gateway,metric,jira,"Traceability note for auth-gateway: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00109,ATLAS-5016,PR-6216,,REL-2023.01,loyalty-service,deployment,database,"Traceability note for loyalty-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00110,ATLAS-1340,PR-9583,PD-2500,REL-2024.2.10,payment-orchestrator,decision,pagerduty,"Traceability note for payment-orchestrator: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00111,ATLAS-2935,PR-9193,PD-2699,REL-2025.09,search-recommendations,decision,github,"Traceability note for search-recommendations: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00112,ATLAS-4657,PR-5275,,REL-2024.06,checkout-api,risk,email,"Traceability note for checkout-api: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00113,ATLAS-1095,PR-6601,PD-2336,REL-2023.3.16,payment-orchestrator,runbook,pagerduty,"Traceability note for payment-orchestrator: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00114,ATLAS-3909,PR-7753,,REL-2024.07,auth-gateway,metric,pagerduty,"Traceability note for auth-gateway: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00115,ATLAS-3645,PR-6683,PD-2307,REL-2018.06,notification-service,runbook,teams,"Traceability note for notification-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00116,ATLAS-2202,PR-5837,PD-2846,REL-2019.3.2,pricing-engine,decision,pagerduty,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00117,ATLAS-1530,PR-7138,,REL-2021.3.10,pricing-engine,metric,github,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00118,ATLAS-2416,PR-5239,PD-2096,REL-2022.2.8,tax-service,support_case,jira,"Traceability note for tax-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00119,ATLAS-3610,PR-9819,PD-2595,REL-2023.2.4,checkout-api,risk,jira,"Traceability note for checkout-api: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00120,ATLAS-4190,PR-12094,,REL-2024.4.18,search-recommendations,business_requirement,grafana,"Traceability note for search-recommendations: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00121,ATLAS-5958,PR-8033,,REL-2025.1.9,inventory-reservation,decision,confluence,"Traceability note for inventory-reservation: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00122,ATLAS-3185,PR-5116,,REL-2021.1.12,search-recommendations,risk,database,"Traceability note for search-recommendations: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00123,ATLAS-1144,PR-11411,,REL-2025.3.2,loyalty-service,decision,email,"Traceability note for loyalty-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00124,ATLAS-2290,PR-9763,PD-2404,REL-2020.4.8,search-recommendations,business_requirement,github,"Traceability note for search-recommendations: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00125,ATLAS-2133,PR-6612,,REL-2023.2.15,inventory-reservation,db_health,pagerduty,"Traceability note for inventory-reservation: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00126,ATLAS-5282,PR-5984,PD-2631,REL-2021.09,checkout-api,decision,email,"Traceability note for checkout-api: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00127,ATLAS-4105,PR-10553,,REL-2024.4.9,inventory-reservation,risk,support,"Traceability note for inventory-reservation: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00128,ATLAS-1111,PR-9633,PD-2343,REL-2022.08,notification-service,support_case,github,"Traceability note for notification-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00129,ATLAS-3737,PR-8820,PD-2374,REL-2023.1.3,cart-service,metric,jira,"Traceability note for cart-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00130,ATLAS-2921,PR-5731,,REL-2023.3.1,search-recommendations,business_requirement,confluence,"Traceability note for search-recommendations: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00131,ATLAS-4461,PR-11729,PD-2891,REL-2021.01,tax-service,runbook,email,"Traceability note for tax-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
