incident_id,started_at,resolved_at,duration_minutes,severity,service,incident_commander,on_call_engineer,status,root_cause,customer_impact,linked_jira,linked_pr,action_items
PD-2016,2018-07-23,2018-07-23,15,SEV3,pricing-engine,Priya Nair,Kim Tan,postmortem complete,schema migration lock,support ticket volume increased,ATLAS-3768,PR-10878,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2017,2018-07-25,2018-07-25,32,SEV4,tax-service,Noah Evans,Harper Lee,follow-up open,database connection saturation,no customer impact detected,ATLAS-3943,PR-7211,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2018,2018-07-27,2018-07-27,10,SEV3,notification-service,Victor Silva,Nora Singh,follow-up open,cache stampede,orders delayed,ATLAS-4623,PR-11326,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2019,2018-07-30,2018-07-30,164,SEV2,analytics-pipeline,Yara Haddad,Theo Martin,postmortem complete,cache stampede,latency spike,ATLAS-4839,PR-11809,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2020,2018-08-05,2018-08-05,5,SEV4,tax-service,Samir Rao,Aisha Khan,postmortem complete,tax provider latency,no customer impact detected,ATLAS-6148,PR-7789,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2021,2018-08-06,2018-08-06,51,SEV4,payment-orchestrator,Owen Brooks,Ravi Patel,resolved,tax provider latency,no customer impact detected,ATLAS-1123,PR-5900,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2022,2018-08-11,2018-08-11,30,SEV3,inventory-reservation,Samir Rao,Yara Haddad,postmortem complete,cache stampede,checkout errors increased,ATLAS-1804,PR-5954,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2023,2018-08-14,2018-08-14,55,SEV3,tax-service,Dmitri Volkov,Theo Martin,follow-up open,bad deployment,support ticket volume increased,ATLAS-5987,PR-10967,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2024,2018-08-18,2018-08-18,77,SEV2,cart-service,Iris Wang,Iris Wang,postmortem complete,queue backlog,orders delayed,ATLAS-1371,PR-5160,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2025,2018-08-18,2018-08-18,25,SEV3,search-recommendations,Elena Petrova,Fatima Noor,resolved,bad deployment,checkout errors increased,ATLAS-1924,PR-12232,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2026,2018-08-21,2018-08-21,53,SEV3,inventory-reservation,Priya Nair,Ravi Patel,follow-up open,schema migration lock,latency spike,ATLAS-1841,PR-9193,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2027,2018-08-24,2018-08-24,158,SEV2,search-recommendations,Luca Moretti,Priya Nair,resolved,bad deployment,support ticket volume increased,ATLAS-1374,PR-6010,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2028,2018-08-31,2018-08-31,5,SEV3,pricing-engine,Theo Martin,Maya Chen,follow-up open,feature flag misconfiguration,checkout errors increased,ATLAS-1785,PR-7079,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2029,2018-09-02,2018-09-02,23,SEV3,order-ledger,Jon Bell,Owen Brooks,follow-up open,tax provider latency,orders delayed,ATLAS-5129,PR-12032,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for order-ledger."
PD-2030,2018-09-06,2018-09-06,61,SEV2,inventory-reservation,Harper Lee,Priya Nair,resolved,cache stampede,no customer impact detected,ATLAS-1016,PR-9648,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2031,2018-09-07,2018-09-07,156,SEV2,tax-service,Dmitri Volkov,Iris Wang,follow-up open,cache stampede,no customer impact detected,ATLAS-4171,PR-7881,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2032,2018-09-09,2018-09-09,154,SEV2,order-ledger,Nora Singh,Victor Silva,postmortem complete,inventory reservation deadlock,checkout errors increased,ATLAS-4925,PR-8914,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for order-ledger."
PD-2033,2018-09-16,2018-09-16,5,SEV4,auth-gateway,Priya Nair,Iris Wang,follow-up open,schema migration lock,checkout errors increased,ATLAS-1583,PR-6267,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2034,2018-09-16,2018-09-16,126,SEV2,notification-service,Noah Evans,Noah Evans,follow-up open,cache stampede,latency spike,ATLAS-3157,PR-9884,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2035,2018-09-20,2018-09-20,107,SEV2,inventory-reservation,Noah Evans,Ravi Patel,postmortem complete,payment provider timeout,support ticket volume increased,ATLAS-3443,PR-8145,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2036,2018-09-22,2018-09-22,17,SEV4,cart-service,Mateo Garcia,Iris Wang,resolved,database connection saturation,payment retries increased,ATLAS-1708,PR-5809,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2037,2018-09-27,2018-09-27,52,SEV3,tax-service,Kim Tan,Samir Rao,postmortem complete,queue backlog,payment retries increased,ATLAS-1670,PR-9754,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2038,2018-09-30,2018-09-30,22,SEV3,search-recommendations,Sara Novak,Maya Chen,follow-up open,schema migration lock,orders delayed,ATLAS-2234,PR-9022,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2039,2018-10-01,2018-10-01,82,SEV2,payment-orchestrator,Grace Kim,Nora Singh,resolved,inventory reservation deadlock,orders delayed,ATLAS-5412,PR-6855,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2040,2018-10-05,2018-10-05,5,SEV3,cart-service,Nora Singh,Maya Chen,follow-up open,cache stampede,support ticket volume increased,ATLAS-1609,PR-11937,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2041,2018-10-11,2018-10-11,78,SEV3,inventory-reservation,Samir Rao,Mateo Garcia,follow-up open,bad deployment,no customer impact detected,ATLAS-1420,PR-6945,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2042,2018-10-14,2018-10-14,106,SEV3,analytics-pipeline,Fatima Noor,Victor Silva,resolved,inventory reservation deadlock,support ticket volume increased,ATLAS-4388,PR-8487,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2043,2018-10-17,2018-10-17,93,SEV3,tax-service,Iris Wang,Aisha Khan,follow-up open,cache stampede,checkout errors increased,ATLAS-3981,PR-6016,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2044,2018-10-17,2018-10-17,199,SEV1,auth-gateway,Dmitri Volkov,Noah Evans,follow-up open,database connection saturation,latency spike,ATLAS-1797,PR-9578,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2045,2018-10-24,2018-10-24,46,SEV4,tax-service,Jon Bell,Ben Carter,follow-up open,database connection saturation,no customer impact detected,ATLAS-1558,PR-10226,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2046,2018-10-25,2018-10-25,23,SEV4,pricing-engine,Yara Haddad,Yara Haddad,postmortem complete,payment provider timeout,payment retries increased,ATLAS-3990,PR-5294,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2047,2018-10-27,2018-10-27,5,SEV4,inventory-reservation,Luca Moretti,Sara Novak,follow-up open,schema migration lock,orders delayed,ATLAS-4472,PR-5302,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2048,2018-11-03,2018-11-03,182,SEV2,notification-service,Harper Lee,Owen Brooks,resolved,cache stampede,no customer impact detected,ATLAS-2239,PR-7105,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2049,2018-11-06,2018-11-06,24,SEV3,auth-gateway,Aisha Khan,Fatima Noor,postmortem complete,database connection saturation,payment retries increased,ATLAS-3987,PR-7603,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2050,2018-11-08,2018-11-08,29,SEV3,analytics-pipeline,Mateo Garcia,Theo Martin,follow-up open,feature flag misconfiguration,no customer impact detected,ATLAS-4193,PR-5408,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2051,2018-11-13,2018-11-13,86,SEV3,order-ledger,Aisha Khan,Anika Sharma,follow-up open,cache stampede,orders delayed,ATLAS-4961,PR-7438,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for order-ledger."
PD-2052,2018-11-13,2018-11-13,74,SEV3,payment-orchestrator,Yara Haddad,Kim Tan,postmortem complete,cache stampede,latency spike,ATLAS-2760,PR-9050,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2053,2018-11-16,2018-11-16,29,SEV4,notification-service,Luca Moretti,Sara Novak,postmortem complete,cache stampede,no customer impact detected,ATLAS-1828,PR-8933,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2054,2018-11-19,2018-11-19,5,SEV4,checkout-api,Iris Wang,Owen Brooks,follow-up open,bad deployment,checkout errors increased,ATLAS-2320,PR-10985,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for checkout-api."
PD-2055,2018-11-23,2018-11-23,26,SEV3,pricing-engine,Grace Kim,Noah Evans,resolved,queue backlog,orders delayed,ATLAS-4158,PR-11135,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2056,2018-11-25,2018-11-25,69,SEV3,inventory-reservation,Owen Brooks,Maya Chen,resolved,bad deployment,checkout errors increased,ATLAS-1629,PR-5814,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2057,2018-11-30,2018-11-30,89,SEV3,notification-service,Dmitri Volkov,Anika Sharma,postmortem complete,bad deployment,payment retries increased,ATLAS-1205,PR-7914,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2058,2018-12-03,2018-12-03,61,SEV3,order-ledger,Ravi Patel,Elena Petrova,resolved,inventory reservation deadlock,support ticket volume increased,ATLAS-1613,PR-5259,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for order-ledger."
PD-2059,2018-12-07,2018-12-07,49,SEV3,analytics-pipeline,Noah Evans,Dmitri Volkov,postmortem complete,payment provider timeout,support ticket volume increased,ATLAS-5931,PR-8714,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2060,2018-12-09,2018-12-09,112,SEV2,inventory-reservation,Fatima Noor,Elena Petrova,resolved,payment provider timeout,orders delayed,ATLAS-2729,PR-8001,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2061,2018-12-11,2018-12-11,37,SEV3,cart-service,Harper Lee,Noah Evans,resolved,bad deployment,checkout errors increased,ATLAS-2855,PR-8241,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2062,2018-12-14,2018-12-14,35,SEV4,tax-service,Yara Haddad,Anika Sharma,postmortem complete,cache stampede,latency spike,ATLAS-2828,PR-8830,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2063,2018-12-21,2018-12-21,7,SEV3,loyalty-service,Luca Moretti,Nora Singh,resolved,schema migration lock,payment retries increased,ATLAS-3706,PR-5025,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for loyalty-service."
PD-2064,2018-12-21,2018-12-21,90,SEV3,pricing-engine,Luca Moretti,Elena Petrova,postmortem complete,queue backlog,latency spike,ATLAS-5592,PR-8531,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2065,2018-12-24,2018-12-24,61,SEV3,inventory-reservation,Sara Novak,Victor Silva,follow-up open,payment provider timeout,support ticket volume increased,ATLAS-1446,PR-8139,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2066,2018-12-29,2018-12-29,62,SEV4,payment-orchestrator,Jon Bell,Ben Carter,follow-up open,database connection saturation,payment retries increased,ATLAS-2161,PR-5092,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2067,2019-01-04,2019-01-04,97,SEV3,analytics-pipeline,Yara Haddad,Luca Moretti,follow-up open,inventory reservation deadlock,payment retries increased,ATLAS-4198,PR-5624,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2068,2019-01-05,2019-01-05,48,SEV3,search-recommendations,Iris Wang,Aisha Khan,follow-up open,schema migration lock,no customer impact detected,ATLAS-2735,PR-7026,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2069,2019-01-06,2019-01-06,15,SEV4,loyalty-service,Iris Wang,Ben Carter,follow-up open,bad deployment,latency spike,ATLAS-5683,PR-6258,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for loyalty-service."
PD-2070,2019-01-12,2019-01-12,52,SEV3,order-ledger,Noah Evans,Jon Bell,follow-up open,bad deployment,orders delayed,ATLAS-3306,PR-7827,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for order-ledger."
PD-2071,2019-01-12,2019-01-12,38,SEV3,order-ledger,Elena Petrova,Grace Kim,postmortem complete,bad deployment,support ticket volume increased,ATLAS-6138,PR-6348,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for order-ledger."
PD-2072,2019-01-18,2019-01-18,121,SEV2,tax-service,Sara Novak,Noah Evans,follow-up open,bad deployment,payment retries increased,ATLAS-3206,PR-7037,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2073,2019-01-22,2019-01-22,36,SEV3,tax-service,Owen Brooks,Yara Haddad,resolved,inventory reservation deadlock,payment retries increased,ATLAS-4344,PR-5220,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2074,2019-01-24,2019-01-24,210,SEV1,search-recommendations,Fatima Noor,Kim Tan,follow-up open,cache stampede,payment retries increased,ATLAS-3558,PR-8034,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2075,2019-01-26,2019-01-26,20,SEV4,checkout-api,Kim Tan,Jon Bell,resolved,queue backlog,no customer impact detected,ATLAS-3593,PR-5054,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for checkout-api."
PD-2076,2019-01-29,2019-01-29,29,SEV3,notification-service,Ben Carter,Sara Novak,postmortem complete,tax provider latency,checkout errors increased,ATLAS-1760,PR-6577,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2077,2019-02-02,2019-02-02,5,SEV4,loyalty-service,Jon Bell,Aisha Khan,postmortem complete,schema migration lock,no customer impact detected,ATLAS-5681,PR-9873,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for loyalty-service."
PD-2078,2019-02-04,2019-02-04,5,SEV4,analytics-pipeline,Noah Evans,Anika Sharma,resolved,tax provider latency,checkout errors increased,ATLAS-4265,PR-7536,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2079,2019-02-09,2019-02-09,158,SEV2,auth-gateway,Aisha Khan,Mateo Garcia,resolved,database connection saturation,no customer impact detected,ATLAS-5914,PR-5607,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2080,2019-02-14,2019-02-14,27,SEV4,pricing-engine,Dmitri Volkov,Samir Rao,postmortem complete,feature flag misconfiguration,support ticket volume increased,ATLAS-4539,PR-5426,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2081,2019-02-17,2019-02-17,35,SEV3,notification-service,Aisha Khan,Owen Brooks,postmortem complete,tax provider latency,checkout errors increased,ATLAS-5735,PR-9584,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2082,2019-02-18,2019-02-18,103,SEV3,search-recommendations,Samir Rao,Sara Novak,postmortem complete,tax provider latency,payment retries increased,ATLAS-2888,PR-8713,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2083,2019-02-20,2019-02-20,49,SEV3,notification-service,Luca Moretti,Ravi Patel,postmortem complete,queue backlog,checkout errors increased,ATLAS-5337,PR-6938,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2084,2019-02-24,2019-02-24,5,SEV4,payment-orchestrator,Iris Wang,Mateo Garcia,follow-up open,tax provider latency,support ticket volume increased,ATLAS-3544,PR-7698,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2085,2019-03-03,2019-03-03,12,SEV4,tax-service,Ben Carter,Harper Lee,postmortem complete,bad deployment,support ticket volume increased,ATLAS-4139,PR-8233,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2086,2019-03-04,2019-03-04,84,SEV4,checkout-api,Anika Sharma,Fatima Noor,postmortem complete,inventory reservation deadlock,latency spike,ATLAS-1028,PR-5833,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for checkout-api."
PD-2087,2019-03-09,2019-03-09,51,SEV3,tax-service,Victor Silva,Owen Brooks,resolved,bad deployment,support ticket volume increased,ATLAS-4959,PR-9266,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2088,2019-03-12,2019-03-12,5,SEV4,tax-service,Grace Kim,Mateo Garcia,postmortem complete,database connection saturation,support ticket volume increased,ATLAS-2112,PR-10159,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2089,2019-03-13,2019-03-13,217,SEV1,auth-gateway,Yara Haddad,Priya Nair,resolved,bad deployment,orders delayed,ATLAS-1872,PR-7753,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2090,2019-03-19,2019-03-19,41,SEV3,cart-service,Victor Silva,Maya Chen,follow-up open,schema migration lock,no customer impact detected,ATLAS-5335,PR-5291,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2091,2019-03-22,2019-03-22,5,SEV3,notification-service,Fatima Noor,Priya Nair,postmortem complete,tax provider latency,payment retries increased,ATLAS-2094,PR-10143,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2092,2019-03-25,2019-03-25,43,SEV4,auth-gateway,Owen Brooks,Sara Novak,postmortem complete,cache stampede,orders delayed,ATLAS-1838,PR-6702,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2093,2019-03-28,2019-03-28,52,SEV3,notification-service,Samir Rao,Victor Silva,postmortem complete,schema migration lock,support ticket volume increased,ATLAS-5124,PR-11201,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2094,2019-03-29,2019-03-29,48,SEV3,search-recommendations,Grace Kim,Yara Haddad,postmortem complete,inventory reservation deadlock,no customer impact detected,ATLAS-3269,PR-7826,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2095,2019-03-31,2019-03-31,95,SEV2,cart-service,Mateo Garcia,Nora Singh,resolved,feature flag misconfiguration,payment retries increased,ATLAS-4041,PR-5157,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2096,2019-04-03,2019-04-03,5,SEV4,notification-service,Dmitri Volkov,Theo Martin,postmortem complete,feature flag misconfiguration,latency spike,ATLAS-1727,PR-9347,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2097,2019-04-09,2019-04-09,93,SEV3,notification-service,Luca Moretti,Yara Haddad,follow-up open,database connection saturation,support ticket volume increased,ATLAS-1197,PR-8502,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2098,2019-04-12,2019-04-12,48,SEV3,cart-service,Samir Rao,Ben Carter,follow-up open,tax provider latency,latency spike,ATLAS-2929,PR-6456,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2099,2019-04-14,2019-04-14,93,SEV3,notification-service,Owen Brooks,Yara Haddad,postmortem complete,cache stampede,latency spike,ATLAS-1002,PR-12327,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2100,2019-04-19,2019-04-19,112,SEV3,pricing-engine,Theo Martin,Elena Petrova,follow-up open,inventory reservation deadlock,latency spike,ATLAS-4016,PR-7479,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2101,2019-04-21,2019-04-21,26,SEV3,checkout-api,Noah Evans,Mateo Garcia,resolved,tax provider latency,payment retries increased,ATLAS-1880,PR-11296,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for checkout-api."
PD-2102,2019-04-26,2019-04-26,43,SEV3,payment-orchestrator,Anika Sharma,Maya Chen,postmortem complete,database connection saturation,support ticket volume increased,ATLAS-3833,PR-9362,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2103,2019-04-29,2019-04-29,55,SEV3,inventory-reservation,Yara Haddad,Anika Sharma,postmortem complete,bad deployment,no customer impact detected,ATLAS-3051,PR-8286,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2104,2019-05-02,2019-05-02,19,SEV4,checkout-api,Kim Tan,Noah Evans,postmortem complete,bad deployment,no customer impact detected,ATLAS-2312,PR-5390,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for checkout-api."
PD-2105,2019-05-04,2019-05-04,5,SEV4,pricing-engine,Iris Wang,Grace Kim,postmortem complete,inventory reservation deadlock,checkout errors increased,ATLAS-4870,PR-6901,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2106,2019-05-05,2019-05-05,57,SEV3,checkout-api,Iris Wang,Mateo Garcia,resolved,schema migration lock,latency spike,ATLAS-2426,PR-10145,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for checkout-api."
PD-2107,2019-05-11,2019-05-11,33,SEV4,notification-service,Ben Carter,Jon Bell,resolved,feature flag misconfiguration,orders delayed,ATLAS-2201,PR-7935,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2108,2019-05-15,2019-05-15,5,SEV4,notification-service,Elena Petrova,Mateo Garcia,follow-up open,inventory reservation deadlock,support ticket volume increased,ATLAS-5016,PR-5556,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2109,2019-05-16,2019-05-16,5,SEV4,search-recommendations,Victor Silva,Jon Bell,postmortem complete,schema migration lock,payment retries increased,ATLAS-6034,PR-11773,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2110,2019-05-22,2019-05-22,5,SEV4,notification-service,Grace Kim,Ben Carter,follow-up open,queue backlog,checkout errors increased,ATLAS-3034,PR-6108,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2111,2019-05-26,2019-05-26,28,SEV3,notification-service,Ben Carter,Jon Bell,resolved,schema migration lock,latency spike,ATLAS-4878,PR-7823,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2112,2019-05-28,2019-05-28,73,SEV3,tax-service,Theo Martin,Jon Bell,resolved,cache stampede,payment retries increased,ATLAS-5470,PR-5081,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2113,2019-05-30,2019-05-30,243,SEV1,auth-gateway,Yara Haddad,Priya Nair,postmortem complete,cache stampede,payment retries increased,ATLAS-4248,PR-9856,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2114,2019-06-04,2019-06-04,108,SEV2,tax-service,Harper Lee,Maya Chen,postmortem complete,schema migration lock,payment retries increased,ATLAS-2633,PR-6859,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
