support_id,created_at,customer,customer_tier,category,severity,service,status,owner,linked_jira,linked_incident,sentiment,summary,next_action
SUP-700030,2018-07-04,Atlas Demo Customer,self-serve,order confirmation delay,medium,analytics-pipeline,monitoring,Mateo Garcia,ATLAS-4463,,blocked,"Customer reported order confirmation delay around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700031,2018-07-05,UrbanMarket,internal,loyalty points missing,low,tax-service,solved,Jon Bell,ATLAS-3236,,neutral,"Customer reported loyalty points missing around tax-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700032,2018-07-06,Luna Home,mid-market,checkout failure,low,inventory-reservation,escalated,Ben Carter,ATLAS-4660,PD-2269,anxious,"Customer reported checkout failure around inventory-reservation. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700033,2018-07-09,OmniStyle,internal,order confirmation delay,medium,search-recommendations,pending engineering,Samir Rao,ATLAS-3138,,positive,"Customer reported order confirmation delay around search-recommendations. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700034,2018-07-09,Atlas Demo Customer,internal,coupon issue,low,auth-gateway,open,Mateo Garcia,ATLAS-4120,,neutral,"Customer reported coupon issue around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700035,2018-07-11,Summit Sports,mid-market,payment retry,medium,loyalty-service,monitoring,Luca Moretti,ATLAS-5728,,negative,"Customer reported payment retry around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700036,2018-07-13,Cedar Pharmacy,enterprise,mobile session timeout,medium,search-recommendations,monitoring,Jon Bell,ATLAS-4687,,anxious,"Customer reported mobile session timeout around search-recommendations. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700037,2018-07-12,OmniStyle,internal,order confirmation delay,medium,cart-service,escalated,Sara Novak,ATLAS-4556,PD-2900,negative,"Customer reported order confirmation delay around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700038,2018-07-15,Atlas Demo Customer,self-serve,inventory mismatch,medium,notification-service,open,Anika Sharma,ATLAS-2319,,blocked,"Customer reported inventory mismatch around notification-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700039,2018-07-13,BluePeak Apparel,enterprise,coupon issue,high,pricing-engine,solved,Maya Chen,ATLAS-5051,,negative,"Customer reported coupon issue around pricing-engine. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700040,2018-07-17,Luna Home,enterprise,loyalty points missing,medium,order-ledger,pending engineering,Luca Moretti,ATLAS-3446,,negative,"Customer reported loyalty points missing around order-ledger. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700041,2018-07-15,Cedar Pharmacy,mid-market,payment retry,medium,payment-orchestrator,open,Maya Chen,ATLAS-3949,PD-2463,negative,"Customer reported payment retry around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700042,2018-07-19,Summit Sports,self-serve,mobile session timeout,low,pricing-engine,open,Priya Nair,ATLAS-2110,PD-2251,blocked,"Customer reported mobile session timeout around pricing-engine. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700043,2018-07-19,Vertex Outlet,internal,order confirmation delay,low,checkout-api,pending engineering,Maya Chen,ATLAS-3075,,neutral,"Customer reported order confirmation delay around checkout-api. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700044,2018-07-22,Vertex Outlet,self-serve,inventory mismatch,medium,analytics-pipeline,solved,Grace Kim,ATLAS-4064,,negative,"Customer reported inventory mismatch around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700045,2018-07-22,Northstar Retail,internal,mobile session timeout,low,cart-service,solved,Nora Singh,ATLAS-5230,,negative,"Customer reported mobile session timeout around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700046,2018-07-24,FreshNest Grocery,internal,coupon issue,medium,payment-orchestrator,pending engineering,Mateo Garcia,ATLAS-1425,,blocked,"Customer reported coupon issue around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700047,2018-07-25,UrbanMarket,internal,coupon issue,medium,payment-orchestrator,escalated,Ben Carter,ATLAS-3668,,positive,"Customer reported coupon issue around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700048,2018-07-24,FreshNest Grocery,mid-market,inventory mismatch,medium,analytics-pipeline,solved,Anika Sharma,ATLAS-4308,,negative,"Customer reported inventory mismatch around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700049,2018-07-24,BluePeak Apparel,self-serve,coupon issue,medium,analytics-pipeline,open,Anika Sharma,ATLAS-1294,,anxious,"Customer reported coupon issue around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700050,2018-07-27,UrbanMarket,enterprise,checkout failure,low,payment-orchestrator,open,Harper Lee,ATLAS-5902,PD-2773,negative,"Customer reported checkout failure around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700051,2018-07-29,Cedar Pharmacy,internal,performance complaint,medium,pricing-engine,escalated,Kim Tan,ATLAS-5997,,negative,"Customer reported performance complaint around pricing-engine. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700052,2018-07-30,Harbor Books,enterprise,loyalty points missing,medium,loyalty-service,pending engineering,Grace Kim,ATLAS-3197,,negative,"Customer reported loyalty points missing around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700053,2018-08-01,OmniStyle,mid-market,checkout failure,urgent,payment-orchestrator,escalated,Iris Wang,ATLAS-6171,PD-2493,blocked,"Customer reported checkout failure around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700054,2018-08-01,Summit Sports,enterprise,payment retry,low,notification-service,pending engineering,Luca Moretti,ATLAS-2126,,anxious,"Customer reported payment retry around notification-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700055,2018-08-01,Cedar Pharmacy,self-serve,loyalty points missing,medium,cart-service,solved,Mateo Garcia,ATLAS-2532,,neutral,"Customer reported loyalty points missing around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700056,2018-08-04,FreshNest Grocery,internal,tax mismatch,medium,inventory-reservation,monitoring,Noah Evans,ATLAS-3766,,neutral,"Customer reported tax mismatch around inventory-reservation. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700057,2018-08-05,BluePeak Apparel,internal,performance complaint,low,order-ledger,escalated,Aisha Khan,ATLAS-4262,PD-2423,negative,"Customer reported performance complaint around order-ledger. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700058,2018-08-06,OmniStyle,internal,inventory mismatch,low,tax-service,solved,Fatima Noor,ATLAS-3624,,neutral,"Customer reported inventory mismatch around tax-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700059,2018-08-04,UrbanMarket,enterprise,performance complaint,high,search-recommendations,open,Theo Martin,ATLAS-1247,,negative,"Customer reported performance complaint around search-recommendations. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700060,2018-08-08,BrightCart EU,self-serve,mobile session timeout,medium,payment-orchestrator,pending engineering,Nora Singh,ATLAS-4512,,anxious,"Customer reported mobile session timeout around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700061,2018-08-10,Summit Sports,self-serve,coupon issue,high,inventory-reservation,open,Victor Silva,ATLAS-3185,,anxious,"Customer reported coupon issue around inventory-reservation. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700062,2018-08-10,BrightCart EU,mid-market,loyalty points missing,high,order-ledger,monitoring,Owen Brooks,ATLAS-2690,,blocked,"Customer reported loyalty points missing around order-ledger. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700063,2018-08-11,Cedar Pharmacy,internal,order confirmation delay,high,inventory-reservation,open,Dmitri Volkov,ATLAS-2694,,anxious,"Customer reported order confirmation delay around inventory-reservation. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700064,2018-08-13,OmniStyle,internal,coupon issue,urgent,auth-gateway,open,Sara Novak,ATLAS-2937,,anxious,"Customer reported coupon issue around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700065,2018-08-14,UrbanMarket,internal,coupon issue,high,payment-orchestrator,pending engineering,Harper Lee,ATLAS-2120,,neutral,"Customer reported coupon issue around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700066,2018-08-14,UrbanMarket,mid-market,performance complaint,medium,loyalty-service,solved,Anika Sharma,ATLAS-1651,,anxious,"Customer reported performance complaint around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700067,2018-08-13,OmniStyle,self-serve,performance complaint,urgent,auth-gateway,escalated,Victor Silva,ATLAS-5162,,blocked,"Customer reported performance complaint around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700068,2018-08-17,Luna Home,enterprise,inventory mismatch,medium,inventory-reservation,pending engineering,Ravi Patel,ATLAS-1291,,positive,"Customer reported inventory mismatch around inventory-reservation. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700069,2018-08-16,Atlas Demo Customer,self-serve,loyalty points missing,urgent,cart-service,pending engineering,Aisha Khan,ATLAS-3005,PD-2889,blocked,"Customer reported loyalty points missing around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700070,2018-08-18,Northstar Retail,enterprise,loyalty points missing,medium,auth-gateway,solved,Anika Sharma,ATLAS-1383,,anxious,"Customer reported loyalty points missing around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700071,2018-08-18,Atlas Demo Customer,internal,inventory mismatch,medium,cart-service,solved,Grace Kim,ATLAS-5764,,positive,"Customer reported inventory mismatch around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700072,2018-08-20,BrightCart EU,internal,tax mismatch,urgent,loyalty-service,pending engineering,Aisha Khan,ATLAS-3743,PD-2755,neutral,"Customer reported tax mismatch around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700073,2018-08-21,BluePeak Apparel,enterprise,loyalty points missing,medium,analytics-pipeline,monitoring,Owen Brooks,ATLAS-3017,,anxious,"Customer reported loyalty points missing around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700074,2018-08-21,Atlas Demo Customer,internal,tax mismatch,medium,notification-service,pending engineering,Dmitri Volkov,ATLAS-2506,,blocked,"Customer reported tax mismatch around notification-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700075,2018-08-24,BrightCart EU,enterprise,performance complaint,low,loyalty-service,open,Yara Haddad,ATLAS-2899,PD-2567,positive,"Customer reported performance complaint around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700076,2018-08-26,Vertex Outlet,self-serve,loyalty points missing,urgent,order-ledger,solved,Luca Moretti,ATLAS-1322,,anxious,"Customer reported loyalty points missing around order-ledger. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700077,2018-08-25,Atlas Demo Customer,self-serve,performance complaint,medium,order-ledger,escalated,Sara Novak,ATLAS-2224,,anxious,"Customer reported performance complaint around order-ledger. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700078,2018-08-29,Harbor Books,mid-market,loyalty points missing,medium,order-ledger,open,Sara Novak,ATLAS-5913,,negative,"Customer reported loyalty points missing around order-ledger. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700079,2018-08-27,Summit Sports,enterprise,tax mismatch,medium,loyalty-service,escalated,Theo Martin,ATLAS-2144,,blocked,"Customer reported tax mismatch around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700080,2018-08-29,FreshNest Grocery,mid-market,checkout failure,low,tax-service,pending engineering,Victor Silva,ATLAS-1748,PD-2566,blocked,"Customer reported checkout failure around tax-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700081,2018-08-29,Luna Home,enterprise,performance complaint,medium,order-ledger,pending engineering,Ravi Patel,ATLAS-6097,,anxious,"Customer reported performance complaint around order-ledger. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700082,2018-09-02,Summit Sports,enterprise,order confirmation delay,high,auth-gateway,solved,Victor Silva,ATLAS-1875,PD-2048,neutral,"Customer reported order confirmation delay around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700083,2018-09-02,Cedar Pharmacy,self-serve,order confirmation delay,medium,order-ledger,monitoring,Dmitri Volkov,ATLAS-1360,,negative,"Customer reported order confirmation delay around order-ledger. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700084,2018-09-01,FreshNest Grocery,mid-market,tax mismatch,low,auth-gateway,open,Kim Tan,ATLAS-2994,,anxious,"Customer reported tax mismatch around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700085,2018-09-02,BrightCart EU,self-serve,loyalty points missing,high,search-recommendations,pending engineering,Ravi Patel,ATLAS-3835,PD-2600,negative,"Customer reported loyalty points missing around search-recommendations. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700086,2018-09-04,Northstar Retail,enterprise,performance complaint,high,notification-service,monitoring,Elena Petrova,ATLAS-4580,,blocked,"Customer reported performance complaint around notification-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700087,2018-09-05,FreshNest Grocery,internal,payment retry,high,analytics-pipeline,solved,Harper Lee,ATLAS-4678,PD-2267,blocked,"Customer reported payment retry around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700088,2018-09-07,OmniStyle,self-serve,coupon issue,medium,analytics-pipeline,escalated,Luca Moretti,ATLAS-5702,,positive,"Customer reported coupon issue around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700089,2018-09-09,Atlas Demo Customer,enterprise,inventory mismatch,medium,loyalty-service,pending engineering,Dmitri Volkov,ATLAS-5211,,neutral,"Customer reported inventory mismatch around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700090,2018-09-10,Cedar Pharmacy,self-serve,loyalty points missing,low,checkout-api,monitoring,Ben Carter,ATLAS-1108,,positive,"Customer reported loyalty points missing around checkout-api. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700091,2018-09-10,BluePeak Apparel,self-serve,loyalty points missing,medium,search-recommendations,solved,Fatima Noor,ATLAS-3058,,neutral,"Customer reported loyalty points missing around search-recommendations. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700092,2018-09-12,BrightCart EU,self-serve,mobile session timeout,medium,cart-service,monitoring,Mateo Garcia,ATLAS-4681,PD-2672,anxious,"Customer reported mobile session timeout around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
