quarter,start_date,target_date,phase,workstream,owner,status,planned_points,completed_points,open_blockers,roadmap_notes,anchor_issue
2018-Q3,2018-09-01,2018-09-28,Phase 0 Legacy Stabilization,checkout,Harper Lee,green,50,22,0,"stabilize legacy checkout, map risks, build team rituals; focus on checkout; risk: schema migration.",ATLAS-4956
2018-Q3,2018-09-01,2018-09-28,Phase 0 Legacy Stabilization,payments,Sara Novak,amber,53,10,2,"stabilize legacy checkout, map risks, build team rituals; focus on payments; risk: on-call load.",ATLAS-4169
2018-Q3,2018-09-01,2018-09-28,Phase 0 Legacy Stabilization,observability,Grace Kim,green,37,23,5,"stabilize legacy checkout, map risks, build team rituals; focus on observability; risk: schema migration.",ATLAS-1237
2018-Q3,2018-09-01,2018-09-28,Phase 0 Legacy Stabilization,data,Anika Sharma,amber,53,18,4,"stabilize legacy checkout, map risks, build team rituals; focus on data; risk: vendor approval.",ATLAS-5046
2018-Q3,2018-09-01,2018-09-28,Phase 0 Legacy Stabilization,support,Yara Haddad,amber,23,19,6,"stabilize legacy checkout, map risks, build team rituals; focus on support; risk: dependency drift.",ATLAS-2545
2018-Q4,2018-10-01,2018-10-28,Phase 0 Legacy Stabilization,platform,Jon Bell,amber,48,22,2,"stabilize legacy checkout, map risks, build team rituals; focus on platform; risk: on-call load.",ATLAS-2026
2018-Q4,2018-10-01,2018-10-28,Phase 0 Legacy Stabilization,checkout,Yara Haddad,amber,22,6,5,"stabilize legacy checkout, map risks, build team rituals; focus on checkout; risk: customer readiness.",ATLAS-1866
2018-Q4,2018-10-01,2018-10-28,Phase 0 Legacy Stabilization,payments,Ravi Patel,green,36,9,7,"stabilize legacy checkout, map risks, build team rituals; focus on payments; risk: vendor approval.",ATLAS-3556
2018-Q4,2018-10-01,2018-10-28,Phase 0 Legacy Stabilization,observability,Yara Haddad,amber,35,9,8,"stabilize legacy checkout, map risks, build team rituals; focus on observability; risk: on-call load.",ATLAS-3282
2018-Q4,2018-10-01,2018-10-28,Phase 0 Legacy Stabilization,data,Aisha Khan,red,35,21,3,"stabilize legacy checkout, map risks, build team rituals; focus on data; risk: customer readiness.",ATLAS-1628
2018-Q4,2018-10-01,2018-10-28,Phase 0 Legacy Stabilization,support,Elena Petrova,amber,40,4,2,"stabilize legacy checkout, map risks, build team rituals; focus on support; risk: on-call load.",ATLAS-2554
2018-Q4,2018-11-01,2018-11-28,Phase 0 Legacy Stabilization,platform,Priya Nair,red,22,16,6,"stabilize legacy checkout, map risks, build team rituals; focus on platform; risk: schema migration.",ATLAS-2909
2018-Q4,2018-11-01,2018-11-28,Phase 0 Legacy Stabilization,checkout,Noah Evans,green,81,13,1,"stabilize legacy checkout, map risks, build team rituals; focus on checkout; risk: on-call load.",ATLAS-4359
2018-Q4,2018-11-01,2018-11-28,Phase 0 Legacy Stabilization,payments,Iris Wang,amber,49,21,4,"stabilize legacy checkout, map risks, build team rituals; focus on payments; risk: test data gap.",ATLAS-5281
2018-Q4,2018-11-01,2018-11-28,Phase 0 Legacy Stabilization,observability,Owen Brooks,amber,92,17,3,"stabilize legacy checkout, map risks, build team rituals; focus on observability; risk: schema migration.",ATLAS-5707
2018-Q4,2018-11-01,2018-11-28,Phase 0 Legacy Stabilization,data,Ravi Patel,amber,85,24,5,"stabilize legacy checkout, map risks, build team rituals; focus on data; risk: schema migration.",ATLAS-2246
2018-Q4,2018-11-01,2018-11-28,Phase 0 Legacy Stabilization,support,Grace Kim,green,92,11,8,"stabilize legacy checkout, map risks, build team rituals; focus on support; risk: capacity risk.",ATLAS-5575
2018-Q4,2018-12-01,2018-12-28,Phase 0 Legacy Stabilization,platform,Samir Rao,green,42,8,7,"stabilize legacy checkout, map risks, build team rituals; focus on platform; risk: capacity risk.",ATLAS-5161
2018-Q4,2018-12-01,2018-12-28,Phase 0 Legacy Stabilization,checkout,Sara Novak,amber,64,4,0,"stabilize legacy checkout, map risks, build team rituals; focus on checkout; risk: customer readiness.",ATLAS-2312
2018-Q4,2018-12-01,2018-12-28,Phase 0 Legacy Stabilization,payments,Victor Silva,amber,66,18,4,"stabilize legacy checkout, map risks, build team rituals; focus on payments; risk: customer readiness.",ATLAS-1463
2018-Q4,2018-12-01,2018-12-28,Phase 0 Legacy Stabilization,observability,Ravi Patel,red,41,18,2,"stabilize legacy checkout, map risks, build team rituals; focus on observability; risk: test data gap.",ATLAS-1802
2018-Q4,2018-12-01,2018-12-28,Phase 0 Legacy Stabilization,data,Mateo Garcia,red,80,5,7,"stabilize legacy checkout, map risks, build team rituals; focus on data; risk: customer readiness.",ATLAS-4230
2018-Q4,2018-12-01,2018-12-28,Phase 0 Legacy Stabilization,support,Yara Haddad,amber,57,12,1,"stabilize legacy checkout, map risks, build team rituals; focus on support; risk: capacity risk.",ATLAS-4572
2019-Q1,2019-01-01,2019-01-28,Phase 1 Service Extraction,platform,Nora Singh,amber,44,24,4,"extract cart, pricing, tax, and payment facades; focus on platform; risk: dependency drift.",ATLAS-1707
2019-Q1,2019-01-01,2019-01-28,Phase 1 Service Extraction,checkout,Harper Lee,red,33,4,7,"extract cart, pricing, tax, and payment facades; focus on checkout; risk: customer readiness.",ATLAS-2584
2019-Q1,2019-01-01,2019-01-28,Phase 1 Service Extraction,payments,Samir Rao,red,47,12,1,"extract cart, pricing, tax, and payment facades; focus on payments; risk: vendor approval.",ATLAS-2174
2019-Q1,2019-01-01,2019-01-28,Phase 1 Service Extraction,observability,Ben Carter,red,91,16,1,"extract cart, pricing, tax, and payment facades; focus on observability; risk: on-call load.",ATLAS-5856
2019-Q1,2019-01-01,2019-01-28,Phase 1 Service Extraction,data,Owen Brooks,amber,47,16,8,"extract cart, pricing, tax, and payment facades; focus on data; risk: dependency drift.",ATLAS-1651
2019-Q1,2019-01-01,2019-01-28,Phase 1 Service Extraction,support,Harper Lee,amber,77,22,5,"extract cart, pricing, tax, and payment facades; focus on support; risk: test data gap.",ATLAS-4542
2019-Q1,2019-02-01,2019-02-28,Phase 1 Service Extraction,platform,Dmitri Volkov,red,92,19,7,"extract cart, pricing, tax, and payment facades; focus on platform; risk: capacity risk.",ATLAS-4528
2019-Q1,2019-02-01,2019-02-28,Phase 1 Service Extraction,checkout,Sara Novak,amber,86,11,2,"extract cart, pricing, tax, and payment facades; focus on checkout; risk: customer readiness.",ATLAS-5762
2019-Q1,2019-02-01,2019-02-28,Phase 1 Service Extraction,payments,Priya Nair,amber,85,24,8,"extract cart, pricing, tax, and payment facades; focus on payments; risk: dependency drift.",ATLAS-3257
2019-Q1,2019-02-01,2019-02-28,Phase 1 Service Extraction,observability,Ben Carter,amber,64,22,1,"extract cart, pricing, tax, and payment facades; focus on observability; risk: vendor approval.",ATLAS-3607
2019-Q1,2019-02-01,2019-02-28,Phase 1 Service Extraction,data,Jon Bell,amber,47,3,4,"extract cart, pricing, tax, and payment facades; focus on data; risk: customer readiness.",ATLAS-1333
2019-Q1,2019-02-01,2019-02-28,Phase 1 Service Extraction,support,Ben Carter,red,47,19,1,"extract cart, pricing, tax, and payment facades; focus on support; risk: vendor approval.",ATLAS-5611
2019-Q1,2019-03-01,2019-03-28,Phase 1 Service Extraction,platform,Ben Carter,red,89,12,6,"extract cart, pricing, tax, and payment facades; focus on platform; risk: customer readiness.",ATLAS-6042
2019-Q1,2019-03-01,2019-03-28,Phase 1 Service Extraction,checkout,Elena Petrova,green,67,9,2,"extract cart, pricing, tax, and payment facades; focus on checkout; risk: schema migration.",ATLAS-4512
2019-Q1,2019-03-01,2019-03-28,Phase 1 Service Extraction,payments,Grace Kim,red,36,9,3,"extract cart, pricing, tax, and payment facades; focus on payments; risk: dependency drift.",ATLAS-5685
2019-Q1,2019-03-01,2019-03-28,Phase 1 Service Extraction,observability,Nora Singh,red,44,19,2,"extract cart, pricing, tax, and payment facades; focus on observability; risk: test data gap.",ATLAS-4567
2019-Q1,2019-03-01,2019-03-28,Phase 1 Service Extraction,data,Nora Singh,green,31,8,4,"extract cart, pricing, tax, and payment facades; focus on data; risk: on-call load.",ATLAS-3939
2019-Q1,2019-03-01,2019-03-28,Phase 1 Service Extraction,support,Aisha Khan,red,93,10,1,"extract cart, pricing, tax, and payment facades; focus on support; risk: capacity risk.",ATLAS-4824
2019-Q2,2019-04-01,2019-04-28,Phase 1 Service Extraction,platform,Harper Lee,amber,91,23,2,"extract cart, pricing, tax, and payment facades; focus on platform; risk: vendor approval.",ATLAS-5825
2019-Q2,2019-04-01,2019-04-28,Phase 1 Service Extraction,checkout,Harper Lee,amber,75,3,7,"extract cart, pricing, tax, and payment facades; focus on checkout; risk: vendor approval.",ATLAS-4553
2019-Q2,2019-04-01,2019-04-28,Phase 1 Service Extraction,payments,Dmitri Volkov,green,51,9,7,"extract cart, pricing, tax, and payment facades; focus on payments; risk: customer readiness.",ATLAS-3521
2019-Q2,2019-04-01,2019-04-28,Phase 1 Service Extraction,observability,Maya Chen,amber,29,12,6,"extract cart, pricing, tax, and payment facades; focus on observability; risk: on-call load.",ATLAS-4786
2019-Q2,2019-04-01,2019-04-28,Phase 1 Service Extraction,data,Fatima Noor,red,41,11,5,"extract cart, pricing, tax, and payment facades; focus on data; risk: schema migration.",ATLAS-1863
2019-Q2,2019-04-01,2019-04-28,Phase 1 Service Extraction,support,Samir Rao,red,46,22,6,"extract cart, pricing, tax, and payment facades; focus on support; risk: capacity risk.",ATLAS-3399
2019-Q2,2019-05-01,2019-05-28,Phase 1 Service Extraction,platform,Fatima Noor,red,23,24,7,"extract cart, pricing, tax, and payment facades; focus on platform; risk: on-call load.",ATLAS-3784
2019-Q2,2019-05-01,2019-05-28,Phase 1 Service Extraction,checkout,Elena Petrova,green,35,17,6,"extract cart, pricing, tax, and payment facades; focus on checkout; risk: customer readiness.",ATLAS-1394
2019-Q2,2019-05-01,2019-05-28,Phase 1 Service Extraction,payments,Dmitri Volkov,amber,67,14,7,"extract cart, pricing, tax, and payment facades; focus on payments; risk: dependency drift.",ATLAS-5979
2019-Q2,2019-05-01,2019-05-28,Phase 1 Service Extraction,observability,Ravi Patel,green,19,24,8,"extract cart, pricing, tax, and payment facades; focus on observability; risk: on-call load.",ATLAS-5850
2019-Q2,2019-05-01,2019-05-28,Phase 1 Service Extraction,data,Theo Martin,green,27,13,2,"extract cart, pricing, tax, and payment facades; focus on data; risk: on-call load.",ATLAS-3178
2019-Q2,2019-05-01,2019-05-28,Phase 1 Service Extraction,support,Priya Nair,amber,30,21,7,"extract cart, pricing, tax, and payment facades; focus on support; risk: schema migration.",ATLAS-5913
2019-Q2,2019-06-01,2019-06-28,Phase 1 Service Extraction,platform,Yara Haddad,amber,92,24,5,"extract cart, pricing, tax, and payment facades; focus on platform; risk: on-call load.",ATLAS-2659
2019-Q2,2019-06-01,2019-06-28,Phase 1 Service Extraction,checkout,Samir Rao,red,60,13,2,"extract cart, pricing, tax, and payment facades; focus on checkout; risk: vendor approval.",ATLAS-4559
2019-Q2,2019-06-01,2019-06-28,Phase 1 Service Extraction,payments,Priya Nair,green,37,24,8,"extract cart, pricing, tax, and payment facades; focus on payments; risk: dependency drift.",ATLAS-1332
2019-Q2,2019-06-01,2019-06-28,Phase 1 Service Extraction,observability,Nora Singh,amber,69,16,6,"extract cart, pricing, tax, and payment facades; focus on observability; risk: on-call load.",ATLAS-1924
2019-Q2,2019-06-01,2019-06-28,Phase 1 Service Extraction,data,Luca Moretti,green,54,11,7,"extract cart, pricing, tax, and payment facades; focus on data; risk: capacity risk.",ATLAS-2541
2019-Q2,2019-06-01,2019-06-28,Phase 1 Service Extraction,support,Grace Kim,red,38,5,3,"extract cart, pricing, tax, and payment facades; focus on support; risk: customer readiness.",ATLAS-5418
2019-Q3,2019-07-01,2019-07-28,Phase 1 Service Extraction,platform,Priya Nair,green,76,5,6,"extract cart, pricing, tax, and payment facades; focus on platform; risk: test data gap.",ATLAS-4013
2019-Q3,2019-07-01,2019-07-28,Phase 1 Service Extraction,checkout,Nora Singh,amber,23,24,7,"extract cart, pricing, tax, and payment facades; focus on checkout; risk: vendor approval.",ATLAS-1332
2019-Q3,2019-07-01,2019-07-28,Phase 1 Service Extraction,payments,Kim Tan,green,18,19,2,"extract cart, pricing, tax, and payment facades; focus on payments; risk: customer readiness.",ATLAS-2246
2019-Q3,2019-07-01,2019-07-28,Phase 1 Service Extraction,observability,Iris Wang,red,30,3,6,"extract cart, pricing, tax, and payment facades; focus on observability; risk: customer readiness.",ATLAS-3217
2019-Q3,2019-07-01,2019-07-28,Phase 1 Service Extraction,data,Grace Kim,red,35,9,6,"extract cart, pricing, tax, and payment facades; focus on data; risk: schema migration.",ATLAS-2135
2019-Q3,2019-07-01,2019-07-28,Phase 1 Service Extraction,support,Samir Rao,amber,67,7,6,"extract cart, pricing, tax, and payment facades; focus on support; risk: schema migration.",ATLAS-3999
2019-Q3,2019-08-01,2019-08-28,Phase 1 Service Extraction,platform,Yara Haddad,green,71,12,6,"extract cart, pricing, tax, and payment facades; focus on platform; risk: on-call load.",ATLAS-1288
2019-Q3,2019-08-01,2019-08-28,Phase 1 Service Extraction,checkout,Fatima Noor,green,66,8,3,"extract cart, pricing, tax, and payment facades; focus on checkout; risk: capacity risk.",ATLAS-3692
2019-Q3,2019-08-01,2019-08-28,Phase 1 Service Extraction,payments,Yara Haddad,red,29,15,1,"extract cart, pricing, tax, and payment facades; focus on payments; risk: vendor approval.",ATLAS-4023
2019-Q3,2019-08-01,2019-08-28,Phase 1 Service Extraction,observability,Noah Evans,amber,70,3,6,"extract cart, pricing, tax, and payment facades; focus on observability; risk: on-call load.",ATLAS-2447
2019-Q3,2019-08-01,2019-08-28,Phase 1 Service Extraction,data,Yara Haddad,amber,55,8,0,"extract cart, pricing, tax, and payment facades; focus on data; risk: test data gap.",ATLAS-5497
2019-Q3,2019-08-01,2019-08-28,Phase 1 Service Extraction,support,Yara Haddad,red,45,8,2,"extract cart, pricing, tax, and payment facades; focus on support; risk: dependency drift.",ATLAS-5962
2019-Q3,2019-09-01,2019-09-28,Phase 1 Service Extraction,platform,Luca Moretti,amber,33,6,1,"extract cart, pricing, tax, and payment facades; focus on platform; risk: on-call load.",ATLAS-5488
2019-Q3,2019-09-01,2019-09-28,Phase 1 Service Extraction,checkout,Ravi Patel,amber,58,21,1,"extract cart, pricing, tax, and payment facades; focus on checkout; risk: customer readiness.",ATLAS-5167
2019-Q3,2019-09-01,2019-09-28,Phase 1 Service Extraction,payments,Anika Sharma,amber,91,16,1,"extract cart, pricing, tax, and payment facades; focus on payments; risk: vendor approval.",ATLAS-5146
2019-Q3,2019-09-01,2019-09-28,Phase 1 Service Extraction,observability,Owen Brooks,green,81,20,5,"extract cart, pricing, tax, and payment facades; focus on observability; risk: dependency drift.",ATLAS-2926
2019-Q3,2019-09-01,2019-09-28,Phase 1 Service Extraction,data,Kim Tan,green,58,23,4,"extract cart, pricing, tax, and payment facades; focus on data; risk: vendor approval.",ATLAS-2206
2019-Q3,2019-09-01,2019-09-28,Phase 1 Service Extraction,support,Jon Bell,green,44,23,8,"extract cart, pricing, tax, and payment facades; focus on support; risk: test data gap.",ATLAS-1918
2019-Q4,2019-10-01,2019-10-28,Phase 1 Service Extraction,platform,Theo Martin,red,25,7,3,"extract cart, pricing, tax, and payment facades; focus on platform; risk: capacity risk.",ATLAS-1178
2019-Q4,2019-10-01,2019-10-28,Phase 1 Service Extraction,checkout,Kim Tan,amber,87,8,4,"extract cart, pricing, tax, and payment facades; focus on checkout; risk: dependency drift.",ATLAS-1165
2019-Q4,2019-10-01,2019-10-28,Phase 1 Service Extraction,payments,Samir Rao,red,65,24,6,"extract cart, pricing, tax, and payment facades; focus on payments; risk: dependency drift.",ATLAS-2647
2019-Q4,2019-10-01,2019-10-28,Phase 1 Service Extraction,observability,Theo Martin,red,74,5,5,"extract cart, pricing, tax, and payment facades; focus on observability; risk: test data gap.",ATLAS-5136
2019-Q4,2019-10-01,2019-10-28,Phase 1 Service Extraction,data,Luca Moretti,amber,42,18,2,"extract cart, pricing, tax, and payment facades; focus on data; risk: on-call load.",ATLAS-1621
2019-Q4,2019-10-01,2019-10-28,Phase 1 Service Extraction,support,Aisha Khan,red,52,14,5,"extract cart, pricing, tax, and payment facades; focus on support; risk: dependency drift.",ATLAS-5497
2019-Q4,2019-11-01,2019-11-28,Phase 1 Service Extraction,platform,Mateo Garcia,green,33,19,0,"extract cart, pricing, tax, and payment facades; focus on platform; risk: on-call load.",ATLAS-2569
2019-Q4,2019-11-01,2019-11-28,Phase 1 Service Extraction,checkout,Ravi Patel,amber,53,4,7,"extract cart, pricing, tax, and payment facades; focus on checkout; risk: dependency drift.",ATLAS-4301
2019-Q4,2019-11-01,2019-11-28,Phase 1 Service Extraction,payments,Owen Brooks,red,58,17,0,"extract cart, pricing, tax, and payment facades; focus on payments; risk: dependency drift.",ATLAS-1710
2019-Q4,2019-11-01,2019-11-28,Phase 1 Service Extraction,observability,Victor Silva,red,71,11,7,"extract cart, pricing, tax, and payment facades; focus on observability; risk: schema migration.",ATLAS-5917
2019-Q4,2019-11-01,2019-11-28,Phase 1 Service Extraction,data,Elena Petrova,amber,40,18,7,"extract cart, pricing, tax, and payment facades; focus on data; risk: schema migration.",ATLAS-2256
2019-Q4,2019-11-01,2019-11-28,Phase 1 Service Extraction,support,Victor Silva,amber,81,4,3,"extract cart, pricing, tax, and payment facades; focus on support; risk: capacity risk.",ATLAS-4698
2019-Q4,2019-12-01,2019-12-28,Phase 1 Service Extraction,platform,Luca Moretti,amber,39,22,6,"extract cart, pricing, tax, and payment facades; focus on platform; risk: schema migration.",ATLAS-3966
2019-Q4,2019-12-01,2019-12-28,Phase 1 Service Extraction,checkout,Dmitri Volkov,green,63,21,3,"extract cart, pricing, tax, and payment facades; focus on checkout; risk: schema migration.",ATLAS-2037
2019-Q4,2019-12-01,2019-12-28,Phase 1 Service Extraction,payments,Victor Silva,red,73,10,2,"extract cart, pricing, tax, and payment facades; focus on payments; risk: test data gap.",ATLAS-4897
2019-Q4,2019-12-01,2019-12-28,Phase 1 Service Extraction,observability,Iris Wang,green,59,17,6,"extract cart, pricing, tax, and payment facades; focus on observability; risk: customer readiness.",ATLAS-3475
2019-Q4,2019-12-01,2019-12-28,Phase 1 Service Extraction,data,Priya Nair,red,69,4,3,"extract cart, pricing, tax, and payment facades; focus on data; risk: capacity risk.",ATLAS-4013
2019-Q4,2019-12-01,2019-12-28,Phase 1 Service Extraction,support,Grace Kim,amber,33,17,5,"extract cart, pricing, tax, and payment facades; focus on support; risk: on-call load.",ATLAS-2538
2020-Q1,2020-01-01,2020-01-28,Phase 2 Cloud Migration,platform,Harper Lee,red,22,22,6,move workloads to Kubernetes and managed databases; focus on platform; risk: schema migration.,ATLAS-1562
2020-Q1,2020-01-01,2020-01-28,Phase 2 Cloud Migration,checkout,Theo Martin,amber,90,8,1,move workloads to Kubernetes and managed databases; focus on checkout; risk: vendor approval.,ATLAS-3948
2020-Q1,2020-01-01,2020-01-28,Phase 2 Cloud Migration,payments,Luca Moretti,red,76,3,3,move workloads to Kubernetes and managed databases; focus on payments; risk: capacity risk.,ATLAS-5702
2020-Q1,2020-01-01,2020-01-28,Phase 2 Cloud Migration,observability,Harper Lee,green,92,19,7,move workloads to Kubernetes and managed databases; focus on observability; risk: customer readiness.,ATLAS-2971
2020-Q1,2020-01-01,2020-01-28,Phase 2 Cloud Migration,data,Priya Nair,green,37,9,5,move workloads to Kubernetes and managed databases; focus on data; risk: vendor approval.,ATLAS-2103
2020-Q1,2020-01-01,2020-01-28,Phase 2 Cloud Migration,support,Theo Martin,red,32,13,4,move workloads to Kubernetes and managed databases; focus on support; risk: test data gap.,ATLAS-1862
2020-Q1,2020-02-01,2020-02-28,Phase 2 Cloud Migration,platform,Samir Rao,green,26,21,4,move workloads to Kubernetes and managed databases; focus on platform; risk: schema migration.,ATLAS-4327
2020-Q1,2020-02-01,2020-02-28,Phase 2 Cloud Migration,checkout,Anika Sharma,amber,34,12,2,move workloads to Kubernetes and managed databases; focus on checkout; risk: vendor approval.,ATLAS-3559
2020-Q1,2020-02-01,2020-02-28,Phase 2 Cloud Migration,payments,Ben Carter,green,63,16,8,move workloads to Kubernetes and managed databases; focus on payments; risk: test data gap.,ATLAS-3376
2020-Q1,2020-02-01,2020-02-28,Phase 2 Cloud Migration,observability,Samir Rao,green,70,24,8,move workloads to Kubernetes and managed databases; focus on observability; risk: dependency drift.,ATLAS-1422
2020-Q1,2020-02-01,2020-02-28,Phase 2 Cloud Migration,data,Ben Carter,amber,37,19,1,move workloads to Kubernetes and managed databases; focus on data; risk: on-call load.,ATLAS-5593
2020-Q1,2020-02-01,2020-02-28,Phase 2 Cloud Migration,support,Maya Chen,amber,32,9,1,move workloads to Kubernetes and managed databases; focus on support; risk: customer readiness.,ATLAS-1106
2020-Q1,2020-03-01,2020-03-28,Phase 2 Cloud Migration,platform,Fatima Noor,green,55,22,1,move workloads to Kubernetes and managed databases; focus on platform; risk: vendor approval.,ATLAS-5792
2020-Q1,2020-03-01,2020-03-28,Phase 2 Cloud Migration,checkout,Maya Chen,red,40,13,7,move workloads to Kubernetes and managed databases; focus on checkout; risk: dependency drift.,ATLAS-1593
2020-Q1,2020-03-01,2020-03-28,Phase 2 Cloud Migration,payments,Victor Silva,green,30,11,1,move workloads to Kubernetes and managed databases; focus on payments; risk: on-call load.,ATLAS-2002
2020-Q1,2020-03-01,2020-03-28,Phase 2 Cloud Migration,observability,Noah Evans,red,23,15,7,move workloads to Kubernetes and managed databases; focus on observability; risk: vendor approval.,ATLAS-1064
2020-Q1,2020-03-01,2020-03-28,Phase 2 Cloud Migration,data,Iris Wang,amber,30,23,1,move workloads to Kubernetes and managed databases; focus on data; risk: on-call load.,ATLAS-5042
2020-Q1,2020-03-01,2020-03-28,Phase 2 Cloud Migration,support,Dmitri Volkov,amber,90,22,0,move workloads to Kubernetes and managed databases; focus on support; risk: vendor approval.,ATLAS-5757
2020-Q2,2020-04-01,2020-04-28,Phase 2 Cloud Migration,platform,Kim Tan,amber,67,13,8,move workloads to Kubernetes and managed databases; focus on platform; risk: dependency drift.,ATLAS-4533
2020-Q2,2020-04-01,2020-04-28,Phase 2 Cloud Migration,checkout,Kim Tan,amber,96,21,5,move workloads to Kubernetes and managed databases; focus on checkout; risk: customer readiness.,ATLAS-5967
2020-Q2,2020-04-01,2020-04-28,Phase 2 Cloud Migration,payments,Owen Brooks,amber,38,3,4,move workloads to Kubernetes and managed databases; focus on payments; risk: capacity risk.,ATLAS-6062
2020-Q2,2020-04-01,2020-04-28,Phase 2 Cloud Migration,observability,Nora Singh,amber,24,5,0,move workloads to Kubernetes and managed databases; focus on observability; risk: capacity risk.,ATLAS-2579
2020-Q2,2020-04-01,2020-04-28,Phase 2 Cloud Migration,data,Samir Rao,red,33,14,4,move workloads to Kubernetes and managed databases; focus on data; risk: test data gap.,ATLAS-4315
2020-Q2,2020-04-01,2020-04-28,Phase 2 Cloud Migration,support,Samir Rao,green,88,24,6,move workloads to Kubernetes and managed databases; focus on support; risk: on-call load.,ATLAS-2406
2020-Q2,2020-05-01,2020-05-28,Phase 2 Cloud Migration,platform,Nora Singh,green,22,17,7,move workloads to Kubernetes and managed databases; focus on platform; risk: schema migration.,ATLAS-6149
2020-Q2,2020-05-01,2020-05-28,Phase 2 Cloud Migration,checkout,Luca Moretti,green,70,22,0,move workloads to Kubernetes and managed databases; focus on checkout; risk: capacity risk.,ATLAS-6121
2020-Q2,2020-05-01,2020-05-28,Phase 2 Cloud Migration,payments,Owen Brooks,amber,53,11,2,move workloads to Kubernetes and managed databases; focus on payments; risk: test data gap.,ATLAS-4797
2020-Q2,2020-05-01,2020-05-28,Phase 2 Cloud Migration,observability,Owen Brooks,amber,42,14,2,move workloads to Kubernetes and managed databases; focus on observability; risk: vendor approval.,ATLAS-5468
