experiment_id,start_date,quarter,channel,service,experiment_name,status,sample_size,control_conversion_pct,variant_conversion_pct,lift_pct,operational_note,linked_jira,decision_note
EXP-00023,2018-06-25,2018-Q2,android,payment-orchestrator,inventory warning,won,111125,84.1,84.5,0.4,latency increased,ATLAS-5873,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00024,2018-06-26,2018-Q2,web,loyalty-service,coupon fallback,draft,201101,84.59,87.34,2.74,conversion improved,ATLAS-4869,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00025,2018-06-27,2018-Q2,mobile-web,analytics-pipeline,coupon fallback,draft,71541,89.65,92.41,2.76,no clear impact,ATLAS-1144,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00026,2018-06-28,2018-Q2,web,checkout-api,one-click reorder,rolled back,45291,79.49,81.99,2.49,latency increased,ATLAS-1534,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00027,2018-06-30,2018-Q2,ios,analytics-pipeline,coupon fallback,won,60022,85.41,86.22,0.81,support tickets increased,ATLAS-2941,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00028,2018-07-01,2018-Q3,android,analytics-pipeline,address validation,inconclusive,125868,83.84,83.79,-0.04,conversion improved,ATLAS-1111,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00029,2018-07-02,2018-Q3,store-kiosk,inventory-reservation,checkout button copy,rolled back,146930,86.91,87.04,0.13,support tickets increased,ATLAS-1919,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00030,2018-07-03,2018-Q3,web,checkout-api,one-click reorder,lost,140398,86.9,85.78,-1.12,no clear impact,ATLAS-3594,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00031,2018-07-04,2018-Q3,mobile-web,order-ledger,one-click reorder,rolled back,194387,82.49,80.61,-1.88,latency increased,ATLAS-4145,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00032,2018-07-05,2018-Q3,partner-api,order-ledger,tax quote cache,draft,231871,72.31,73.28,0.97,latency neutral,ATLAS-2310,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00033,2018-07-06,2018-Q3,mobile-web,checkout-api,address validation,inconclusive,114984,82.05,83.92,1.86,latency neutral,ATLAS-1845,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00034,2018-07-07,2018-Q3,store-kiosk,checkout-api,address validation,inconclusive,206395,87.16,91.76,4.6,support tickets increased,ATLAS-1022,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00035,2018-07-08,2018-Q3,web,loyalty-service,inventory warning,draft,159187,81.97,82.84,0.87,latency increased,ATLAS-1062,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00036,2018-07-10,2018-Q3,android,pricing-engine,address validation,inconclusive,27510,88.68,87.64,-1.04,latency neutral,ATLAS-5841,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00037,2018-07-11,2018-Q3,android,pricing-engine,coupon fallback,rolled back,207798,85.28,84.31,-0.97,support tickets increased,ATLAS-1175,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00038,2018-07-12,2018-Q3,partner-api,payment-orchestrator,checkout button copy,lost,8548,90.8,90.24,-0.56,latency neutral,ATLAS-1951,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00039,2018-07-13,2018-Q3,mobile-web,search-recommendations,address validation,draft,168588,82.88,84.11,1.22,support tickets increased,ATLAS-3958,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00040,2018-07-14,2018-Q3,web,inventory-reservation,payment retry UX,won,46853,81.21,82.24,1.03,no clear impact,ATLAS-3958,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00041,2018-07-15,2018-Q3,web,pricing-engine,inventory warning,inconclusive,238761,77.38,81.78,4.4,support tickets increased,ATLAS-3864,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00042,2018-07-16,2018-Q3,partner-api,auth-gateway,coupon fallback,lost,212845,72.33,77.83,5.49,latency neutral,ATLAS-2896,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00043,2018-07-17,2018-Q3,android,analytics-pipeline,tax quote cache,inconclusive,158642,79.23,78.13,-1.09,support tickets increased,ATLAS-5642,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00044,2018-07-19,2018-Q3,android,inventory-reservation,address validation,lost,50102,88.68,88.57,-0.11,support tickets increased,ATLAS-2541,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00045,2018-07-20,2018-Q3,mobile-web,pricing-engine,payment retry UX,rolled back,18660,88.93,91.97,3.04,latency neutral,ATLAS-3419,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00046,2018-07-21,2018-Q3,android,tax-service,one-click reorder,draft,96500,83.74,84.78,1.04,conversion improved,ATLAS-3049,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00047,2018-07-22,2018-Q3,ios,notification-service,one-click reorder,inconclusive,201023,72.89,69.05,-3.84,latency neutral,ATLAS-3116,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00048,2018-07-23,2018-Q3,partner-api,notification-service,payment retry UX,draft,124682,80.72,80.05,-0.68,conversion improved,ATLAS-5573,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00049,2018-07-24,2018-Q3,store-kiosk,loyalty-service,checkout button copy,running,46418,85.02,87.65,2.63,no clear impact,ATLAS-4171,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00050,2018-07-25,2018-Q3,partner-api,notification-service,one-click reorder,won,56093,73.8,79.17,5.37,conversion improved,ATLAS-3222,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00051,2018-07-26,2018-Q3,mobile-web,notification-service,tax quote cache,running,91643,75.83,75.34,-0.49,conversion improved,ATLAS-4035,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00052,2018-07-27,2018-Q3,web,pricing-engine,loyalty prompt,won,44156,79.91,78.21,-1.71,no clear impact,ATLAS-5226,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00053,2018-07-29,2018-Q3,android,order-ledger,coupon fallback,draft,3915,84.19,88.15,3.96,latency neutral,ATLAS-2721,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00054,2018-07-30,2018-Q3,store-kiosk,loyalty-service,address validation,running,126380,86.94,87.14,0.19,latency neutral,ATLAS-6170,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00055,2018-07-31,2018-Q3,partner-api,analytics-pipeline,one-click reorder,draft,196001,78.65,82.59,3.94,latency neutral,ATLAS-6186,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00056,2018-08-01,2018-Q3,web,tax-service,payment retry UX,rolled back,229827,73.29,73.4,0.12,support tickets increased,ATLAS-2052,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00057,2018-08-02,2018-Q3,web,loyalty-service,inventory warning,draft,98327,76.95,79.47,2.52,no clear impact,ATLAS-4867,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00058,2018-08-03,2018-Q3,web,tax-service,one-click reorder,inconclusive,195012,90.17,90.97,0.81,latency neutral,ATLAS-6178,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00059,2018-08-04,2018-Q3,web,auth-gateway,coupon fallback,running,141180,76.15,79.05,2.9,latency neutral,ATLAS-4452,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00060,2018-08-05,2018-Q3,partner-api,notification-service,loyalty prompt,won,188059,82.37,80.82,-1.55,conversion improved,ATLAS-5918,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00061,2018-08-07,2018-Q3,ios,tax-service,tax quote cache,draft,94075,72.49,71.24,-1.25,support tickets increased,ATLAS-4308,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00062,2018-08-08,2018-Q3,mobile-web,analytics-pipeline,address validation,won,110372,82.82,86.31,3.49,no clear impact,ATLAS-4017,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00063,2018-08-09,2018-Q3,mobile-web,inventory-reservation,checkout button copy,lost,122514,77.1,76.88,-0.23,conversion improved,ATLAS-3318,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00064,2018-08-10,2018-Q3,partner-api,checkout-api,one-click reorder,draft,211619,87.54,86.49,-1.04,latency neutral,ATLAS-5234,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00065,2018-08-11,2018-Q3,mobile-web,auth-gateway,checkout button copy,lost,108417,73.77,76.71,2.94,latency increased,ATLAS-4872,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00066,2018-08-12,2018-Q3,android,checkout-api,one-click reorder,lost,197890,84.13,86.3,2.17,support tickets increased,ATLAS-2591,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00067,2018-08-13,2018-Q3,android,analytics-pipeline,payment retry UX,rolled back,132510,85.17,84.91,-0.26,no clear impact,ATLAS-4196,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00068,2018-08-14,2018-Q3,ios,analytics-pipeline,coupon fallback,lost,11223,80.09,83.81,3.72,conversion improved,ATLAS-3417,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00069,2018-08-15,2018-Q3,mobile-web,search-recommendations,payment retry UX,lost,33386,82.93,79.31,-3.62,conversion improved,ATLAS-1126,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00070,2018-08-17,2018-Q3,store-kiosk,cart-service,one-click reorder,running,220613,85.01,83.54,-1.46,conversion improved,ATLAS-5458,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00071,2018-08-18,2018-Q3,store-kiosk,search-recommendations,inventory warning,rolled back,188671,73.65,80.19,6.54,latency increased,ATLAS-2904,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00072,2018-08-19,2018-Q3,android,inventory-reservation,address validation,won,213191,75.71,78.66,2.95,support tickets increased,ATLAS-2034,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00073,2018-08-20,2018-Q3,web,notification-service,tax quote cache,draft,205253,86.76,85.6,-1.16,latency neutral,ATLAS-3713,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00074,2018-08-21,2018-Q3,mobile-web,loyalty-service,one-click reorder,rolled back,30890,75.57,77.98,2.41,support tickets increased,ATLAS-4528,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00075,2018-08-22,2018-Q3,store-kiosk,auth-gateway,tax quote cache,draft,120409,87.38,91.18,3.8,latency increased,ATLAS-5778,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00076,2018-08-23,2018-Q3,mobile-web,pricing-engine,inventory warning,draft,8686,81.11,82.61,1.5,latency neutral,ATLAS-1235,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00077,2018-08-24,2018-Q3,android,checkout-api,inventory warning,draft,107224,87.04,85.76,-1.28,latency increased,ATLAS-1192,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00078,2018-08-26,2018-Q3,partner-api,pricing-engine,address validation,lost,48875,86.81,90.24,3.42,support tickets increased,ATLAS-4510,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00079,2018-08-27,2018-Q3,android,loyalty-service,tax quote cache,won,104323,82.78,81.46,-1.32,latency neutral,ATLAS-5280,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00080,2018-08-28,2018-Q3,partner-api,tax-service,one-click reorder,rolled back,119705,79.7,85.36,5.66,no clear impact,ATLAS-5969,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00081,2018-08-29,2018-Q3,web,notification-service,tax quote cache,inconclusive,112205,72.91,73.09,0.18,conversion improved,ATLAS-3620,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00082,2018-08-30,2018-Q3,partner-api,notification-service,payment retry UX,draft,59104,77.24,77.96,0.72,latency neutral,ATLAS-6065,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00083,2018-08-31,2018-Q3,store-kiosk,notification-service,checkout button copy,running,230894,78.93,80.53,1.59,conversion improved,ATLAS-1934,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00084,2018-09-01,2018-Q3,store-kiosk,payment-orchestrator,inventory warning,won,213904,80.22,79.35,-0.87,conversion improved,ATLAS-2078,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00085,2018-09-02,2018-Q3,store-kiosk,search-recommendations,inventory warning,inconclusive,180271,79.87,83.25,3.39,conversion improved,ATLAS-3558,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00086,2018-09-03,2018-Q3,ios,tax-service,address validation,rolled back,7807,78.07,77.52,-0.55,latency increased,ATLAS-1608,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00087,2018-09-05,2018-Q3,ios,notification-service,inventory warning,inconclusive,25249,79.72,79.58,-0.14,support tickets increased,ATLAS-2964,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00088,2018-09-06,2018-Q3,web,order-ledger,one-click reorder,lost,171397,75.57,78.89,3.32,no clear impact,ATLAS-4195,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00089,2018-09-07,2018-Q3,store-kiosk,loyalty-service,address validation,draft,35996,78.74,73.87,-4.87,no clear impact,ATLAS-2499,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00090,2018-09-08,2018-Q3,partner-api,tax-service,payment retry UX,inconclusive,51299,79.38,80.07,0.69,latency neutral,ATLAS-2309,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00091,2018-09-09,2018-Q3,web,cart-service,loyalty prompt,rolled back,15365,75.85,74.45,-1.39,no clear impact,ATLAS-5695,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00092,2018-09-10,2018-Q3,mobile-web,pricing-engine,inventory warning,rolled back,96176,74.89,82.0,7.11,latency neutral,ATLAS-3341,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00093,2018-09-11,2018-Q3,mobile-web,search-recommendations,inventory warning,draft,45944,89.93,87.58,-2.35,support tickets increased,ATLAS-5373,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00094,2018-09-12,2018-Q3,ios,payment-orchestrator,tax quote cache,lost,103751,86.18,85.98,-0.2,no clear impact,ATLAS-1348,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00095,2018-09-14,2018-Q3,android,loyalty-service,one-click reorder,inconclusive,149798,79.78,77.8,-1.98,no clear impact,ATLAS-2051,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00096,2018-09-15,2018-Q3,partner-api,loyalty-service,tax quote cache,rolled back,10605,74.49,79.75,5.26,no clear impact,ATLAS-1646,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00097,2018-09-16,2018-Q3,mobile-web,tax-service,payment retry UX,running,76189,90.0,89.77,-0.22,latency neutral,ATLAS-4568,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00098,2018-09-17,2018-Q3,store-kiosk,checkout-api,tax quote cache,won,125508,73.02,71.1,-1.92,support tickets increased,ATLAS-4491,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00099,2018-09-18,2018-Q3,android,pricing-engine,tax quote cache,won,185726,83.4,82.48,-0.92,support tickets increased,ATLAS-1467,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00100,2018-09-19,2018-Q3,ios,search-recommendations,tax quote cache,lost,225736,76.07,78.26,2.2,no clear impact,ATLAS-4792,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00101,2018-09-20,2018-Q3,android,payment-orchestrator,one-click reorder,inconclusive,166225,82.76,86.15,3.39,support tickets increased,ATLAS-2044,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00102,2018-09-21,2018-Q3,partner-api,cart-service,one-click reorder,running,162854,74.54,75.21,0.67,no clear impact,ATLAS-1229,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00103,2018-09-22,2018-Q3,mobile-web,tax-service,address validation,won,207377,82.74,79.66,-3.08,latency increased,ATLAS-5897,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00104,2018-09-24,2018-Q3,web,auth-gateway,checkout button copy,lost,78412,89.79,88.59,-1.2,latency increased,ATLAS-1838,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00105,2018-09-25,2018-Q3,android,auth-gateway,coupon fallback,rolled back,183974,87.95,90.51,2.56,support tickets increased,ATLAS-4076,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00106,2018-09-26,2018-Q3,web,auth-gateway,loyalty prompt,running,215590,86.87,87.17,0.3,no clear impact,ATLAS-1322,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00107,2018-09-27,2018-Q3,partner-api,auth-gateway,one-click reorder,draft,22859,73.8,75.88,2.07,support tickets increased,ATLAS-5790,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00108,2018-09-28,2018-Q3,mobile-web,analytics-pipeline,loyalty prompt,draft,68723,74.27,78.57,4.3,support tickets increased,ATLAS-3880,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00109,2018-09-29,2018-Q3,web,payment-orchestrator,one-click reorder,draft,161102,79.22,82.32,3.1,latency neutral,ATLAS-1320,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00110,2018-09-30,2018-Q3,store-kiosk,payment-orchestrator,tax quote cache,inconclusive,231615,86.64,86.2,-0.44,conversion improved,ATLAS-4296,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00111,2018-10-01,2018-Q4,ios,checkout-api,one-click reorder,running,205068,72.63,73.66,1.03,latency increased,ATLAS-2103,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00112,2018-10-03,2018-Q4,android,search-recommendations,checkout button copy,lost,80983,77.66,79.25,1.58,no clear impact,ATLAS-4411,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00113,2018-10-04,2018-Q4,android,tax-service,payment retry UX,running,92437,90.59,93.31,2.72,latency increased,ATLAS-1906,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00114,2018-10-05,2018-Q4,ios,analytics-pipeline,coupon fallback,lost,41818,74.35,76.88,2.52,support tickets increased,ATLAS-4059,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00115,2018-10-06,2018-Q4,ios,checkout-api,payment retry UX,rolled back,85608,84.03,84.03,-0.0,latency increased,ATLAS-4551,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00116,2018-10-07,2018-Q4,android,tax-service,payment retry UX,draft,37973,86.11,85.77,-0.34,no clear impact,ATLAS-4120,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00117,2018-10-08,2018-Q4,web,tax-service,tax quote cache,won,15512,72.07,73.32,1.25,latency increased,ATLAS-1786,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00118,2018-10-09,2018-Q4,ios,checkout-api,checkout button copy,rolled back,177505,78.19,79.02,0.83,support tickets increased,ATLAS-3961,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00119,2018-10-10,2018-Q4,android,cart-service,one-click reorder,running,207017,85.15,85.19,0.04,no clear impact,ATLAS-4539,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00120,2018-10-11,2018-Q4,android,loyalty-service,loyalty prompt,running,57617,83.41,85.82,2.4,conversion improved,ATLAS-3841,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00121,2018-10-13,2018-Q4,ios,inventory-reservation,tax quote cache,lost,88554,80.26,81.29,1.03,conversion improved,ATLAS-4277,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00122,2018-10-14,2018-Q4,mobile-web,inventory-reservation,inventory warning,rolled back,234064,79.22,77.19,-2.03,support tickets increased,ATLAS-4801,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00123,2018-10-15,2018-Q4,mobile-web,cart-service,inventory warning,inconclusive,206771,74.23,74.96,0.73,no clear impact,ATLAS-5125,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00124,2018-10-16,2018-Q4,ios,pricing-engine,loyalty prompt,won,37024,74.79,75.74,0.96,no clear impact,ATLAS-5042,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00125,2018-10-17,2018-Q4,ios,cart-service,coupon fallback,draft,159380,90.8,91.34,0.54,support tickets increased,ATLAS-4954,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00126,2018-10-18,2018-Q4,partner-api,loyalty-service,address validation,running,154659,72.79,73.18,0.39,support tickets increased,ATLAS-4210,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00127,2018-10-19,2018-Q4,web,tax-service,address validation,inconclusive,210675,76.4,77.22,0.81,latency neutral,ATLAS-5516,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00128,2018-10-20,2018-Q4,android,tax-service,address validation,inconclusive,105106,89.54,84.33,-5.22,no clear impact,ATLAS-3766,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00129,2018-10-22,2018-Q4,mobile-web,analytics-pipeline,address validation,rolled back,85309,88.01,88.84,0.83,no clear impact,ATLAS-2366,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00130,2018-10-23,2018-Q4,android,analytics-pipeline,address validation,won,175029,73.96,75.0,1.04,support tickets increased,ATLAS-3482,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
