issue_key,issue_type,epic,summary,status,priority,assignee,reporter,created,updated,sprint,due_date,story_points,labels,linked_prs,linked_incidents,risk_or_blocker_notes
ATLAS-110,Epic,ATLAS-110,Checkout traffic shadowing and validation,Done,Critical,Ravi Patel,Maya Chen,2025-07-01,2025-09-12,Sprint 06,2025-09-12,21,"jira,traffic,validation",PR-122,,Phase 1 shadow traffic target was 5 percent then 25 percent.
ATLAS-111,Story,ATLAS-110,Build shadow comparison worker for order totals,Done,High,Aisha Khan,Ravi Patel,2025-07-03,2025-07-25,Sprint 06,2025-07-25,8,"jira,worker,validation",PR-123,,Found variance in tax rounding that became ATLAS-115.
ATLAS-112,Story,ATLAS-110,Add Teams alert routing for checkout anomalies,Done,Medium,Nora Singh,Maya Chen,2025-07-07,2025-07-28,Sprint 06,2025-07-29,5,"jira,teams,alerts",PR-125,,Action item: noisy alerts must be tuned before 25 percent traffic.
ATLAS-113,Bug,ATLAS-110,Memory usage climbs in atlas-worker during replay,Done,High,Samir Rao,Aisha Khan,2025-07-15,2025-08-01,Sprint 07,2025-08-01,5,"jira,bug,memory",PR-128,,Risk resolved after stream window size was reduced.
ATLAS-114,Story,ATLAS-110,Enable 5 percent checkout shadow traffic,Done,Critical,Luca Moretti,Ravi Patel,2025-07-22,2025-08-08,Sprint 07,2025-08-08,5,"jira,traffic,release",PR-130,,Decision approved by product and SRE after Grafana uptime stayed above 99.95.
ATLAS-115,Bug,ATLAS-110,Tax rounding variance between monolith and checkout service,Done,High,Aisha Khan,Jon Bell,2025-08-04,2025-08-22,Sprint 08,2025-08-22,8,"jira,bug,tax",PR-134,,Variance affected 0.7 percent of shadow orders. Blocker for 25 percent traffic.
ATLAS-116,Story,ATLAS-110,Enable 25 percent checkout shadow traffic,Done,Critical,Ravi Patel,Maya Chen,2025-08-25,2025-09-12,Sprint 09,2025-09-12,5,"jira,traffic,release",PR-137,,Released after ATLAS-115 was resolved and support reviewed messaging.
ATLAS-117,Task,ATLAS-110,Create weekly executive traffic report,Done,Low,Maya Chen,Ravi Patel,2025-09-02,2025-09-18,Sprint 09,2025-09-19,2,"jira,reporting,grafana",,,Decision: publish every Friday until full cutover.
ATLAS-118,Epic,ATLAS-118,Production cutover and resilience,In Progress,Critical,Ravi Patel,Maya Chen,2025-09-15,2026-02-28,Sprint 10,2026-02-28,34,"jira,cutover,resilience",,,"Open epic includes incidents, fallback, database scaling, and release readiness."
ATLAS-119,Story,ATLAS-118,Implement feature flag based checkout routing,Done,Critical,Jon Bell,Ravi Patel,2025-09-16,2025-10-03,Sprint 10,2025-10-03,8,"jira,feature-flag,routing",PR-141,,"Decision: support route percentages of 1, 5, 25, 50, and 100."
ATLAS-120,Story,ATLAS-118,Create rollback runbook in Confluence,Done,High,Nora Singh,Maya Chen,2025-09-18,2025-10-07,Sprint 10,2025-10-10,5,"jira,confluence,runbook",,,"Runbook includes PagerDuty trigger, Teams war room, and database checks."
ATLAS-121,Bug,ATLAS-118,P95 latency exceeds 700ms at 50 percent route,Done,Critical,Samir Rao,Nora Singh,2025-10-13,2025-10-28,Sprint 11,2025-10-31,8,"jira,latency,grafana",PR-145,PD-1002,Incident PD-1002. Blocker for 100 percent cutover until cache warmup fix.
ATLAS-122,Story,ATLAS-118,Add Redis cache warmup before checkout route increase,Done,High,Samir Rao,Luca Moretti,2025-10-21,2025-11-07,Sprint 12,2025-11-07,5,"jira,cache,latency",PR-148,,Resolved high p95 latency during 50 percent traffic test.
ATLAS-123,Task,ATLAS-118,Complete PCI review for payment facade,Done,Critical,Luca Moretti,Maya Chen,2025-11-03,2025-11-21,Sprint 12,2025-11-21,5,"jira,pci,payments",,,Decision approved by security: no card data stored in Atlas services.
ATLAS-124,Bug,ATLAS-118,Email receipt job duplicates messages after retry,Done,Medium,Aisha Khan,Ravi Patel,2025-11-10,2025-11-26,Sprint 13,2025-11-26,3,"jira,email,bug",PR-151,,Resolved by dedupe key on checkout_id and email_template_version.
ATLAS-125,Story,ATLAS-118,Enable 50 percent production checkout routing,Done,Critical,Ravi Patel,Maya Chen,2025-11-24,2025-12-05,Sprint 13,2025-12-05,8,"jira,traffic,release",PR-153,,Decision approved after error rate stayed below 0.4 percent for seven days.
ATLAS-126,Bug,ATLAS-118,Database connection pool saturation during holiday traffic,Done,Critical,Samir Rao,Nora Singh,2025-12-08,2025-12-19,Sprint 14,2025-12-19,8,"jira,database,connections",PR-156,PD-1003,Incident PD-1003. Risk: pool settings and slow queries caused checkout delay.
ATLAS-127,Task,ATLAS-118,Add read replica for checkout reporting queries,Done,High,Samir Rao,Aisha Khan,2025-12-15,2026-01-10,Sprint 15,2026-01-10,5,"jira,database,replica",PR-158,,Completed to isolate reporting traffic from checkout write path.
ATLAS-128,Story,ATLAS-118,Enable 75 percent checkout routing,Done,Critical,Ravi Patel,Maya Chen,2026-01-06,2026-01-24,Sprint 15,2026-01-24,5,"jira,traffic,release",PR-160,,Risk accepted: keep monolith fallback warm until March 2026.
ATLAS-129,Bug,ATLAS-118,Inventory reservation timeout causes abandoned checkout spike,Done,Critical,Jon Bell,Ravi Patel,2026-01-20,2026-02-04,Sprint 16,2026-02-04,8,"jira,incident,inventory",PR-163,PD-1004,Incident PD-1004. Error rate rose to 1.8 percent for 43 minutes.
ATLAS-130,Story,ATLAS-118,Add inventory timeout circuit breaker,Done,High,Jon Bell,Nora Singh,2026-01-24,2026-02-14,Sprint 16,2026-02-14,5,"jira,circuit-breaker,resilience",PR-166,,Decision: fail fast and allow customer retry instead of blocking cart.
ATLAS-131,Task,ATLAS-118,Create launch readiness checklist,Done,High,Maya Chen,Ravi Patel,2026-02-03,2026-02-19,Sprint 17,2026-02-19,3,"jira,confluence,release",,,"Checklist covers owners, PagerDuty, Grafana, database, rollback, customer support."
ATLAS-132,Story,ATLAS-118,Enable 100 percent checkout routing,Done,Critical,Ravi Patel,Maya Chen,2026-02-24,2026-03-03,Sprint 18,2026-03-03,8,"jira,release,traffic",PR-170,,Released v2026.03.0. Uptime 99.97 for first 72 hours.
ATLAS-133,Bug,ATLAS-118,Post-cutover p99 latency spike on mobile Safari,Done,High,Aisha Khan,Jon Bell,2026-03-06,2026-03-18,Sprint 18,2026-03-18,5,"jira,latency,frontend",PR-173,PD-1005,Incident PD-1005. Root cause was synchronous address validation script.
ATLAS-134,Task,ATLAS-118,Archive monolith checkout write path,In Progress,Medium,Jon Bell,Ravi Patel,2026-03-20,2026-04-18,Sprint 19,2026-04-18,5,"jira,decommission,legacy",PR-176,,Blocked until finance export confirms no missing order records.
ATLAS-135,Story,ATLAS-118,Finalize KT and ownership transfer to platform team,In Progress,High,Maya Chen,Nora Singh,2026-04-01,2026-04-30,Sprint 20,2026-04-30,5,"jira,kt,ownership",,,Action item: new owners need runbook drill and database dashboard walkthrough.
ATLAS-136,Bug,ATLAS-118,Checkout refunds dashboard misses retry reversals,Open,Medium,Luca Moretti,Aisha Khan,2026-04-07,2026-04-21,Sprint 20,2026-04-30,3,"jira,payments,reporting",,,Unresolved question: finance needs April reconciliation before monolith archive.
ATLAS-137,Task,ATLAS-118,Review open risks before Q2 support handoff,Open,High,Ravi Patel,Maya Chen,2026-04-14,2026-04-28,Sprint 20,2026-04-30,2,"jira,risk,handoff",,,Risk: database storage reaches 82 percent by May if archive job is delayed.
